scbatch_sz,patbatch_sz,hidden_feats,do_prc,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
350,30,90,0.7,0,0,1,1,0,0,0,0.441390562248996
190,25,90,0.5,0,0,1,1,0,0,0,0.441390562248996
180,65,100,0.6,0,0,1,1,0,0,0,0.441390562248996
70,75,35,0.8,0,0,1,1,0,0,0,0.441390562248996
460,65,90,0.5,0,0,1,1,0,0,0,0.441390562248996
470,50,85,0.7,0,0,1,1,0,0,0,0.441390562248996
410,45,100,0.4,0,0,1,1,0,0,0,0.441390562248996
180,95,55,0.3,0,0,1,1,0,0,0,0.441390562248996
290,65,35,0.9,0,0,1,1,0,0,0,0.441390562248996
300,95,55,0.7,0,0,1,1,0,0,0,0.441390562248996
310,70,50,0.6,0,0,1,1,0,0,0,0.441390562248996
90,80,70,0.9,0,0,1,1,0,0,0,0.441390562248996
310,95,95,0.7,0,0,1,1,0,0,0,0.441390562248996
320,100,45,0.2,0,0,1,1,0,0,0,0.441390562248996
130,40,45,0.3,0,0,1,1,0,0,0,0.441390562248996
330,90,60,0.8,0,0,1,1,0,0,0,0.441390562248996
390,50,35,0.4,0,0,1,1,0,0,0,0.441390562248996
120,75,70,0.7,0,0,1,1,0,0,0,0.441390562248996
300,60,30,0.4,0,0,1,1,0,0,0,0.441390562248996
110,50,70,0.1,0,0,1,1,0,0,0,0.441390562248996
460,50,80,0.8,0,0,1,1,0,0,0,0.441390562248996
130,55,30,0.4,0,0,1,1,0,0,0,0.441390562248996
230,95,70,0.9,0,0,1,1,0,0,0,0.441390562248996
400,100,50,0.8,0,0,1,1,0,0,0,0.441390562248996
180,25,95,0.6,0,0,1,1,0,0,0,0.441390562248996
210,50,80,0.4,0,0,1,1,0,0,0,0.441390562248996
470,30,40,0.8,0,0,1,1,0,0,0,0.441390562248996
430,25,90,0.3,0,0,1,1,0,0,0,0.441390562248996
160,30,25,0.4,0,0,1,1,0,0,0,0.441390562248996
190,40,90,0.4,0,0,1,1,0,0,0,0.441390562248996
360,85,90,0.6,0,0,1,1,0,0,0,0.441390562248996
460,45,50,0.1,0,0,1,1,0,0,0,0.441390562248996
490,50,35,0.4,0,0,1,1,0,0,0,0.441390562248996
110,95,60,0.9,0,0,1,1,0,0,0,0.441390562248996
130,35,90,0.7,0,0,1,1,0,0,0,0.441390562248996
450,65,35,0.8,0,0,1,1,0,0,0,0.441390562248996
140,40,90,0.5,0,0,1,1,0,0,0,0.441390562248996
270,50,95,0.2,0,0,1,1,0,0,0,0.441390562248996
310,65,60,0.6,0,0,1,1,0,0,0,0.441390562248996
110,100,25,0.9,0,0,1,1,0,0,0,0.441390562248996
310,90,55,0.8,0,0,1,1,0,0,0,0.441390562248996
360,65,75,0.4,0,0,1,1,0,0,0,0.441390562248996
420,55,55,0.5,0,0,1,1,0,0,0,0.441390562248996
290,35,85,0.7,0,0,1,1,0,0,0,0.441390562248996
380,60,95,0.1,0,0,1,1,0,0,0,0.441390562248996
330,100,55,0.8,0,0,1,1,0,0,0,0.441390562248996
90,90,70,0.8,0,0,1,1,0,0,0,0.441390562248996
120,80,50,0.9,0,0,1,1,0,0,0,0.441390562248996
160,95,90,0.8,0,0,1,1,0,0,0,0.441390562248996
170,65,95,0.2,0,0,1,1,0,0,0,0.441390562248996
200,50,50,0.5,0,0,1,1,0,0,0,0.441390562248996
