arch,ff_depth,bag_depth,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
DenseNet,6,4,0,0,1,1,0,0,0,0.441390562248996
DenseNet,8,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,6,9,0,0,1,1,0,0,0,0.441390562248996
Standard,7,6,0,0,1,1,0,0,0,0.441390562248996
DenseNet,10,6,0,0,1,1,0,0,0,0.441390562248996
Standard,3,8,0,0,1,1,0,0,0,0.441390562248996
Standard,6,3,0,0,1,1,0,0,0,0.441390562248996
Standard,9,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,2,8,0,0,1,1,0,0,0,0.441390562248996
Standard,10,5,0,0,1,1,0,0,0,0.441390562248996
Standard,10,10,0,0,1,1,0,0,0,0.441390562248996
Standard,7,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,6,5,0,0,1,1,0,0,0,0.441390562248996
Standard,10,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,5,9,0,0,1,1,0,0,0,0.441390562248996
Standard,7,10,0,0,1,1,0,0,0,0.441390562248996
DenseNet,9,3,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,5,0,0,1,1,0,0,0,0.441390562248996
DenseNet,8,9,0,0,1,1,0,0,0,0.441390562248996
Standard,2,7,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,2,4,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,8,0,0,1,1,0,0,0,0.441390562248996
Standard,5,8,0,0,1,1,0,0,0,0.441390562248996
Standard,6,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,10,0,0,1,1,0,0,0,0.441390562248996
Standard,4,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,10,5,0,0,1,1,0,0,0,0.441390562248996
Standard,5,4,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,7,0,0,1,1,0,0,0,0.441390562248996
Standard,10,8,0,0,1,1,0,0,0,0.441390562248996
Standard,10,10,0,0,1,1,0,0,0,0.441390562248996
DenseNet,8,10,0,0,1,1,0,0,0,0.441390562248996
DenseNet,4,10,0,0,1,1,0,0,0,0.441390562248996
DenseNet,9,7,0,0,1,1,0,0,0,0.441390562248996
DenseNet,10,9,0,0,1,1,0,0,0,0.441390562248996
Standard,4,5,0,0,1,1,0,0,0,0.441390562248996
DenseNet,8,6,0,0,1,1,0,0,0,0.441390562248996
Standard,4,6,0,0,1,1,0,0,0,0.441390562248996
Standard,8,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,7,6,0,0,1,1,0,0,0,0.441390562248996
DenseNet,6,7,0,0,1,1,0,0,0,0.441390562248996
DenseNet,6,5,0,0,1,1,0,0,0,0.441390562248996
DenseNet,9,3,0,0,1,1,0,0,0,0.441390562248996
Standard,4,9,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,8,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,4,0,0,1,1,0,0,0,0.441390562248996
DenseNet,3,5,0,0,1,1,0,0,0,0.441390562248996
