lamb1,lamb2,lamb3,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
4,2,10,0,0,1,1,0,0,0,0.441390562248996
4,3,8,0,0,1,1,0,0,0,0.441390562248996
3,5,3,0,0,1,1,0,0,0,0.441390562248996
7,6,4,0,0,1,1,0,0,0,0.441390562248996
6,7,9,0,0,1,1,0,0,0,0.441390562248996
5,4,5,0,0,1,1,0,0,0,0.441390562248996
7,10,8,0,0,1,1,0,0,0,0.441390562248996
10,5,5,0,0,1,1,0,0,0,0.441390562248996
6,7,2,0,0,1,1,0,0,0,0.441390562248996
4,10,9,0,0,1,1,0,0,0,0.441390562248996
10,10,5,0,0,1,1,0,0,0,0.441390562248996
10,8,10,0,0,1,1,0,0,0,0.441390562248996
10,4,9,0,0,1,1,0,0,0,0.441390562248996
4,9,7,0,0,1,1,0,0,0,0.441390562248996
9,10,5,0,0,1,1,0,0,0,0.441390562248996
8,4,9,0,0,1,1,0,0,0,0.441390562248996
10,8,4,0,0,1,1,0,0,0,0.441390562248996
4,4,5,0,0,1,1,0,0,0,0.441390562248996
5,8,5,0,0,1,1,0,0,0,0.441390562248996
2,7,7,0,0,1,1,0,0,0,0.441390562248996
8,6,2,0,0,1,1,0,0,0,0.441390562248996
6,6,5,0,0,1,1,0,0,0,0.441390562248996
8,9,10,0,0,1,1,0,0,0,0.441390562248996
10,4,8,0,0,1,1,0,0,0,0.441390562248996
10,3,9,0,0,1,1,0,0,0,0.441390562248996
8,3,6,0,0,1,1,0,0,0,0.441390562248996
6,7,3,0,0,1,1,0,0,0,0.441390562248996
8,5,7,0,0,1,1,0,0,0,0.441390562248996
6,2,10,0,0,1,1,0,0,0,0.441390562248996
7,7,9,0,0,1,1,0,0,0,0.441390562248996
10,4,5,0,0,1,1,0,0,0,0.441390562248996
3,9,6,0,0,1,1,0,0,0,0.441390562248996
6,4,8,0,0,1,1,0,0,0,0.441390562248996
9,9,2,0,0,1,1,0,0,0,0.441390562248996
3,2,9,0,0,1,1,0,0,0,0.441390562248996
2,8,9,0,0,1,1,0,0,0,0.441390562248996
10,8,10,0,0,1,1,0,0,0,0.441390562248996
10,8,9,0,0,1,1,0,0,0,0.441390562248996
7,7,3,0,0,1,1,0,0,0,0.441390562248996
6,8,6,0,0,1,1,0,0,0,0.441390562248996
10,6,10,0,0,1,1,0,0,0,0.441390562248996
5,7,8,0,0,1,1,0,0,0,0.441390562248996
7,9,8,0,0,1,1,0,0,0,0.441390562248996
9,6,9,0,0,1,1,0,0,0,0.441390562248996
7,8,7,0,0,1,1,0,0,0,0.441390562248996
7,5,8,0,0,1,1,0,0,0,0.441390562248996
8,4,2,0,0,1,1,0,0,0,0.441390562248996
2,10,10,0,0,1,1,0,0,0,0.441390562248996
7,8,4,0,0,1,1,0,0,0,0.441390562248996
3,7,6,0,0,1,1,0,0,0,0.441390562248996
3,3,3,0,0,1,1,0,0,0,0.441390562248996
