hvg,bt_size,nfold,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
1500,30,22,0.452482588182431,0.123116292294569,0.876883707705431,0.547517411817569,0.823048630976706,0.452482588182431,0.583937373151638,0.639809236947791
5000,70,28,0.452482588182431,0.123116292294569,0.876883707705431,0.547517411817569,0.823048630976706,0.452482588182431,0.583937373151638,0.639809236947791
4000,100,4,0.681588407099528,0.117856127381291,0.882143872618709,0.318411592900472,0.879794098455738,0.681588407099528,0.768110896604108,0.770111696787149
5000,70,30,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
4000,100,6,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
1000,70,16,0.247865648168951,0.0943986352004549,0.905601364799545,0.752134351831049,0.768681414387737,0.247865648168951,0.37485665746443,0.538183985943775
3000,70,26,0.220849247360144,0.090915553028149,0.909084446971851,0.779150752639856,0.754557666474765,0.220849247360144,0.341690202042146,0.524629769076305
3000,50,18,0.492248932824085,0.00646858117713961,0.99353141882286,0.507751067175916,0.989723320158103,0.492248932824085,0.657489028095578,0.713510291164659
3500,70,18,0.401651314311391,0.00554449815183395,0.994455501848166,0.598348685688609,0.989210125881865,0.401651314311391,0.571325849878161,0.663309487951807
5000,100,24,0.447764547292743,0.00689508103497299,0.993104918965027,0.552235452707257,0.987978683851778,0.447764547292743,0.616240868859429,0.688472640562249
500,80,24,0.25797573578971,0.100014216661928,0.899985783338072,0.74202426421029,0.7655,0.25797573578971,0.385901529154764,0.541352911646586
4000,30,24,0.492248932824085,0.00646858117713961,0.99353141882286,0.507751067175916,0.989723320158103,0.492248932824085,0.657489028095578,0.713510291164659
3500,50,8,0.247584812401708,0.00462041512652829,0.995379584873472,0.752415187598293,0.985468365750056,0.247584812401708,0.395744489832563,0.57765436746988
