prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0.0963266681644574,0.00113733295422235,0.998862667045778,0.903673331835543,0.990756787983824,0.0963266681644574,0.175582288200665,0.494697540160643
0.5,0.237,0,0,1,1,0,0,0,0.441390562248996
0.15,0.792,0.0775106717591552,0.00021324992891669,0.999786750071083,0.922489328240845,0.997830802603037,0.0775106717591552,0.143847396674832,0.484594628514056
0.25,0.259,0.245506627724107,0.00952516349161217,0.990474836508388,0.754493372275893,0.970255271920089,0.245506627724107,0.391859787529697,0.574328564257028
0.27,0.986,0.199898899123792,0.000924083025305658,0.999075916974694,0.800101100876208,0.996360582306831,0.199898899123792,0.332990269461078,0.552648092369478
0.23,0.757,0.169400134801168,0.000924083025305658,0.999075916974694,0.830599865198832,0.995708154506438,0.169400134801168,0.289540632650122,0.535611194779117
0.28,0.98,0.214951696248034,0.00120841626386125,0.998791583736139,0.785048303751966,0.995577523413111,0.214951696248034,0.353566149297857,0.560931224899598
0.1,0.219,0.0807121995057291,0.0022746659084447,0.997725334091555,0.919287800494271,0.978216473791695,0.0807121995057291,0.149120531313236,0.485473142570281
0.31,0.949,0.261177263536284,0.00163491612169463,0.998365083878305,0.738822736463716,0.995078108281618,0.261177263536284,0.413756284201628,0.586565010040161
0.23,0.149,0.21512019770838,0.00746374751208416,0.992536252487916,0.78487980229162,0.973316391359593,0.21512019770838,0.352362114172685,0.558264307228916
0.01,0.6,0.0032015277465738,0,1,0.996798472253426,1,0.0032015277465738,0.00638262135378758,0.443178965863454
0.21,0.946,0.132273646371602,0.000355416548194484,0.999644583451806,0.867726353628398,0.997881355932203,0.132273646371602,0.233584606228923,0.515122991967871
0.1,0.688,0.0480229161986071,0.000142166619277794,0.999857833380722,0.951977083801393,0.997666277712952,0.0480229161986071,0.0916349606130432,0.468153865461847
0.37,0.506,0.404122669063132,0.0112311629229457,0.988768837077054,0.595877330936868,0.978512171902625,0.404122669063132,0.572007791072068,0.662179969879518
0.38,0.373,0.421534486632218,0.0223201592266136,0.977679840773386,0.578465513367783,0.959841411945261,0.421534486632218,0.585801818678531,0.667011797188755
0.29,0.336,0.299539429341721,0.0129371623542792,0.987062837645721,0.700460570658279,0.966999093381686,0.299539429341721,0.457395257086496,0.603005773092369
0.09,0.048,0.0631880476297461,0.00135058288313904,0.998649417116861,0.936811952370254,0.983391608391609,0.0631880476297461,0.118746041798607,0.47609186746988
0.16,0.619,0.111210963828353,0.000568666477111174,0.999431333522889,0.888789036171647,0.995975855130785,0.111210963828353,0.200080840743735,0.503263052208835
