lamb1,lamb2,lamb3,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
4,2,10,0,0,1,1,0,0,0,0.447630375114364
4,3,8,0,0,1,1,0,0,0,0.447630375114364
3,5,3,0,0,1,1,0,0,0,0.447630375114364
7,6,4,0,0,1,1,0,0,0,0.447630375114364
6,7,9,0,0,1,1,0,0,0,0.447630375114364
5,4,5,0,0,1,1,0,0,0,0.447630375114364
7,10,8,0,0,1,1,0,0,0,0.447630375114364
10,5,5,0,0,1,1,0,0,0,0.447630375114364
6,7,2,0,0,1,1,0,0,0,0.447630375114364
4,10,9,0,0,1,1,0,0,0,0.447630375114364
10,10,5,0,0,1,1,0,0,0,0.447630375114364
10,8,10,0,0,1,1,0,0,0,0.447630375114364
10,4,9,0,0,1,1,0,0,0,0.447630375114364
4,9,7,0,0,1,1,0,0,0,0.447630375114364
9,10,5,0,0,1,1,0,0,0,0.447630375114364
8,4,9,0,0,1,1,0,0,0,0.447630375114364
10,8,4,0,0,1,1,0,0,0,0.447630375114364
4,4,5,0,0,1,1,0,0,0,0.447630375114364
5,8,5,0,0,1,1,0,0,0,0.447630375114364
2,7,7,0,0,1,1,0,0,0,0.447630375114364
8,6,2,0,0,1,1,0,0,0,0.447630375114364
6,6,5,0,0,1,1,0,0,0,0.447630375114364
8,9,10,0,0,1,1,0,0,0,0.447630375114364
10,4,8,0,0,1,1,0,0,0,0.447630375114364
10,3,9,0,0,1,1,0,0,0,0.447630375114364
8,3,6,0,0,1,1,0,0,0,0.447630375114364
6,7,3,0,0,1,1,0,0,0,0.447630375114364
8,5,7,0,0,1,1,0,0,0,0.447630375114364
6,2,10,0,0,1,1,0,0,0,0.447630375114364
7,7,9,0,0,1,1,0,0,0,0.447630375114364
10,4,5,0,0,1,1,0,0,0,0.447630375114364
3,9,6,0,0,1,1,0,0,0,0.447630375114364
6,4,8,0,0,1,1,0,0,0,0.447630375114364
9,9,2,0,0,1,1,0,0,0,0.447630375114364
3,2,9,0,0,1,1,0,0,0,0.447630375114364
2,8,9,0,0,1,1,0,0,0,0.447630375114364
10,8,10,0,0,1,1,0,0,0,0.447630375114364
10,8,9,0,0,1,1,0,0,0,0.447630375114364
7,7,3,0,0,1,1,0,0,0,0.447630375114364
6,8,6,0,0,1,1,0,0,0,0.447630375114364
10,6,10,0,0,1,1,0,0,0,0.447630375114364
5,7,8,0,0,1,1,0,0,0,0.447630375114364
7,9,8,0,0,1,1,0,0,0,0.447630375114364
9,6,9,0,0,1,1,0,0,0,0.447630375114364
7,8,7,0,0,1,1,0,0,0,0.447630375114364
7,5,8,0,0,1,1,0,0,0,0.447630375114364
8,4,2,0,0,1,1,0,0,0,0.447630375114364
2,10,10,0,0,1,1,0,0,0,0.447630375114364
7,8,4,0,0,1,1,0,0,0,0.447630375114364
3,7,6,0,0,1,1,0,0,0,0.447630375114364
3,3,3,0,0,1,1,0,0,0,0.447630375114364
