scbatch_sz,patbatch_sz,hidden_feats,do_prc,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
350,30,90,0.7,0,0,1,1,0,0,0,0.447630375114364
190,25,90,0.5,0,0,1,1,0,0,0,0.447630375114364
180,65,100,0.6,0,0,1,1,0,0,0,0.447630375114364
70,75,35,0.8,0,0,1,1,0,0,0,0.447630375114364
460,65,90,0.5,0,0,1,1,0,0,0,0.447630375114364
470,50,85,0.7,0,0,1,1,0,0,0,0.447630375114364
410,45,100,0.4,0,0,1,1,0,0,0,0.447630375114364
180,95,55,0.3,0,0,1,1,0,0,0,0.447630375114364
290,65,35,0.9,0,0,1,1,0,0,0,0.447630375114364
300,95,55,0.7,0,0,1,1,0,0,0,0.447630375114364
310,70,50,0.6,0,0,1,1,0,0,0,0.447630375114364
90,80,70,0.9,0,0,1,1,0,0,0,0.447630375114364
310,95,95,0.7,0,0,1,1,0,0,0,0.447630375114364
320,100,45,0.2,0,0,1,1,0,0,0,0.447630375114364
130,40,45,0.3,0,0,1,1,0,0,0,0.447630375114364
330,90,60,0.8,0,0,1,1,0,0,0,0.447630375114364
390,50,35,0.4,0,0,1,1,0,0,0,0.447630375114364
120,75,70,0.7,0,0,1,1,0,0,0,0.447630375114364
300,60,30,0.4,0,0,1,1,0,0,0,0.447630375114364
110,50,70,0.1,0,0,1,1,0,0,0,0.447630375114364
460,50,80,0.8,0,0,1,1,0,0,0,0.447630375114364
130,55,30,0.4,0,0,1,1,0,0,0,0.447630375114364
230,95,70,0.9,0,0,1,1,0,0,0,0.447630375114364
400,100,50,0.8,0,0,1,1,0,0,0,0.447630375114364
180,25,95,0.6,0,0,1,1,0,0,0,0.447630375114364
210,50,80,0.4,0,0,1,1,0,0,0,0.447630375114364
470,30,40,0.8,0,0,1,1,0,0,0,0.447630375114364
430,25,90,0.3,0,0,1,1,0,0,0,0.447630375114364
160,30,25,0.4,0,0,1,1,0,0,0,0.447630375114364
190,40,90,0.4,0,0,1,1,0,0,0,0.447630375114364
360,85,90,0.6,0,0,1,1,0,0,0,0.447630375114364
460,45,50,0.1,0,0,1,1,0,0,0,0.447630375114364
490,50,35,0.4,0,0,1,1,0,0,0,0.447630375114364
110,95,60,0.9,0,0,1,1,0,0,0,0.447630375114364
130,35,90,0.7,0,0,1,1,0,0,0,0.447630375114364
450,65,35,0.8,0,0,1,1,0,0,0,0.447630375114364
140,40,90,0.5,0,0,1,1,0,0,0,0.447630375114364
270,50,95,0.2,0,0,1,1,0,0,0,0.447630375114364
310,65,60,0.6,0,0,1,1,0,0,0,0.447630375114364
110,100,25,0.9,0,0,1,1,0,0,0,0.447630375114364
310,90,55,0.8,0,0,1,1,0,0,0,0.447630375114364
360,65,75,0.4,0,0,1,1,0,0,0,0.447630375114364
420,55,55,0.5,0,0,1,1,0,0,0,0.447630375114364
290,35,85,0.7,0,0,1,1,0,0,0,0.447630375114364
380,60,95,0.1,0,0,1,1,0,0,0,0.447630375114364
330,100,55,0.8,0,0,1,1,0,0,0,0.447630375114364
90,90,70,0.8,0,0,1,1,0,0,0,0.447630375114364
120,80,50,0.9,0,0,1,1,0,0,0,0.447630375114364
160,95,90,0.8,0,0,1,1,0,0,0,0.447630375114364
170,65,95,0.2,0,0,1,1,0,0,0,0.447630375114364
200,50,50,0.5,0,0,1,1,0,0,0,0.447630375114364
