n_pc,resolution,ela_net_alpha,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
30,2.3,0.9,0.000397522112167489,0.0915259780076033,0.908474021992397,0.999602477887833,0.00533096401599289,0.000397522112167489,0.000739872988470313,0.406880146386093
100,3.1,0.4,0.000695663696293106,0.0362588398806361,0.963741160119364,0.999304336303707,0.0231277533039648,0.000695663696293106,0.00135069946936807,0.431784080512351
80,2.6,0.8,0.00122569317918309,0.233209336549074,0.766790663450926,0.998774306820817,0.00644374782305817,0.00122569317918309,0.00205961757911436,0.34391582799634
100,0.7,0.2,0,0,1,1,0,0,0,0.447630375114364
80,1.5,0.4,0.000761917381654355,0.126435841883661,0.873564158116339,0.999238082618346,0.00738125802310655,0.000761917381654355,0.00138125694381888,0.391454711802379
20,3.7,0.5,0.00738728591777918,4.08780607447983e-05,0.999959121939255,0.992612714082221,0.995535714285714,0.00738728591777918,0.0146657459471902,0.451692589204026
60,2.3,0.5,0.000265014741444993,0.0273065445775252,0.972693455422475,0.999734985258555,0.0118343195266272,0.000265014741444993,0.00051842011470045,0.435553522415371
60,1.2,0.8,0.00238513267300494,0.369006254343294,0.630993745656706,0.997614867326995,0.00791295746785361,0.00238513267300494,0.00366542788779718,0.283769441903019
70,2.6,0.3,0.000496902640209362,0.0949597351101664,0.905040264889834,0.999503097359791,0.00641573994867408,0.000496902640209362,0.000922367409684858,0.405397987191217
100,2.4,0.7,0,0,1,1,0,0,0,0.447630375114364
10,3.5,0.8,0.0102693212309935,0.569881044843233,0.430118955156767,0.989730678769007,0.0217528594484598,0.0102693212309935,0.0139520230433413,0.198206770356816
80,0.5,0.5,0,0,1,1,0,0,0,0.447630375114364
70,0.4,0.4,0,0,1,1,0,0,0,0.447630375114364
60,1.1,0.9,0.000231887898764369,0.062420798757307,0.937579201242693,0.999768112101236,0.0045632333767927,0.000231887898764369,0.000441348002900287,0.419817017383349
10,0.3,0.8,0.00483651903137112,0.741364509667661,0.258635490332339,0.995163480968629,0.00798599715567225,0.00483651903137112,0.00602446924838557,0.118444647758463
40,1,0.8,0.0164309139695896,0.337857172055758,0.662142827944242,0.98356908603041,0.0566145417189819,0.0164309139695896,0.0254698572455582,0.305471180237877
80,1.5,0.4,0.000761917381654355,0.126435841883661,0.873564158116339,0.999238082618346,0.00738125802310655,0.000761917381654355,0.00138125694381888,0.391454711802379
100,0.7,0.5,0.00304766952661742,0.319094142173895,0.680905857826105,0.996952330473383,0.0116485186123069,0.00304766952661742,0.00483129841144808,0.30647758462946
30,2.6,0.5,0,0,1,1,0,0,0,0.447630375114364
90,0.4,0.9,0.00344519163878491,0.456934963005355,0.543065036994645,0.996554808361215,0.00921822371919872,0.00344519163878491,0.00501579493115339,0.244995425434584
40,2.8,0.4,0.0162321529135058,0.20982708580305,0.79017291419695,0.983767847086494,0.0871420949670994,0.0162321529135058,0.0273666573582798,0.362671546203111
100,0.4,1,0.00377646006559115,0.457589011977272,0.542410988022728,0.996223539934409,0.0100813583303856,0.00377646006559115,0.00549463790818171,0.244885635864593
70,3.2,0.7,0.000198761056083745,0.0675714344111515,0.932428565588848,0.999801238943916,0.00361663652802893,0.000198761056083745,0.000376813414557558,0.417493138151876
20,1.8,1,0.00738728591777918,4.08780607447983e-05,0.999959121939255,0.992612714082221,0.995535714285714,0.00738728591777918,0.0146657459471902,0.451692589204026
40,0.1,0.2,0.00361082585218803,0.522135469893308,0.477864530106692,0.996389174147812,0.00846141903431144,0.00361082585218803,0.00506164526689731,0.215901189387008
90,2.8,0.2,0.000596283168251234,0.101745493193803,0.898254506806197,0.999403716831749,0.00717989629038692,0.000596283168251234,0.00110111947146265,0.402415370539799
90,0.9,0.1,0.00125882002186372,0.180476638188284,0.819523361811716,0.998741179978136,0.00853357287222097,0.00125882002186372,0.00219399538106236,0.367538883806038
40,2.2,0.2,0.000927551595057475,0.138004333074439,0.861995666925561,0.999072448404942,0.0082256169212691,0.000927551595057475,0.00166711321484922,0.386367795059469
80,1.7,0.9,0.000761917381654355,0.127539549523771,0.872460450476229,0.999238082618346,0.00731784918867324,0.000761917381654355,0.00138013801380138,0.39096065873742
60,0.3,0.5,0,0,1,1,0,0,0,0.447630375114364
90,1.8,0.7,0.00268327425713055,0.350324980582921,0.649675019417079,0.99731672574287,0.00936307941278465,0.00268327425713055,0.00417117256295381,0.292296431838975
50,0.5,0.2,0.00228575214496306,0.378816988922046,0.621183011077955,0.997714247855037,0.00739074550128535,0.00228575214496306,0.00349163778053285,0.27932296431839
30,1,0.5,0,0,1,1,0,0,0,0.447630375114364
10,0.7,0.1,0.00354457216682678,0.592854514981809,0.407145485018191,0.996455427833173,0.00732375085557837,0.00354457216682678,0.00477710560975065,0.184208600182983
10,3.1,0.7,0.0100043064895485,0.484200629522136,0.515799370477865,0.989995693510451,0.0248621058697621,0.0100043064895485,0.014267491850522,0.236413540713632
50,1,1,0.00702289064829231,0.629072476801701,0.370927523198299,0.992977109351708,0.0135888725081726,0.00702289064829231,0.00926006814012405,0.169917657822507
100,2,1,0.00182197634743433,0.285369742059437,0.714630257940563,0.998178023652566,0.00781694144400227,0.00182197634743433,0.00295516213094055,0.320896614821592
100,1.2,0.5,0.00185510319011495,0.23811470383845,0.76188529616155,0.998144896809885,0.00952219010372386,0.00185510319011495,0.00310524564711101,0.342067703568161
30,3.4,0.3,0,0,1,1,0,0,0,0.447630375114364
30,0.4,0.8,0.00235200583032431,0.484118873400646,0.515881126599354,0.997647994169676,0.00595937552459292,0.00235200583032431,0.0033728415002019,0.232223238792315
30,3.5,0.6,0,0,1,1,0,0,0,0.447630375114364
10,0.6,0.2,0.00314705005465929,0.515635858234885,0.484364141765115,0.996852949945341,0.0074750177039893,0.00314705005465929,0.00442931741887355,0.218554437328454
100,2.3,0.1,0.00102693212309935,0.185913420267343,0.814086579732658,0.998973067876901,0.00677003712601005,0.00102693212309935,0.0017833515503653,0.364977127172919
80,0.4,0.5,0,0,1,1,0,0,0,0.447630375114364
90,3,0.1,0.000331268426806241,0.0599681151126191,0.940031884887381,0.999668731573194,0.00677048070412999,0.000331268426806241,0.000631632137443153,0.420969807868253
80,3.1,0.6,0.000198761056083745,0.0911580754609001,0.9088419245391,0.999801238943916,0.00268336314847943,0.000198761056083745,0.000370107639638528,0.406935041171089
40,3.5,1,0.0179547487328983,0.488574582021829,0.511425417978171,0.982045251267102,0.0433808227949416,0.0179547487328983,0.0253977179541248,0.238847209515096
20,4,0.6,0.00738728591777918,4.08780607447983e-05,0.999959121939255,0.992612714082221,0.995535714285714,0.00738728591777918,0.0146657459471902,0.451692589204026
30,2.9,0.8,0.000198761056083745,0.0730490945509545,0.926950905449045,0.999801238943916,0.00334634690462911,0.000198761056083745,0.000375234521575985,0.415041171088747
60,2.5,0.7,0.00159008844866996,0.296856477128725,0.703143522871275,0.99840991155133,0.00656634746922025,0.00159008844866996,0.00256020481638531,0.315626715462031
60,2,0.4,0,0,1,1,0,0,0,0.447630375114364
