nfeature,imputation,independent,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
700,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
2500,ALRA,TRUE,0.00152383476330871,8.17561214895965e-05,0.99991824387851,0.998476165236691,0.958333333333333,0.00152383476330871,0.0030428311559451,0.44843549862763
2700,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
1300,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
800,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
800,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
4200,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
4900,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2700,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
1900,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
3600,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2600,ALRA,TRUE,0.000828171067015603,0,1,0.999171828932984,1,0.000828171067015603,0.00165497153448961,0.448087831655993
1700,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
3900,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2500,KNN,TRUE,0.000132507370722496,0,1,0.999867492629278,1,0.000132507370722496,0.000264979629690968,0.447703568161025
1000,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
1800,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2800,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
500,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
3500,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
800,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
2200,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
800,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
1700,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
3000,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
4800,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1500,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
1300,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
3400,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
5000,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
4100,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
1200,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
2200,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2800,ALRA,FALSE,0,0,1,1,0,0,0,0.447630375114364
1300,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
1400,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
1400,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
1100,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
2000,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
900,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
3900,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
4900,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
4600,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
1700,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
3900,ALRA,TRUE,0,0,1,1,0,0,0,0.447630375114364
2200,None,FALSE,0,0,1,1,0,0,0,0.447630375114364
2600,KNN,FALSE,0,0,1,1,0,0,0,0.447630375114364
700,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
2100,ALRA,TRUE,0.00400834796435552,4.08780607447983e-05,0.999959121939255,0.995991652035644,0.991803278688525,0.00400834796435552,0.00798442706786763,0.449826166514181
1400,KNN,TRUE,0,0,1,1,0,0,0,0.447630375114364
2000,None,TRUE,0,0,1,1,0,0,0,0.447630375114364
