prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0,0,1,1,0,0,0,0.447630375114364
0.5,0.237,0,0,1,1,0,0,0,0.447630375114364
0.15,0.792,0,0,1,1,0,0,0,0.447630375114364
0.25,0.259,0,0,1,1,0,0,0,0.447630375114364
0.27,0.986,0,0,1,1,0,0,0,0.447630375114364
0.23,0.757,0,0,1,1,0,0,0,0.447630375114364
0.28,0.98,0,0,1,1,0,0,0,0.447630375114364
0.1,0.219,0,0,1,1,0,0,0,0.447630375114364
0.31,0.949,0,0,1,1,0,0,0,0.447630375114364
0.23,0.149,0,0,1,1,0,0,0,0.447630375114364
0.01,0.6,0,0,1,1,0,0,0,0.447630375114364
0.21,0.946,0,0,1,1,0,0,0,0.447630375114364
0.1,0.688,0,0,1,1,0,0,0,0.447630375114364
0.37,0.506,0,0,1,1,0,0,0,0.447630375114364
0.38,0.373,0,0,1,1,0,0,0,0.447630375114364
0.29,0.336,0,0,1,1,0,0,0,0.447630375114364
0.09,0.048,0,0,1,1,0,0,0,0.447630375114364
0.16,0.619,0,0,1,1,0,0,0,0.447630375114364
0.31,0.961,0,0,1,1,0,0,0,0.447630375114364
0.39,0.655,0,0,1,1,0,0,0,0.447630375114364
0.38,0.51,0,0,1,1,0,0,0,0.447630375114364
0.37,0.15,0,0,1,1,0,0,0,0.447630375114364
0.29,0.87,0,0,1,1,0,0,0,0.447630375114364
0,0.514,0,0,1,1,0,0,0,0.447630375114364
0.11,0.009,0,0,1,1,0,0,0,0.447630375114364
0.19,0.019,0,0,1,1,0,0,0,0.447630375114364
0.07,0.145,0,0,1,1,0,0,0,0.447630375114364
0.11,0.305,0,0,1,1,0,0,0,0.447630375114364
0.02,0.826,0,0,1,1,0,0,0,0.447630375114364
0.08,0.502,0,0,1,1,0,0,0,0.447630375114364
0.13,0.804,0,0,1,1,0,0,0,0.447630375114364
0.12,0.061,0,0,1,1,0,0,0,0.447630375114364
0.19,0.928,0,0,1,1,0,0,0,0.447630375114364
0.41,0.808,0,0,1,1,0,0,0,0.447630375114364
0.15,0.079,0,0,1,1,0,0,0,0.447630375114364
0.15,0.601,0,0,1,1,0,0,0,0.447630375114364
0.31,0.715,0,0,1,1,0,0,0,0.447630375114364
0.33,0.514,0,0,1,1,0,0,0,0.447630375114364
0.4,0.72,0,0,1,1,0,0,0,0.447630375114364
0.31,0.75,0,0,1,1,0,0,0,0.447630375114364
0.24,0.096,0,0,1,1,0,0,0,0.447630375114364
0.35,0.398,0,0,1,1,0,0,0,0.447630375114364
0.39,0.294,0,0,1,1,0,0,0,0.447630375114364
0.1,0.617,0,0,1,1,0,0,0,0.447630375114364
0.37,0.974,0,0,1,1,0,0,0,0.447630375114364
0.08,0.618,0,0,1,1,0,0,0,0.447630375114364
0.04,0.521,0,0,1,1,0,0,0,0.447630375114364
0.14,0.903,0,0,1,1,0,0,0,0.447630375114364
0.18,0.637,0,0,1,1,0,0,0,0.447630375114364
0.16,0.864,0,0,1,1,0,0,0,0.447630375114364
0.2,0.585,0,0,1,1,0,0,0,0.447630375114364
