prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0.0650611190247458,0.0164738584801537,0.983526141519846,0.934938880975254,0.829742289818335,0.0650611190247458,0.120661055477054,0.476193961573651
0.5,0.237,0,0,1,1,0,0,0,0.447630375114364
0.15,0.792,0.0479345413588631,0.0100560029432204,0.98994399705678,0.952065458641137,0.854695806261075,0.0479345413588631,0.0907779171894605,0.4696065873742
0.25,0.259,0.170238844535727,0.0798757306953358,0.920124269304664,0.829761155464273,0.724517129564359,0.170238844535727,0.275697424892704,0.505910338517841
0.27,0.986,0.145526219895982,0.0126721988308875,0.987327801169113,0.854473780104018,0.934084626833936,0.145526219895982,0.251820005732302,0.522342177493138
0.23,0.757,0.116010203067546,0.024731226750603,0.975268773249397,0.883989796932454,0.852690528366204,0.116010203067546,0.204233976788943,0.50064043915828
0.28,0.98,0.158246927485341,0.0136123942280178,0.986387605771982,0.841753072514659,0.934833659491194,0.158246927485341,0.270674561577471,0.528947849954254
0.1,0.219,0.0502534203465068,0.0226464456526182,0.977353554347382,0.949746579653493,0.732496378561082,0.0502534203465068,0.0940541881083762,0.465251601097896
0.31,0.949,0.181369463676417,0.019457956914524,0.980542043085476,0.818630536323583,0.920013443118803,0.181369463676417,0.303005146936743,0.539103385178408
0.23,0.149,0.153443535296651,0.06687650737849,0.93312349262151,0.846556464703349,0.738991703892789,0.153443535296651,0.254121519681799,0.502451967063129
0.01,0.6,0.00115943949382184,0.000122634182234395,0.999877365817766,0.998840560506178,0.921052631578947,0.00115943949382184,0.00231596360628619,0.448215919487649
0.21,0.946,0.0829164872296022,0.00764419735927728,0.992355802640723,0.917083512770398,0.930483271375465,0.0829164872296022,0.152264501018949,0.490009149130833
0.1,0.688,0.0320005300294829,0.00678575808363651,0.993214241916364,0.967999469970517,0.853356890459364,0.0320005300294829,0.0616877933522782,0.462268984446478
0.37,0.506,0.292211879285785,0.0828598291297061,0.917140170870294,0.707788120714215,0.813145280235988,0.292211879285785,0.4299256732058,0.571948764867338
0.38,0.373,0.305495743200716,0.129256428075052,0.870743571924948,0.694504256799285,0.744670542635659,0.305495743200716,0.43325268375185,0.558517840805124
0.29,0.336,0.206910259383178,0.0965539794792135,0.903446020520786,0.793089740616822,0.725604089219331,0.206910259383178,0.322000257765176,0.518700823421775
0.09,0.048,0.0427667539006857,0.0156154192045129,0.984384580795487,0.957233246099314,0.771667662881052,0.0427667539006857,0.0810420590081607,0.464263494967978
0.16,0.619,0.0717196144035512,0.0127539549523771,0.987246045047623,0.928280385596449,0.874041178845378,0.0717196144035512,0.132561841783003,0.481537053979872
0.31,0.961,0.179348726272899,0.0193762007930344,0.980623799206966,0.820651273727101,0.919497282608696,0.179348726272899,0.30015246015246,0.538023787740165
0.39,0.655,0.312154238579521,0.0722315333360585,0.927768466663941,0.687845761420479,0.842091152815014,0.312154238579521,0.455470430432366,0.58772186642269
0.38,0.51,0.308344651671249,0.0840452928913052,0.915954707108695,0.691655348328751,0.819077789510736,0.308344651671249,0.448027724964501,0.580329368709973
0.37,0.15,0.293801967734455,0.142460041695622,0.857539958304378,0.706198032265545,0.717905131941072,0.293801967734455,0.416962459744717,0.546148215919488
0.29,0.87,0.163580349156922,0.0250173731758165,0.974982626824183,0.836419650843078,0.88972972972973,0.163580349156922,0.276352239975376,0.526788655077768
0,0.514,0,0,1,1,0,0,0,0.447630375114364
