"",all_results,benchmark
lu_adc_GSE123902_GSM3516662_120772934388134,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_120786758522667,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_120864470887134,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_121276833327460,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_121742672193460,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_121965727148323,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_121965772979430,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122282749126891,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122282764036316,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122308412173555,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122310443784563,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122428792650461,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_122436455460197,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_125745325337827,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126218817916332,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126681615911668,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126706311347611,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126765621786461,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126765667673822,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_126776270772573,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_129457519286563,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_129497354880883,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_129565671151979,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_130185535548213,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_130194259458923,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_130675130390941,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_130693127662500,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_130736345692534,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_131175256898932,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_131310502459758,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_133854510574837,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_133974616885612,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_133974636255454,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_133982106315486,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_133982133274477,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134033692117429,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134041161886627,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134376330578654,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134448003013982,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134472820255468,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134522347318515,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_134938019388763,TRUE,FALSE
lu_adc_GSE123902_GSM3516662_135014267406053,TRUE,FALSE
