"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.01,0.01,0,0.0023300494624535,0.997669950537546,1,0,0.446587374199451
process_0.02,0.02,3.31268426806241e-05,0.00531414789682378,0.994685852103176,0.999966873157319,6.59674120984234e-05,0.445269899359561
process_0.03,0.03,6.62536853612482e-05,0.00960634427502759,0.990393655724972,0.999933746314639,0.000131475151196424,0.443366880146386
process_0.04,0.04,0.000132507370722496,0.0138985406532314,0.986101459346769,0.999867492629278,0.000262028757656153,0.441482159194876
process_0.05,0.05,0.000496902640209362,0.0179045906062216,0.982095409393778,0.999503097359791,0.00097911227154047,0.439890210430009
process_0.06,0.06,0.000828171067015603,0.0236683971712382,0.976331602828762,0.999171828932984,0.00162385112532883,0.437493138151876
process_0.07,0.07,0.00115943949382184,0.027756203245718,0.972243796754282,0.998840560506178,0.00226529885764215,0.435846294602013
process_0.08,0.08,0.00175572266207308,0.0341740587826514,0.965825941217349,0.998244277337927,0.00341099240571502,0.433302836230558
process_0.09,0.09,0.0026170205717693,0.0417773780811838,0.958222621918816,0.997382979428231,0.00504985937100486,0.430375114364135
process_0.1,0.1,0.00308079636929804,0.048236111678862,0.951763888321138,0.996919203630702,0.00591226954863319,0.427740164684355
process_0.11,0.11,0.00404147480703614,0.0569840166782488,0.943015983321751,0.995958525192964,0.0076964325142731,0.424354986276304
process_0.12,0.12,0.00483651903137112,0.0641785553693333,0.935821444630667,0.995163480968629,0.00915274425602608,0.421573650503202
process_0.13,0.13,0.00573094378374797,0.0689204104157299,0.93107958958427,0.994269056216252,0.0107969793421956,0.419945105215005
process_0.14,0.14,0.00679100274952794,0.0736213874013817,0.926378612598618,0.993208997250472,0.0127356878824589,0.418426349496798
process_0.15,0.15,0.00901050120912976,0.0788129011159711,0.921187098884029,0.99098949879087,0.0167968629388335,0.417328453796889
process_0.16,0.16,0.00970616490542286,0.0815517311858725,0.918448268814127,0.990293835094577,0.018044649730562,0.416486733760293
process_0.17,0.17,0.0112962533540928,0.085721293381842,0.914278706618158,0.988703746645907,0.020904214559387,0.415498627630375
process_0.18,0.18,0.0117931559943022,0.0885827576339779,0.911417242366022,0.988206844005698,0.0217670437175176,0.414492223238792
process_0.19,0.19,0.0128863418027628,0.0907084167927074,0.909291583207293,0.987113658197237,0.0237231285256899,0.414144556267155
process_0.2,0.2,0.0138470202405009,0.0929975881944161,0.907002411805584,0.986152979759499,0.0254257907542579,0.413650503202196
process_0.21,0.21,0.0155033623745321,0.09524588153538,0.90475411846462,0.984496637625468,0.0283765347885402,0.41355901189387
process_0.22,0.22,0.0169940702951602,0.0976168090585783,0.902383190941422,0.98300592970484,0.0310082205029014,0.413321134492223
process_0.23,0.23,0.018153509788982,0.100028614642521,0.899971385357479,0.981846490211018,0.0330299560002411,0.41288197621226
process_0.24,0.24,0.0195779640242488,0.101868127376037,0.898131872623963,0.980422035975751,0.0355275022542831,0.41284537968893
process_0.26,0.26,0.0230562825057144,0.109675836978294,0.890324163021706,0.976943717494286,0.0414705356610856,0.411271729185727
process_0.27,0.27,0.0254414151787193,0.116052814454482,0.883947185545518,0.974558584821281,0.0454518553589395,0.409734675205855
process_0.28,0.28,0.0284890847053367,0.121980133262478,0.878019866737522,0.971510915294663,0.0505421527430872,0.408764867337603
process_0.29,0.29,0.0316030079173154,0.129297306135797,0.870702693864203,0.968396992082685,0.0556203358208955,0.407209515096066
process_0.3,0.3,0.0350813263987809,0.136246576462413,0.863753423537587,0.964918673601219,0.0612510483241274,0.406020128087832
process_0.31,0.31,0.0383608838241627,0.143563749335732,0.856436250664269,0.961639116175837,0.0664428952577674,0.40455626715462
process_0.32,0.32,0.0426673733726439,0.15002248293341,0.84997751706659,0.957332626627356,0.0732963437188789,0.404043915827996
process_0.33,0.33,0.0472057508198894,0.156808241017046,0.843191758982954,0.952794249180111,0.0803994583615437,0.403513266239707
process_0.34,0.34,0.0518766356378574,0.163634877161427,0.836365122838573,0.948123364362143,0.0875936905694149,0.403037511436414
process_0.35,0.35,0.0570444230960347,0.171074684216981,0.828925315783019,0.942955576903965,0.095417520917604,0.40256175663312
process_0.36,0.36,0.0612846589591546,0.179209418305196,0.820790581694804,0.938715341040845,0.101589742181708,0.401262580054895
process_0.37,0.37,0.0662536853612482,0.186526591178515,0.813473408821486,0.933746314638752,0.108843537414966,0.400731930466606
process_0.38,0.38,0.0720840096730381,0.194293422720026,0.805706577279974,0.927915990326962,0.117254014441211,0.400475754803294
process_0.39,0.39,0.0786431245238016,0.201160936925152,0.798839063074848,0.921356875476198,0.126674136919055,0.401024702653248
process_0.4,0.4,0.0844403219929109,0.208846012345174,0.791153987654826,0.915559678007089,0.134707358964196,0.400786825251601
process_0.41,0.41,0.0911319442143969,0.217226014797858,0.782773985202142,0.908868055785603,0.143835616438356,0.400731930466606
process_0.42,0.42,0.0984529764468149,0.22585128561501,0.77414871438499,0.901547023553185,0.153655257987799,0.400914913083257
process_0.43,0.43,0.106039023420678,0.234353922249928,0.765646077750072,0.893960976579322,0.163646123565349,0.401299176578225
process_0.44,0.44,0.114386987776195,0.242693046641867,0.757306953358133,0.885613012223805,0.174495287667079,0.402177493138152
process_0.45,0.45,0.122933713187796,0.250132853697421,0.749867146302579,0.877066286812204,0.185471174750731,0.403568161024703
process_0.46,0.46,0.13214297545301,0.259248661243511,0.740751338756489,0.867857024546991,0.196900143146256,0.404574565416285
process_0.47,0.47,0.141484745088946,0.267465151453215,0.732534848546785,0.858515254911054,0.208336382039462,0.406056724611162
process_0.48,0.48,0.15072713419684,0.276417446756326,0.723582553243674,0.84927286580316,0.219282392346804,0.407154620311071
process_0.49,0.49,0.159803889091331,0.286064669092098,0.713935330907902,0.840196110908669,0.229665071770335,0.407849954254346
process_0.5,0.5,0.169178785569947,0.294608183787761,0.705391816212239,0.830821214430053,0.240323757088069,0.409204025617566
