arch,ff_depth,bag_depth,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
DenseNet,6,4,0.000543183052688756,6.58046260652124e-05,0.999934195373935,0.999456816947311,0.333333333333333,0.000543183052688756,0.00108459869848156,0.942855370106099
DenseNet,8,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,6,9,0,0,1,1,0,0,0,0.942886393249364
Standard,7,6,0,0,1,1,0,0,0,0.942886393249364
DenseNet,10,6,0,0,1,1,0,0,0,0.942886393249364
Standard,3,8,0,0,1,1,0,0,0,0.942886393249364
Standard,6,3,0,0,1,1,0,0,0,0.942886393249364
Standard,9,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,3,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,2,8,0,0,1,1,0,0,0,0.942886393249364
Standard,10,5,0,0,1,1,0,0,0,0.942886393249364
Standard,10,10,0,0,1,1,0,0,0,0.942886393249364
Standard,7,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,6,5,0,9.87069390978186e-05,0.999901293060902,1,0,0,0,0.942793323819569
Standard,10,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,5,9,0,0,1,1,0,0,0,0.942886393249364
Standard,7,10,0,0,1,1,0,0,0,0.942886393249364
DenseNet,9,3,0,9.87069390978186e-05,0.999901293060902,1,0,0,0,0.942793323819569
DenseNet,7,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,7,5,0,0,1,1,0,0,0,0.942886393249364
DenseNet,8,9,0,0,1,1,0,0,0,0.942886393249364
Standard,2,7,0,0,1,1,0,0,0,0.942886393249364
DenseNet,7,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,3,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,2,4,0,3.29023130326062e-05,0.999967097686967,1,0,0,0,0.942855370106099
DenseNet,3,8,0,0,1,1,0,0,0,0.942886393249364
Standard,5,8,0,0,1,1,0,0,0,0.942886393249364
Standard,6,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,7,10,0,0,1,1,0,0,0,0.942886393249364
Standard,4,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,10,5,0,0,1,1,0,0,0,0.942886393249364
Standard,5,4,0.000543183052688756,6.58046260652124e-05,0.999934195373935,0.999456816947311,0.333333333333333,0.000543183052688756,0.00108459869848156,0.942855370106099
DenseNet,7,7,0,0,1,1,0,0,0,0.942886393249364
Standard,10,8,0,0,1,1,0,0,0,0.942886393249364
Standard,10,10,0,0,1,1,0,0,0,0.942886393249364
DenseNet,8,10,0,0,1,1,0,0,0,0.942886393249364
DenseNet,4,10,0,0,1,1,0,0,0,0.942886393249364
DenseNet,9,7,0,0,1,1,0,0,0,0.942886393249364
DenseNet,10,9,0,0,1,1,0,0,0,0.942886393249364
Standard,4,5,0,0,1,1,0,0,0,0.942886393249364
DenseNet,8,6,0,3.29023130326062e-05,0.999967097686967,1,0,0,0,0.942855370106099
Standard,4,6,0,0,1,1,0,0,0,0.942886393249364
Standard,8,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,7,6,0,0,1,1,0,0,0,0.942886393249364
DenseNet,6,7,0,0,1,1,0,0,0,0.942886393249364
DenseNet,6,5,0,9.87069390978186e-05,0.999901293060902,1,0,0,0,0.942793323819569
DenseNet,9,3,0,9.87069390978186e-05,0.999901293060902,1,0,0,0,0.942793323819569
Standard,4,9,0,0,1,1,0,0,0,0.942886393249364
DenseNet,3,8,0,0,1,1,0,0,0,0.942886393249364
DenseNet,3,4,0,3.29023130326062e-05,0.999967097686967,1,0,0,0,0.942855370106099
DenseNet,3,5,0,0,1,1,0,0,0,0.942886393249364
