tred,repeat_times,alpha_samples,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
1.5,15,5e-04|0.001|0.005|0.01|0.05,0.979359043997827,0.994636922975685,0.00536307702431481,0.0206409560021727,0.056285705366341,0.979359043997827,0.106453327035484,0.0609914996587454
1.5,12,5e-04|0.001|0.005|0.01|0.05,0.979359043997827,0.994636922975685,0.00536307702431481,0.0206409560021727,0.056285705366341,0.979359043997827,0.106453327035484,0.0609914996587454
5,10,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
1,10,5e-04|0.001|0.005|0.01|0.05,0.98261814231396,0.99470272760175,0.0052972723982496,0.0173818576860402,0.0564589120189757,0.98261814231396,0.106782362316274,0.0611155922318049
3,11,5e-04|0.001|0.005|0.01|0.05,0.96523628462792,0.994340802158392,0.00565919784160827,0.0347637153720804,0.0555347209200575,0.96523628462792,0.105026744289134,0.0604641062232425
2.5,19,5e-04|0.001|0.005|0.01|0.05,0.973384030418251,0.994406606784457,0.00559339321554305,0.026615969581749,0.0559737622989224,0.973384030418251,0.10586011342155,0.0608674070856859
2,20,5e-04|0.001|0.005|0.01|0.05,0.976643128734383,0.99457111834962,0.00542888165038002,0.0233568712656165,0.0561418847186661,0.976643128734383,0.106180057282901,0.0608984302289508
3,5,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
5,6,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
2.5,5,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
1.5,6,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
4.5,8,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
4.5,17,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
4.5,9,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
1.5,10,5e-04|0.001|0.005|0.01|0.05,0.979359043997827,0.994636922975685,0.00536307702431481,0.0206409560021727,0.056285705366341,0.979359043997827,0.106453327035484,0.0609914996587454
4,19,5e-04|0.001|0.005|0.01|0.05,0.953286257468767,0.994340802158392,0.00565919784160827,0.046713742531233,0.054884913685264,0.953286257468767,0.103793949788568,0.0597815970714153
5,7,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
3.5,13,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
5,8,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
1.5,13,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
2,20,5e-04|0.001|0.005|0.01|0.05,0.976643128734383,0.99457111834962,0.00542888165038002,0.0233568712656165,0.0561418847186661,0.976643128734383,0.106180057282901,0.0608984302289508
0.5,18,5e-04|0.001|0.005|0.01|0.05,0.985877240630092,0.994900141479946,0.00509985852005396,0.0141227593699077,0.0566249649018813,0.985877240630092,0.107098601522393,0.0611155922318049
3.5,13,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
2.5,11,5e-04|0.001|0.005|0.01|0.05,0.973384030418251,0.994406606784457,0.00559339321554305,0.026615969581749,0.0559737622989224,0.973384030418251,0.10586011342155,0.0608674070856859
5,7,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
3.5,12,5e-04|0.001|0.005|0.01|0.05,0.957088538837588,0.994340802158392,0.00565919784160827,0.0429114611624117,0.0550917675014852,0.957088538837588,0.10418637653737,0.0599987590742694
4.5,20,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
4.5,18,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
5,16,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
3.5,19,5e-04|0.001|0.005|0.01|0.05,0.957088538837588,0.994340802158392,0.00565919784160827,0.0429114611624117,0.0550917675014852,0.957088538837588,0.10418637653737,0.0599987590742694
2.5,13,5e-04|0.001|0.005|0.01|0.05,1,1,0,0,0.057113606750636,1,0.108055759354365,0.057113606750636
3.5,18,5e-04|0.001|0.005|0.01|0.05,0.957088538837588,0.994340802158392,0.00565919784160827,0.0429114611624117,0.0550917675014852,0.957088538837588,0.10418637653737,0.0599987590742694
2.5,18,5e-04|0.001|0.005|0.01|0.05,0.973384030418251,0.994406606784457,0.00559339321554305,0.026615969581749,0.0559737622989224,0.973384030418251,0.10586011342155,0.0608674070856859
3,20,5e-04|0.001|0.005|0.01|0.05,0.96523628462792,0.994340802158392,0.00565919784160827,0.0347637153720804,0.0555347209200575,0.96523628462792,0.105026744289134,0.0604641062232425
4.5,7,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
1,18,5e-04|0.001|0.005|0.01|0.05,0.98261814231396,0.99470272760175,0.0052972723982496,0.0173818576860402,0.0564589120189757,0.98261814231396,0.106782362316274,0.0611155922318049
2.5,17,5e-04|0.001|0.005|0.01|0.05,0.973384030418251,0.994406606784457,0.00559339321554305,0.026615969581749,0.0559737622989224,0.973384030418251,0.10586011342155,0.0608674070856859
4,20,5e-04|0.001|0.005|0.01|0.05,0.953286257468767,0.994340802158392,0.00565919784160827,0.046713742531233,0.054884913685264,0.953286257468767,0.103793949788568,0.0597815970714153
1,11,5e-04|0.001|0.005|0.01|0.05,0.98261814231396,0.99470272760175,0.0052972723982496,0.0173818576860402,0.0564589120189757,0.98261814231396,0.106782362316274,0.0611155922318049
0.5,7,5e-04|0.001|0.005|0.01|0.05,0.985877240630092,0.994900141479946,0.00509985852005396,0.0141227593699077,0.0566249649018813,0.985877240630092,0.107098601522393,0.0611155922318049
4.5,11,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
3,14,5e-04|0.001|0.005|0.01|0.05,0.96523628462792,0.994340802158392,0.00565919784160827,0.0347637153720804,0.0555347209200575,0.96523628462792,0.105026744289134,0.0604641062232425
2.5,19,5e-04|0.001|0.005|0.01|0.05,0.973384030418251,0.994406606784457,0.00559339321554305,0.026615969581749,0.0559737622989224,0.973384030418251,0.10586011342155,0.0608674070856859
4.5,9,5e-04|0.001|0.005|0.01|0.05,0.950570342205323,0.994340802158392,0.00565919784160827,0.0494296577946768,0.0547371055018611,0.950570342205323,0.103513545486809,0.0596264813550909
