nfeature,imputation,independent,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
3500,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
1900,None,FALSE,0.00543183052688756,0.0084887967624124,0.991511203237588,0.994568169473112,0.0373134328358209,0.00543183052688756,0.00948316737790422,0.935192653719675
1800,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
700,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
4600,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
4700,KNN,TRUE,0.046713742531233,0.00707399730201033,0.99292600269799,0.953286257468767,0.285714285714286,0.046713742531233,0.0802987861811391,0.938884407768195
4100,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
1800,ALRA,TRUE,0,0,1,1,0,0,0,0.942886393249364
2900,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
3000,ALRA,TRUE,0,6.58046260652124e-05,0.999934195373935,1,0,0,0,0.942824346962834
3100,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
900,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
3100,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
3200,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
1300,ALRA,TRUE,0,0,1,1,0,0,0,0.942886393249364
3300,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
3900,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
1200,ALRA,TRUE,0,0,1,1,0,0,0,0.942886393249364
3000,ALRA,TRUE,0,9.87069390978186e-05,0.999901293060902,1,0,0,0,0.942793323819569
1100,None,FALSE,0,0,1,1,0,0,0,0.942886393249364
4600,KNN,TRUE,0.0613796849538294,0.00792945744085809,0.992070542559142,0.938620315046171,0.319209039548023,0.0613796849538294,0.102961275626424,0.93891543091146
1300,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
2300,None,FALSE,0.00217273221075502,0.00763333662356464,0.992366663376435,0.997827267789245,0.0169491525423729,0.00217273221075502,0.00385170919595571,0.935813116584972
4000,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
1800,None,FALSE,0,0,1,1,0,0,0,0.942886393249364
2100,None,TRUE,0.00271591526344378,0.00855460138847761,0.991445398611522,0.997284084736556,0.0188679245283019,0.00271591526344378,0.00474833808167142,0.934975491716821
4700,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
4300,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
1600,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
1900,None,FALSE,0.00543183052688756,0.0084887967624124,0.991511203237588,0.994568169473112,0.0373134328358209,0.00543183052688756,0.00948316737790422,0.935192653719675
3600,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
4600,None,FALSE,0,0,1,1,0,0,0,0.942886393249364
4900,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
1100,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
1300,ALRA,TRUE,0,0,1,1,0,0,0,0.942886393249364
4500,ALRA,TRUE,0.524714828897339,0.143125061691837,0.856874938308163,0.475285171102662,0.181715575620767,0.524714828897339,0.269945507894369,0.837904076441025
1400,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
2700,ALRA,TRUE,0,6.58046260652124e-05,0.999934195373935,1,0,0,0,0.942824346962834
3100,None,FALSE,0,0,1,1,0,0,0,0.942886393249364
1100,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
3100,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
3600,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
4200,KNN,TRUE,0,0,1,1,0,0,0,0.942886393249364
2900,None,TRUE,0,0,1,1,0,0,0,0.942886393249364
3800,ALRA,TRUE,0.0141227593699077,0.00223735728621722,0.997762642713783,0.985877240630092,0.276595744680851,0.0141227593699077,0.0268733850129199,0.941583421232239
3300,ALRA,TRUE,0.00217273221075502,0.000493534695489093,0.999506465304511,0.997827267789245,0.210526315789474,0.00217273221075502,0.0043010752688172,0.94254513867345
900,ALRA,FALSE,0,0,1,1,0,0,0,0.942886393249364
1200,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
1600,KNN,FALSE,0,0,1,1,0,0,0,0.942886393249364
1700,ALRA,TRUE,0,0,1,1,0,0,0,0.942886393249364
2000,None,TRUE,0.00162954915806627,0.00829138288421676,0.991708617115783,0.998370450841934,0.0117647058823529,0.00162954915806627,0.00286259541984733,0.93516163057641
