"",process_0.05,process_0.1,process_0.15,process_0.2,process_0.25,process_0.3,process_0.35,process_0.4,process_0.45,process_0.5
lu_adc_GSE123902_GSM3516662_120772934388134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_120786758522667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_120864470887134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_121276833327460,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_121742672193460,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_121965727148323,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_121965772979430,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122282749126891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122282764036316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122308412173555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122310443784563,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122428792650461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_122436455460197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_125745325337827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126218817916332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126681615911668,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126706311347611,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126765621786461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126765667673822,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_126776270772573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_129457519286563,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_129497354880883,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_129565671151979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_130185535548213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_130194259458923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_130675130390941,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_130693127662500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_130736345692534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_131175256898932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_131310502459758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_133854510574837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_133974616885612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_133974636255454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_133982106315486,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_133982133274477,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134033692117429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134041161886627,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134376330578654,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134448003013982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134472820255468,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134522347318515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_134938019388763,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_135014267406053,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_135064451923355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_135150516976046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_135571558525875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_155971413555555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_156453536458676,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_156463334578478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_157477604804405,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_157537747461852,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_157537766329643,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_157684178835750,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_160440071085277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_160928757935005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_160996525001123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_161340154301230,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_161883180623580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_162001533429613,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_162078842895155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_162090680699117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_164698906840299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_164753444858805,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_164761064589214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_164761096052062,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_164818777655147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_165164925274413,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lu_adc_GSE123902_GSM3516662_165325596183899,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
