Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
FRZB,MLKL,GATC,PLAAT4,SLC39A10,SCN4A,SNAPC2,NR2F2,AP000320.1,GALNT7,HECW2,FAM47E,SLC25A23,LSMEM1,ZNF607,SLC6A9,DDX51,AP000439.1,VCPKMT,DMAC2,C7,LSM6,DOP1B,KHDRBS1,UBTF,MORC2,MAP2,REL,MYO1D,CNKSR3,C2orf68,ADAMTS10,LINC01465,TMEM129,EP400,ZC3H12A,CTNNA1,MB,RASA1,ATAD2,TMSB15A,TPM2,MAP2K2,MARVELD1,POU4F1,GID4,PKD1L1,IKZF4,TULP3,CPED1,TSPAN5,NSD1,C11orf80,ASB3,TMTC3,CNPPD1,DNAH10,SLC6A12,VPS8,LINC01778,TCP1,MKX,L3MBTL2-AS1,CFHR1,AC016722.1,ZFAS1,TAFA5,LINC00588,NLGN4Y,MIPEP,GPC1,NOL10,ASB14,MAN2A2,SPRY2,CLMN,MLXIPL,LSM3,EVC,RBMS3-AS3,HADHB,POLB,ZNF79,C9orf147,LINC01474,CNN2,RPS6KA1,ANKRD29,GOSR1,VPS53,RNF145,BLK,NFIL3,AC098798.1,C5orf51,TUSC3,KCTD21-AS1,CDRT4,TCOF1,ALKBH4
PGAP1,CCDC84-DT,SLC24A2,IRF2BP2,ELK1,A1BG,UBAP1,SNHG15,ZNF439,RBM19,GMPR2,SLC47A1,POLR2E,IER5,ATP11B,NFE2L1,PARP10,ATP5F1D,IGFBP1,TMA7,PI16,DDR1,SOD3,UBE3B,VNN1,DNAAF2,DENND6B,SLC18B1,SLC39A6,TMEM86A,VPS26B,CLTC,MYL5,MAP3K14,EPHB4,CDA,CEP104,BNIP1,VPS72,LINC01507,PRDM15,SIDT1,DOCK8,AP1G1,DDAH1,PIGQ,SLC41A2,COX7C,MYCL-AS1,ZNF112,ARHGEF28,FEZ1,ZNF429,ZFYVE28,FAM53C,NR2F1-AS1,PARP12,MORN4,RAB11FIP4,SLC2A1-AS1,BRK1,TRMT12,TAL2,ATP6V1E1,SYTL1,RFC2,CHUK,TGIF2,ZNF613,ZFAND6,GABPA,CA13,F10,MEG3,BAMBI,SORBS3,BAALC-AS1,FOLR1,SYT3,HNRNPR,TECR,UCHL1,ARX,COPS5,RAB9A,ANKRD26,LRP6,PCOLCE-AS1,RBM10,ATP6V1E2,RANBP10,CCRL2,RPL34,DEAF1,PKIB,RNF7,SAP18,TMEM44,C6orf52,COASY
TSFM,ENDOU,CD9,HAND2,TSR3,AP001267.3,SLC7A4,ZNF765,MYL2,B4GALNT3,PSMC6,LINC00327,C19orf47,CTRC,MYH7,FDXACB1,SPC25,C1orf54,COL22A1,YIF1B,RNF114,SUSD2,RAC2,MRM3,EPHA2,BPTF,AGBL3,PCOTH,HRK,RPS8,UBXN11,KIF1B,AL121992.1,DYM,EPB42,LINC00893,PIK3AP1,ZNF805,ABCC9,UBA7,NSD1,TAF13,CACNA1S,ADCY4,TAF13,LEP,PRICKLE1,HESX1,PAK1,IBA57-DT,ETV7,LINC02586,SGMS2,PTOV1,ZFP2,ITGA3,ERCC5,BRCA2,SLC39A1,ZKSCAN3,ESCO2,DLK2,HERC6,PDE10A,RFT1,CCDC74B,DDIT3,SLC16A2,AC004069.1,PDRG1,HSPG2,ING1,C6orf132,ORC5,TIMM44,GGN,WDCP,FAM53B-AS1,RPS28,LINC00643,ACSL4,PNKD,LINC00525,ENO3,GXYLT2,ACADSB,DCAF15,JAK1,MAN1C1,DNAAF5,CHST12,ERCC3,HGD,POGK,DRAP1,GADL1,IFI35,PHACTR4,FBXL18,MYL2
PTGDR2,CABLES1,KDM4D,LINC02693,SGSM1,CDK2AP1,MGST1,LMF2,MRPL9,SPRTN,ZSCAN5B,KIAA2026,PABPC4,C9orf40,DNAH1,ZSWIM1,PMM1,DDX54,CDC42EP4,GPD2,ROCK2,TRIM55,APOA1,LCN8,TOMM70,RGL1,HCG18,B3GNT2,UHMK1,VTA1,GRIN2D,SCAMP1,AC006372.3,TVP23B,BEX2,STK24-AS1,CRYBG3,TMEM167A,AC096577.1,SARS1,AOC2,PIK3AP1,HOXC13-AS,GLYCTK,PHC1,MCF2L2,LSM5,ZNF696,ZNF705A,ACKR2,GGA3,CPSF1,RFTN2,IQCG,GYS1,NDUFAF2,C1GALT1C1L,STMN3,LPIN1,SLC10A7,MTMR4,PPP1R12C,LINC00702,HOMER1,POLR1B,SLC35G2,EYA4,C1QTNF4,B4GALT2,TRBC2,PCDH10,DGAT2,HSD17B8,ARL17B,DST-AS1,TIMM44,UCN,TNS3,MIRLET7BHG,KCNJ8,CLP1,TBC1D16,AURKB,SEL1L3,TMEM165,AC002553.1,CEP83,CPNE8-AS1,ASIC1,PPP6R1,KHDRBS3,ANKRD13B,STK17A,RBM22,C12orf54,RPUSD1,BAAT,IER2,TMEM221,GEMIN2
MT1M,UBE2E2,ZNF446,AREG,RPP38,GAB3,NPY,MGAT1,MTRNR2L8,PDLIM4,SLC25A34,VPS39,TRMT1,AK2,SLC25A6,MMP24,MYO6,LINC00475,MIR4435-2HG,RPL36A,CDH1,HAUS7,GSTCD-AS1,MRPL20,HMOX2,PRDM5,ARL5A,PRKAA2,LINC02110,BMS1,LINC00691,WDFY2,ATP5MF-PTCD1,CDC45,AC007566.1,MKNK2,BMT2,CUL2,RASSF2,SIRT6,LINC00880,RAB3B,GEM,SLC1A7,NREP,COA4,ZNF605,CNN3,TRADD,NKD2,MPZL1,RNF138,DGKI,ZSCAN23,CCDC15,ZNF563,OMD,STIMATE-MUSTN1,ITGAE,C11orf49,CD2BP2,TFAP2A,LRRC37A,NT5C1B,NCBP2,GAA,METTL22,HK3,ZMYND10,NFATC2,VAC14-AS1,ZNF283,ST7L,ENDOV,SERPINF2,SNX9,CCDC141,GFOD1,MMP11,EMSY,CHMP3,COX14,ING4,STXBP3,FAM215B,FLYWCH1,LAMB3,MCM7,DMRT3,MTIF3,TP73,LINC02731,AC021092.2,SATB2,PPIL4,POLK,SMIM1,PUDP,GSPT2,MRPL41
ZNF852,YWHAG,PRELID3B,LARP7,MRPL21,DCN,THYN1,ZNF471,NR2F2-AS1,ASCC2,CABLES2,AGXT,EGFR,TGFBI,SEC24A,RFC4,MARCHF1,INPP5J,TGM2,ADAMTS5,FKBP10,FAM227A,TMTC1,CFD,CHN1,PRIMPOL,LYST,SLC39A1,IFNAR2,CHMP3,A2M-AS1,ELN,AC139887.2,ZNF335,ATG4C,ECM2,FBN2,DDX50,TOM1L1,NUP50,AC091729.3,TIMP3,ZMYND12,PLVAP,RAPGEF6,GPR39,LRRC34,SNRPD2,DET1,MT1X,TRA2B,LINC00847,SIGIRR,EBAG9,ZNF717,MFN2,NSUN2,ZNF177,RCN1,PPP2R3A,PDLIM5,AP002852.1,ZNF41,PRR14L,EPM2A,PLCB3,MICAL3,PPP1R32,SMCR8,PI4KA,SLC35E2B,PXMP4,GBP3,HGF,LBX1,CCAR1,UBL4A,HIGD2A,AL450384.2,AL358216.1,LINC01136,PPP2R5A,POLDIP3,MED9,ARX,MIR9-3HG,PXMP4,YWHAB,FAM219A,LINC00954,PGPEP1,NDFIP1,CCDC82,FASTKD5,HIVEP3,ANGPTL8,IFT52,NES,EIF3D,PCNT
STRN,NRP2,S100A2,RBMS3-AS2,PTPN21,NUTM2E,ZNF423,MDFIC,FABP5,RGP1,PGF,TBC1D1,KIRREL1,VPS33A,NUCB2,ZDHHC15,HS3ST3B1,CLYBL,ERO1B,B3GALT2,HSPA4,ZYX,MVB12B,FAM20A,SMC1A,HEG1,PARP15,WDR82,SYT8,APOBEC3C,TNFRSF11B,EOGT,CYC1,SCUBE3,DEGS1,IDS,SLC30A6,USP30-AS1,CREG1,ZNF226,CCDC188,CTR9,SFMBT1,SLC12A7,HSPG2,AP002490.1,SHROOM3,CHMP3,IFNGR1,SLC24A3,MYADM,VPS26B,ARHGAP31-AS1,DNHD1,NEMF,FBXO3,SNX12,GHITM,AC124242.1,ATPAF2,H1-4,VAMP5,CUL4B,CAV3,FRY-AS1,ITPR2,TMF1,SBK1,DCBLD1,PPP4R3A,TSEN15,PSMD3,MRPL9,BABAM1,ZCCHC8,KMT2A,SCCPDH,HOXA10,VBP1,AC020659.1,CARNMT1,RAB3IL1,UQCRC2,AC124242.1,C8G,TOMM40L,LINC01111,SALL2,WNT10A,RHBDD3,MVK,TAB3,GDF6,LINC01936,ANKRD13D,AC136475.1,EEF1AKMT1,EXOC4,FAM110B,CBWD2
IL15RA,TMEM254-AS1,SLITRK4,ORC6,TSG101,SYNGR3,DNAJA1,AAMDC,MYCBP2,NOMO3,TWF2,RABGGTB,TET3,SWT1,ELOA,CHST2,FOXRED1,POGLUT2,GAREM1,WWC3,SYMPK,CDK17,UBA2,RNF114,ZFAT,STK3,FKBP14,ATP8B4,LINC01091,PPL,MYT1L,AP003059.1,DUSP15,CCND1,FAM110B,YARS1,KRBOX1,GOLGA6L4,IL1R2,SPRYD7,ZNF436,HNRNPAB,DPAGT1,ADPRHL2,MSL2,APPBP2,C12orf54,CCDC12,NDUFA13,GPNMB,SLC6A1,CCNYL1,TAGLN,AL021392.1,MOSMO,NEMP2,WDR78,HIP1,NMRK2,TMEM102,C5orf15,AC016394.2,FAM229A,KIAA0408,RAB33A,CDR2L,HMGA2,ZNFX1,TOM1L2,RAB26,STMP1,TPPP,HAND2-AS1,HOMEZ,NR2C1,FOXD1,AC007743.1,MGA,ARPC1A,EXO5,AP5B1,CYHR1,ASIP,WDR41,MYDGF,XPO4,ZNF408,ZNF517,TRIM44,SETDB1,AC004923.4,DIS3L2,PIK3CB,RRN3,AL445426.1,ARID3A,LDOC1,GDI1,RUNDC1,ANKRD35
KBTBD12,EIF2S2,LIMD1-AS1,CLIC4,AC018653.3,ALG1L,CDON,NRG1,VLDLR,COL20A1,NAGLU,PLAC9,ZEB2-AS1,Z97353.2,RANBP3L,MFSD4B,ZNF438,PCDHGB6,RBM47,DOCK8-AS1,LTBP1,NPAS2,DNASE1,TRIM2,HAGLROS,SEC24B,CCND3,DNM3,ZC3H12B,ZNF540,KCNT1,AP5B1,CHEK2,HOXB13,RARS2,DNAJB9,AP3B1,LINC00987,ZNF26,CPOX,FAM72A,PAF1,TMEM253,TEP1,DENND3,ZBTB41,SLC26A11,SPATA9,AC106791.1,NUBP2,PIGL,LINC02043,CDKN1C,AL139260.1,SRGAP2B,CAPG,PIGN,DPF2,CFL1,ZNF655,STXBP1,COL1A1,SEC24D,DACT3,TBCB,SP140L,AK9,MYORG,WIZ,FANCG,SLC35E4,ZNF446,LEF1,LRP10,AP006222.1,ZFAND6,ARRDC4,PWP2,NOMO1,ZC2HC1A,SGCD,POTEE,SIM1,PTGDS,LINC02600,COA8,AC008906.1,NECTIN3,PDE1A,PFKFB3,PCNX4,ETS2,CFAP97,TRIM43,DZANK1,NEU4,LARP4,PDP2,ALPK2,ARMH4
ENDOV,TIGAR,NFAT5,HBG2,SBDS,HELQ,HIF1A,RBM7,AL691447.2,KRT80,PTCHD1,COPS3,BORA,CCDC130,ZNF471,ACO2,ZNF235,QRSL1,ZNF799,SIK1,DCAF1,CGAS,PLCG1-AS1,ZNF518B,LY6G5C,TTN,DNMT3A,WNK4,CBWD1,AC116345.1,MTERF4,CCZ1B,ZBED8,AC092910.3,ACCS,SGK3,SPATA22,MTIF3,PRC1,TAX1BP3,ZNF341,PCBP3,ABCD3,ARIH2OS,HNRNPAB,UFSP1,EFHB,PRDX6,AL157786.1,INPP5B,RRAS2,PUM2,CHIT1,MIR181A2HG,ARHGEF28,CYB5RL,TOR1A,TNFRSF1B,ATP6AP1,CD34,FTO,CEP72,RRM2,EHHADH,GPR137,ZDHHC6,AL133353.1,C4orf36,TRIM9,ZBTB20,RAB5IF,TYSND1,LINC01679,CAMSAP2,POLE3,IWS1,AGO3,OXNAD1,ZNF114,SEMA3B-AS1,MARCO,CILP2,SPEF1,AC147067.1,SESN2,AP001351.1,MIR1-1HG-AS1,EVI2A,LMO2,SUSD2,CNNM3,EIF4G3,CCDC28A,AC007319.1,USF1,INHBB,MTRF1L,ALDH4A1,CACNA1H,SNTB1
