Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
SH3RF1,FOSL2,MRC2,NCAPG2,SLC5A6,SS18L1,FERMT2,MRPL50,NUP93,SLC25A22
CCT5,TP53,MPV17L,ZNF823,TFAP2C,JMJD6,CNRIP1,PEG10,TAX1BP3,LRP1
TBC1D10A,LST1,TMEM101,PCCA,NUP85,SRD5A1,GFM1,MRPL14,IRX3,CNOT7
DHX16,MAP3K7,IRX2,CARM1,FEM1A,RAB42,CXCL13,TRAF7,CSNK2B,MAP2K6
SUCLG2,ALKBH6,MAPK3,UBR3,ZNF571,POLH,LONP1,SUFU,LPCAT2,RELL1
PDGFA,VPS13B,WDR13,PPRC1,PLXND1,ARL6IP1,ATP6V1E1,PTK6,QDPR,NAGK
PSTK,JAG1,USP25,LEF1,GYS1,IDE,SOS1,ZNF691,GRSF1,KLHDC1
MYLPF,EIF3I,SNAPC1,TRIB1,TNFRSF1A,MUC4,INTS5,NUP188,DIABLO,PMAIP1
HARS2,KDELR1,AP3M1,DEDD,POSTN,KIAA0895,DUSP6,ADCY7,MBD3,MED28
SYT12,ATXN3,RTP4,KLHL28,CYHR1,UBE2W,MYO5C,PSMA4,LEF1,JAGN1
UBL4A,CBX6,ZBTB25,MARK2,GRHL1,C3,MAP3K2,PM20D2,GPD1,BNIP3L
GFPT2,EDEM1,QSOX1,TCF12,MLH3,ZMAT2,PPP1R8,KIT,CKS2,ERBB3
PTGR2,ZNF510,LRRK1,GPRASP1,KLF11,PPP3CC,PBX4,SCAMP3,PRKCSH,ALDH9A1
GPBP1,SGK3,ERP27,ETV4,PTCH1,UCK2,GBP5,LRRC58,NKTR,TIMM50
HLA-E,ADCK5,ULK2,ARL3,HDLBP,ZNF384,GSTO1,ZNF831,FAM32A,NPAS2
CRELD1,TUBB2B,QKI,RUNX3,CUTC,GRB10,MCM6,ANP32E,SLC25A43,FBXO8
MLLT11,RNF220,GEM,MT2A,ASF1B,DEF6,TEAD1,GIGYF1,DEDD2,DNAJB11
USP6NL,SLPI,PPIL6,LIN7B,MKI67,SEC14L2,SELENBP1,CENPT,TIMM17B,BTBD7
ZNF562,ICMT,AVIL,ZNRF1,UBN1,ZFAT,ZXDB,HERPUD2,HPCAL1,TAP2
HS6ST2,MOCS3,DDX21,CD38,F8,KCNA3,MTMR9,TMBIM4,ALKBH6,SPARCL1
