Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
MAP6D1,ZNF616,SULT1A1,PTPRS,SEC24A,PTAR1,MVP,DERL2,LILRA2,ASB3
PPP1R2,MTMR12,RPS6KA3,HEATR6,BTAF1,RPS25,DIP2C,MLH3,NUP153,SYF2
SYNJ1,CD302,CLPB,TNFSF12,ADAM33,MRPL38,TEAD1,TMEM44,MARVELD2,UNC45A
CCL18,RNPC3,FKBP10,UBE2S,TBCB,LRP10,FAM126A,PDIK1L,RAC2,ZYG11B
C1QTNF3,PRSS1,FMNL2,CFL1,NUDT18,LAMA3,RBBP5,MEF2C,ZNHIT3,MSC
PTMA,ZBTB7A,POR,YWHAB,EEF1A1,CSPP1,GSTP1,GRASP,ACTB,NCAPH2
SGTA,PNPLA4,TNFAIP3,CCDC25,PML,PINK1,DSTYK,URB1,MAP3K10,USP34
FGF18,PARVG,SP4,TMEM115,FKBP1A,SLC35E3,STAG3L2,TACC1,FPGT,PSCA
TMEM64,CILP,NEK1,CCDC85B,MAPK8IP1,CBLC,CHADL,RAB33A,EHD1,EID2
CS,ZNF600,ADPRHL2,DPM3,MIDN,SEZ6L2,JOSD2,TWF2,FAM110C,CLCC1
ZNF222,PCYT2,RPH3AL,GPRC5A,LARP6,PRDM4,ZEB2,FARS2,ZNF660,KPNA2
KLHL8,HLX,MMEL1,ABI1,ZADH2,CRYBG3,TMEM68,IER2,H1FX,TMEM161A
XPA,MPHOSPH8,SPNS3,SLC39A6,SPR,GTPBP1,TBC1D2B,FUCA2,MUM1L1,BCKDHB
RAB31,RICTOR,SOCS4,ZBED1,RRP1B,FLVCR1,MATN4,RGN,OXT,OCEL1
KATNAL2,CSF2,POU6F1,FOXO1,MTFR1,VMO1,SETD4,BNIP2,PRTG,HGF
E2F1,UBE2I,PRMT5,DGCR6L,GYG1,MED6,ZNF480,HSD17B11,KCNJ12,CDSN
GUCY1B3,RSPH3,MORF4L2,PLEKHF1,LFNG,ALG13,SDC2,POPDC3,ARF1,NR2F1
ANKRD13D,NQO1,PCDH19,CCNG1,HMGN1,MYO5A,FKBP11,S100A8,MELK,FAM60A
MFSD10,SYTL1,OPA1,MTRF1L,MLLT11,SYNGR3,VBP1,ZNF507,C10orf2,C8orf44
CCNE1,RNASEH2A,SMARCC2,LSM7,FERMT3,EAF1,ZNF765,GDI2,TMEM25,DLG4
