Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
MAP6D1,ZNF616,SULT1A1,PTPRS,SEC24A,PTAR1,MVP,DERL2,LILRA2,ASB3,TRIM62,ZNF254,SGSM3,HCFC1R1,STAT4,RTKN2,LRRC41,KHDRBS1,CDV3,LYSMD3,P4HTM,EIF2AK3,RBM33,TREM1,CLDND1,GRIA3,C5orf22,MAN1B1,MEF2A,FAM120C,ANXA4,NDUFAF2,SEC61G,IWS1,CTSB,TCEB1,ATP9B,MPZL1,CDH15,CNOT8,CDC42,BNIPL,TMEM134,ZNF354C,MAK16,UBN1,CYP2U1,NIT1,JAM2,MXD3,TIGD6,TULP4,TMEM120A,TMC5,DMKN,HSD17B14,FAM168B,C19orf52,SMPD2,DGAT2,FURIN,DUS1L,DHTKD1,UBL7,MBD6,DOHH,RFNG,HOMER1,HOXD8,SPSB1,IFI6,MARVELD3,SPC24,VAMP5,ENO2,COPS4,EIF3D,BOLA1,ACTB,FAM127A,CLTC,ARSA,SLC22A23,MBD1,SLC12A4,TRAPPC3,LSM14B,UBE2Q2,COX6C,USP37,RBM8A,GTF2H3,RBMS3,ATXN7L1,FBP1,GNG11,STMN1,ABHD2,MED20,FEM1B
PPP1R2,MTMR12,RPS6KA3,HEATR6,BTAF1,RPS25,DIP2C,MLH3,NUP153,SYF2,RINT1,CAND1,UBE2I,DPY30,GGH,USP9X,LGALS2,SPI1,PKP4,LTBP1,UBQLN2,JMJD1C,GLA,PDIA3,KIF5B,TMEM204,PAXIP1,ZMYND8,FCHO2,TERF1,SULF2,COX19,CKAP5,B3GNTL1,SRP19,ERCC2,CAMK1,DUOX1,TTC31,PLCB2,TRPV2,SALL1,THUMPD1,CREBZF,SPP1,ACAT2,SUFU,SCARA3,DUSP5,ATF4,LRRC37A3,HIBCH,ZDHHC4,MEF2C,CATSPER1,BAD,ARMC2,CLECL1,SLIT2,C16orf62,PFKM,FZD4,ZNF823,C4orf19,RB1CC1,ALG11,STON2,TOP3B,RNGTT,MED14,SPTLC1,GTPBP1,IRF1,RCSD1,TOP2B,MAPK1,N4BP2L1,TRIB3,MLH1,PRC1,FZD5,SOX17,RAPGEF5,ATP2B4,PLCB4,KCNK6,COX7A2L,PRMT1,MAPKAPK3,PRSS1,UXT,SAMD4A,BCL7B,UHRF1BP1L,SLC11A2,SHF,DSCC1,MTSS1L,ENTPD2,FIP1L1
SYNJ1,CD302,CLPB,TNFSF12,ADAM33,MRPL38,TEAD1,TMEM44,MARVELD2,UNC45A,TMEM5,CPOX,SASH3,ALG3,SP100,AQR,CENPT,TRDMT1,MRPL22,VASP,ARHGAP21,WDR6,CD248,CYHR1,PDHA1,ZMYM2,MRPL44,SKAP1,FCRLA,TP53RK,TGFB3,CAPZA1,LRRC2,HDX,C15orf62,CASD1,RPL34,SMC5,PLCL2,IRAK2,RPL39L,ZNF609,EHMT2,ZNF514,TJP2,BTBD2,CFB,LCN12,HINT1,RNF182,RASD1,NUMB,BST2,RALB,SERPINA1,HABP4,IPO9,LANCL1,FAM83D,INPPL1,KIF3A,ATP5J,MMP1,PEMT,PTCH1,PRKAA1,MGAT1,ANKS1A,THBD,ZNF268,DNAJC8,IFT57,ZNF444,ACVR1C,CD300C,SORT1,RYBP,KIAA2026,TMEM86B,ATG9B,KLF10,SLC7A5,MOCS3,ZNF786,IQCC,MT1E,NBR2,TBP,PKN1,MAP1B,PCOLCE,HSD17B11,LRRC61,DCLK2,CAPN10,VNN3,PPOX,CNOT2,ASAP2,TTL
CCL18,RNPC3,FKBP10,UBE2S,TBCB,LRP10,FAM126A,PDIK1L,RAC2,ZYG11B,NOP2,SEC22A,ENOX2,BRD1,MSH3,FAM63A,GNB1,TM9SF2,ZDHHC5,ZNF606,ICA1L,ATP5D,FBN2,ELMO2,CASP4,ZFYVE9,ETS2,BEND3,PCDH19,EVC2,SH3GLB1,ACYP2,EIF1,CCDC88B,MRPL24,STXBP1,EXOC6,ATP5D,FAM50A,FKBP4,COL7A1,LRRCC1,CNIH4,GZMH,SNX27,ERBB3,TRPS1,MFAP1,DSCR8,TTYH3,NOTCH3,VGLL1,TBCC,C9orf69,ICA1L,CDKN2A,ALG10,FBXW8,MGAT4A,MEG3,GJA1,RAB40B,MCL1,KLHL24,RPL12,HGD,STEAP1,VILL,ALOX12P2,TOP1,TM9SF1,TIMM17A,SLC7A1,ALKBH3,PTRF,TIGD1,NXPH4,NDUFA1,NDFIP1,ARHGEF6,CCND2,RCAN1,COX16,DAG1,ATP9B,DIRAS3,RANBP10,ZNF587,UBR7,HOMER2,CEP72,ELMO2,FAM173A,CYBB,AQP9,SEC63,RFC5,RFC2,HSPBP1,CABLES1
C1QTNF3,PRSS1,FMNL2,CFL1,NUDT18,LAMA3,RBBP5,MEF2C,ZNHIT3,MSC,ISOC1,PHRF1,OXR1,NAT6,TYK2,PLEKHF1,PSPH,TPM4,GATA3,CCDC130,TFB1M,MACF1,CANT1,UQCRFS1,ATP2A2,MPZL2,NSMAF,AMPD2,TGFBI,MPZL2,ST8SIA4,CNTROB,VPS37A,SELM,GPX1,REXO1,ZNF441,MAN2B2,PWP1,GNB1L,GDAP2,B3GALNT1,SLC39A10,UTP18,CALD1,TMEM120B,APPBP2,PELI3,EXOC6,ALG14,SDR39U1,HN1,USP54,LY86,BCS1L,KBTBD4,CACNA1B,PSMD11,STAC2,MERTK,KRT18,CEACAM1,NXT1,ZNF287,FAS,GPX4,SFXN4,POU3F1,PLD2,PTDSS2,NPHP4,TRMT61A,KLF16,APOL3,UBAP2,NDUFC2,MAP3K11,MNS1,NDFIP2,PSIP1,PVR,MYO1C,EWSR1,PKMYT1,SDS,IGSF8,TUBG2,VANGL1,ZNF197,ERI2,SLC6A8,RANBP2,HK1,ADCY9,CDK4,CTDP1,ZNF438,CRCP,PTAFR,CHMP4B
PTMA,ZBTB7A,POR,YWHAB,EEF1A1,CSPP1,GSTP1,GRASP,ACTB,NCAPH2,RABL3,CXorf23,ACTA2,ARHGEF17,DCUN1D5,TNFRSF19,COL12A1,FANCL,CCNYL1,HDAC9,FAH,ETFDH,TBKBP1,ACYP2,P2RY2,MAPK1IP1L,DST,LONRF1,ZBTB25,SAMD4A,LIPG,SAP30L,FBXL4,ZNF337,SEPP1,PQLC1,SMOC2,HLA-DQA1,TIMM13,HEY1,WDR37,RABAC1,HS3ST3A1,LIAS,H6PD,RNF11,M6PR,WDR5B,DLL3,ARSB,MYBL2,SHFM1,NCAM1,TTLL4,USP13,FBXW7,LCP1,GPX1,C15orf48,IGFBP3,PLA2G15,AMIGO2,SLC36A4,ATP6V1E2,LAS1L,NOV,IRF8,ST3GAL5,TBC1D4,GPR108,GAS1,CCNT1,CCNE1,MSH2,SMARCB1,RGL1,RIOK3,ANO10,NDUFA13,CENPH,MANBAL,DHX9,ARHGEF11,TEAD3,ZNF143,CALB1,VGLL4,THAP7,CKAP2L,UTP18,DDX60L,SPOP,STMN3,C20orf27,LTC4S,NTN4,C2CD2,LINGO1,HSDL1,GTF3C5
SGTA,PNPLA4,TNFAIP3,CCDC25,PML,PINK1,DSTYK,URB1,MAP3K10,USP34,DENND2C,ZSCAN29,HNRNPM,GPX8,CSPP1,IMP4,ASPG,HNRNPA2B1,HMGN2,ANKRA2,HRAS,ZFP28,LIN7C,BOLA3,PLEKHO1,SPATA5,TIMP2,RCOR3,STAT5A,PSTPIP1,FLNA,ERAP1,HPSE,MRPL16,BMP1,KBTBD6,REPIN1,CFLAR,NAT1,TPM2,ENTPD6,UFD1L,RNF219,WBP4,RPS28,TRA2A,BTBD6,CANX,DNHD1,DNMBP,LIN9,ANKLE1,CHKA,FARS2,POSTN,METRNL,DENND1C,AUP1,MYLK,MRPS28,SUPT3H,IL18RAP,FAM50A,SLC39A9,HSF1,IGFBP6,UBE2I,SLBP,SERPINB6,NDST1,CLCN5,LEO1,PEX1,USP8,MAP2K5,IRAK1,ZNF117,WDR55,RCCD1,ZNF684,COL6A1,CD19,TMEM121,FAM174A,BBX,CHST7,ZDHHC12,ATP5E,OMD,ZNF267,NFRKB,SAT1,LRRC17,HDLBP,UCHL1,NRBF2,SAA1,TMEM55A,TIMM44,LTV1
FGF18,PARVG,SP4,TMEM115,FKBP1A,SLC35E3,STAG3L2,TACC1,FPGT,PSCA,ITPR1,GYG1,ZNF101,PPP2R3A,TNFRSF11A,GABARAPL1,IL34,ABCB1,C9orf142,ITGB3,MPDU1,ZNF839,PAPD5,HIF1AN,ZC3H6,C2orf49,CCNL1,OXT,ATF2,PRELID2,NES,PPA2,PSEN1,PDK3,CEBPZ,BIN1,PTGDS,RCAN1,A4GALT,SERPINB7,TMEM64,NAPSB,TBX21,SEC22C,BTBD6,ANKAR,MMP1,EZH1,TM9SF4,PNMA1,DLL3,ANKRD49,GAB3,CLYBL,SLC25A12,ALDOA,CBR4,PRC1,WHSC1,ERCC4,ST3GAL3,PPT1,ATP8B4,NPHP4,PARVA,COX18,CCDC3,ZNF670,HMGB2,ALDH4A1,KHDRBS3,POLL,ZNF606,TANC1,HNRNPH1,PRICKLE1,SLC39A7,MRFAP1L1,TMEM222,CHRNA5,ATP11C,FNBP1L,FAM60A,PLA2G6,USP5,NDUFV1,ARHGAP25,RNMT,TINF2,GNAS,PLEKHF1,HERC6,LOXL1,ACRC,LACTB,CNFN,ZNF766,USP21,LPAR5,PROK2
TMEM64,CILP,NEK1,CCDC85B,MAPK8IP1,CBLC,CHADL,RAB33A,EHD1,EID2,KIF1C,RUFY2,SNX14,BTBD11,ARL2BP,AKIRIN2,ADAMTS14,TTC1,LIN7A,DTNBP1,VCAM1,MTX2,KIF20B,FLNB,MAP4K5,EFNB1,QSOX1,IQCE,USP14,FCGR2A,FAM134A,CALCOCO1,DYNLL1,PRSS16,CHDH,BRMS1,ZNF513,LSG1,AP4B1,HSPA4,MAPRE1,SARS2,SPG20,DNALI1,STAM,SEC24A,NOC4L,PRNP,ACTN1,ZNF280B,SOCS4,SMC2,NFU1,TMEM80,NUP210,C1orf210,BSDC1,TBKBP1,TNC,FBXO34,MRPL27,ZNF586,PCDHB14,SMARCAL1,AQR,PUM1,NINJ1,WDR44,ATG9B,FUZ,SUSD3,SLC10A3,NUDCD2,ATF7IP,CTHRC1,ZNF660,MIA3,SLAMF8,TMEM198,HN1,NUDCD1,NOB1,TSPAN13,PEX26,FGF13,FAM3A,HEXIM1,FJX1,CKS1B,CBX4,GLRX5,ACD,NDUFB6,TM2D3,PAK2,DCLRE1B,AXIN2,EMG1,ELK4,MAML1
CS,ZNF600,ADPRHL2,DPM3,MIDN,SEZ6L2,JOSD2,TWF2,FAM110C,CLCC1,MYBL2,BAZ1B,HSPA2,SLC1A4,SSR1,SS18,EXTL3,C14orf159,CANX,FER1L4,NSMCE4A,TRADD,TIGD6,EMX2,DNAJB12,MAPK3,UHRF2,GTF3C2,NKD2,KCNK6,METTL3,WDFY4,FEZ1,LTV1,RFX2,LSS,FKBPL,ZFAND3,MRPL35,TMEM9,PHKB,FOXP3,RPL38,GMPPA,BICD2,BIRC3,ARL8B,HOPX,TNFRSF11B,IPO7,CDS1,ASH1L,ACADVL,RAB8A,OMA1,DCTN6,MRPS26,MAPK15,OXR1,MDN1,TSPAN1,TOP3B,STAM,ATP5J2,GPR157,RWDD2A,IER5L,TES,WDR59,ABCG1,SERGEF,MCL1,IGHMBP2,MGAT5,PPP2R1A,NDUFS3,GOSR1,HSDL2,LRCH3,KLF12,SLC12A9,CHMP1B,C14orf2,TPBG,JMY,ACSL1,CACNB4,NANP,OAF,NLGN4X,CXXC1,ZDHHC3,C17orf100,CCNB2,NAGA,HGD,SEMA4D,GGT7,MRPS12,RPH3AL
