"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,TMEM220,-2.60839749691217,1.64404723187712,-38.7783004508593,3.90988189598274e-214,4.63281905854994e-210,479.211855072766
2,CXCL2,-4.56917958400277,0.541897024174477,-37.4071978992244,7.67448297327491e-204,4.54674743751672e-200,455.660528364471
3,GPAM,-3.62738369107798,5.0381718097256,-36.9487498582018,2.15609147533502e-200,8.51584263041487e-197,447.919057877033
4,IGFBP6,-3.31049808736357,3.33334108193184,-35.6753974178942,8.41653918739763e-191,2.49318932078686e-187,425.87392996673
5,TNXB,-4.45596306156971,3.75145546563826,-35.4418695817449,4.84840149615933e-189,1.14897418655984e-185,421.832672016242
6,SPRY2,-2.87145469915954,3.67327169438374,-35.3437870092381,2.66123661864037e-188,5.2554987823783e-185,420.135103568086
7,RDH5,-3.84835766150279,-0.9757712696353,-34.8418170508984,1.62241924466571e-184,2.74629223286344e-181,410.835168051398
8,EBF1,-2.9840769876219,3.64794662303915,-34.4491833182887,1.48270224840203e-181,2.19606736766445e-178,404.637041582286
9,ADRB2,-3.14606356171161,1.34374626672885,-34.4290870383073,2.10184282135772e-181,2.74506900160258e-178,404.145035491738
10,LEPR,-3.17816575254939,3.51415925716415,-34.423481500913,2.31670942830836e-181,2.74506900160258e-178,404.19075832565
11,FAM13A,-2.46553458535855,4.29935804500084,-34.186958708897,1.40745686007065e-179,1.51608693954338e-176,400.099787902912
12,DMD,-3.66473336148685,3.8212915547774,-33.9553597595464,7.84714979176377e-178,7.7484064902174e-175,396.08437127032
13,HOXA5,-3.15108661898215,1.39730625498671,-33.3203640060699,4.79919409203488e-173,4.37428083050164e-170,384.966598961684
14,HBB,-4.37416108970283,2.39607389643943,-32.4080176102746,3.56096524736366e-166,3.01384837257229e-163,369.290167657041
15,SLC16A7,-3.05059951708052,2.75963832134336,-31.8597496136641,4.72577748102424e-162,3.73304915817708e-159,359.815544056994
16,SPX,-5.23536029393453,-1.28392392133799,-31.6270559258843,2.64600690721041e-160,1.95953349022101e-157,355.587852874162
17,PLAC9,-3.23117863801192,2.05801983540517,-31.6158397473027,3.21236027942995e-160,2.23901511476268e-157,355.584858625786
18,PPP1R14A,-3.11072068570809,1.4776356634207,-31.3205377093284,5.29085268852666e-158,3.48285075035291e-155,350.451196008469
19,FHL1,-4.36738573752009,5.22056881089351,-31.1531381425188,9.53246057568892e-157,5.94474344007042e-154,347.638570926585
20,CAV2,-2.98145104068583,4.9841958664898,-31.1475120064626,1.05049756567712e-156,6.22367282785411e-154,347.544975666235
21,LGALS12,-4.94584556447316,0.141882928356331,-31.0598653853031,4.77031050547386e-156,2.69159091330285e-153,345.966399674098
22,PAK3,-3.38683032178709,1.06023893656262,-31.0254377635041,8.64214203003849e-156,4.65457913245118e-153,345.349261541157
23,PPP1R12B,-2.20295223762614,5.83822801630013,-30.8415006820157,2.06491825958738e-154,1.06379201990656e-151,342.275128941562
24,ABCA6,-3.03048113145008,2.5151405627133,-30.7811177484322,5.85007932718177e-154,2.8882329144907e-151,341.221661862367
25,LIPE,-4.21469741989214,3.84882935520262,-30.7528729604628,9.52084102454876e-154,4.51249781199513e-151,340.749291167993
26,SYNE3,-2.78168993526118,3.88994809623521,-30.5789701325189,1.90743247467683e-152,8.69275668940219e-150,337.758690507186
27,PI16,-5.25838685230661,1.42618488372098,-30.072216925591,1.17067199240246e-148,5.13751571776916e-146,329.047379179685
28,CAV1,-3.37984690918611,6.43722233554233,-30.0621242872671,1.39248668845248e-148,5.89270527552622e-146,328.881801310725
29,PALMD,-2.96379324747827,4.78051701299007,-30.058619811894,1.47895884584103e-148,6.04282184978288e-146,328.821868712324
30,SIK2,-2.21657279113277,5.73564355602823,-30.0454418829063,1.85498762607926e-148,7.32658279380439e-146,328.595487060421
31,RNF150,-3.1182378684112,3.34316472599872,-29.9521450382015,9.21954953261561e-148,3.52394975522459e-145,326.996219087907
32,TSHZ2,-3.03164130149398,3.84528601027362,-29.6903470746183,8.26195244140624e-146,3.05924607744446e-143,322.510714262149
33,AKR1C2,-4.5764698422544,2.18588962743691,-29.6864301412272,8.83637113130921e-146,3.17279277378433e-143,322.441788966499
34,PPP1R1A,-4.66803528140008,2.45428930823732,-29.6802256027014,9.82907303552523e-146,3.42543195288054e-143,322.336705999665
35,ZBTB16,-4.54724736214004,2.7393740038492,-29.5694064143617,6.57853399506296e-145,2.22711569450003e-142,320.44071681518
36,G0S2,-4.18029080107175,3.04375175672221,-29.3952766002481,1.30147423820347e-143,4.28365784679802e-141,317.462976529574
37,CFL2,-1.85272787888682,4.29278353339964,-29.3705546764645,1.98782353234651e-143,6.36587054993888e-141,317.03982457396
38,LPL,-4.70927535484181,4.93390111892566,-29.2954227017571,7.19843651329742e-143,2.24458616437003e-140,315.756568057331
39,TNS1,-2.85653426144218,7.47775631632461,-29.0299494166336,6.76089610593289e-141,2.05409892203074e-138,311.224612996797
40,ACACB,-3.36401478882622,4.94080879589165,-28.8527617667972,1.39627984620281e-139,4.13612997441429e-137,308.201262090321
41,RBMS3,-2.45971951049393,3.89031918721769,-28.4671726674424,1.0033651855948e-136,2.89972538636898e-134,301.640274243219
42,JAM2,-2.36256410482809,4.06213435776624,-28.4490869575206,1.36540468095971e-136,3.85206668206943e-134,301.332187600088
43,FAM13C,-2.65339106252309,0.952457799029477,-28.4338775998813,1.76917612127272e-136,4.87510880487453e-134,300.976827538455
44,PID1,-2.73957923165202,2.34860368626525,-28.3597943790173,6.24635286100344e-136,1.68211443295522e-133,299.812997317939
45,CEP68,-1.27792416932998,5.32029893564741,-28.1408233307577,2.58992237508468e-134,6.81955338275075e-132,296.094267373605
46,KLHL13,-3.30905059880511,2.60556573851363,-28.1386550858936,2.68715131630032e-134,6.92175129279184e-132,296.066403955692
47,GNAI1,-2.46597379408865,3.82142559452291,-28.1308349000181,3.06913822761307e-134,7.7374933742526e-132,295.930524913433
48,KCNMB1,-2.81341867068376,2.62292028649159,-28.0267383967615,1.79922525130106e-133,4.44146250055547e-131,294.16889993639
49,SORBS1,-3.3572226659537,5.8374296767277,-27.7914739104835,9.74466426509174e-132,2.35641891585861e-129,290.18299541427
