"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
DUSP6,0,-1.60992039450025,0.207,0.583,0,Neutral,DUSP6
PLPP2,0,-1.0274994362363,0.28,0.618,0,Neutral,PLPP2
PHLDA2,0,-1.074601801374,0.222,0.551,0,Neutral,PHLDA2
NUDT8,0,-1.69357502590115,0.203,0.53,0,Neutral,NUDT8
SMARCE1,0,-1.21489171904489,0.182,0.502,0,Neutral,SMARCE1
CALML5,0,-2.17185630132004,0.282,0.601,0,Neutral,CALML5
CXCL17,0,-1.18798430931009,0.153,0.47,0,Neutral,CXCL17
FAM84B,0,-1.5592080331503,0.242,0.557,0,Neutral,FAM84B
TC2N,0,-0.868873598542509,0.205,0.517,0,Neutral,TC2N
PERP,0,-0.616729068602489,0.429,0.741,0,Neutral,PERP
CNTNAP2,0,-1.9038910607788,0.108,0.419,0,Neutral,CNTNAP2
FXYD3,0,-0.815121846337046,0.398,0.709,0,Neutral,FXYD3
KRT7,0,-0.961670406869269,0.434,0.744,0,Neutral,KRT7
EPCAM,0,-1.00557421646929,0.364,0.673,0,Neutral,EPCAM
ARL4A,0,-0.955353392696989,0.188,0.497,0,Neutral,ARL4A
MGAT4A,0,-0.806203106295534,0.239,0.544,0,Neutral,MGAT4A
CCND1,0,-1.02199274796141,0.313,0.617,0,Neutral,CCND1
GALNT7,0,-0.94393494263089,0.236,0.539,0,Neutral,GALNT7
TMEM123,0,-0.744140686046764,0.403,0.706,0,Neutral,TMEM123
MPHOSPH6,0,-0.952478579381968,0.276,0.579,0,Neutral,MPHOSPH6
CPNE3,0,-0.720461156412791,0.366,0.666,0,Neutral,CPNE3
TFAP2B,0,-0.786959997351582,0.223,0.523,0,Neutral,TFAP2B
SMARCA2,0,-0.777341918421835,0.286,0.586,0,Neutral,SMARCA2
C3orf14,0,-0.878174526767541,0.298,0.598,0,Neutral,C3orf14
SPINT1-AS1,0,-0.79382948778382,0.267,0.566,0,Neutral,SPINT1-AS1
SPTSSA,0,-1.09260083804392,0.378,0.675,0,Neutral,SPTSSA
SQLE,0,-1.31178111218353,0.277,0.573,0,Neutral,SQLE
FADS2,0,-1.84676922186671,0.096,0.389,0,Neutral,FADS2
ADI1,0,-0.705390145468093,0.303,0.595,0,Neutral,ADI1
DHCR24,0,-0.896029284332776,0.247,0.538,0,Neutral,DHCR24
LAPTM4B,0,-1.01903175842408,0.342,0.632,0,Neutral,LAPTM4B
SCD,0,-1.36469150815467,0.262,0.551,0,Neutral,SCD
CBR3,0,-1.58383152879311,0.108,0.394,0,Neutral,CBR3
MSMO1,0,-0.961995172852482,0.228,0.513,0,Neutral,MSMO1
SMCO4,0,-0.848924624671119,0.172,0.457,0,Neutral,SMCO4
TATDN1,0,-0.740898980801049,0.253,0.538,0,Neutral,TATDN1
KRT23,0,-2.29988077042363,0.061,0.343,0,Neutral,KRT23
LASP1,0,-1.068932629611,0.333,0.615,0,Neutral,LASP1
MRPS23,0,-0.753251405491925,0.242,0.522,0,Neutral,MRPS23
MGST1,0,-1.07217348841653,0.472,0.751,0,Neutral,MGST1
S100A9,0,-1.44554201760954,0.178,0.455,0,Neutral,S100A9
MRPL45,0,-1.24435854793654,0.229,0.506,0,Neutral,MRPL45
AQP5,0,-1.676318922833,0.129,0.406,0,Neutral,AQP5
AGR2,0,-1.08367976063394,0.26,0.537,0,Neutral,AGR2
CTNNBIP1,0,-0.997256587763754,0.21,0.485,0,Neutral,CTNNBIP1
HMGB3,0,-1.10818538951976,0.165,0.44,0,Neutral,HMGB3
HMGCS1,0,-0.906680824299052,0.246,0.518,0,Neutral,HMGCS1
TMEM251,0,-1.27761498617428,0.127,0.399,0,Neutral,TMEM251
HINT2,0,-0.863504440253835,0.289,0.559,0,Neutral,HINT2
TOMM5,0,-1.13339601104105,0.257,0.527,0,Neutral,TOMM5
TMEM99,0,-1.57565271653641,0.142,0.412,0,Neutral,TMEM99
CEACAM6,0,-1.73426530075587,0.089,0.358,0,Neutral,CEACAM6
SCGB1D2,0,-1.97145278733267,0.077,0.345,0,Neutral,SCGB1D2
HMGN3,0,-0.716150007821363,0.473,0.74,0,Neutral,HMGN3
GUCY1A1,0,-0.8910264810397,0.13,0.396,0,Neutral,GUCY1A1
