"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.55013959200009e-237,-3.15316825573454,0.154,0.477,3.11907573497531e-233,Neutral,ABL2
2,3.65037128549548e-166,-2.38496778427683,0.08,0.311,4.46476911928952e-162,Neutral,SLC2A3
3,2.30397472617834e-98,-1.61815721016415,0.135,0.348,2.81799148758873e-94,Neutral,IGFBP7
4,1.29016122923682e-84,-1.2918390579276,0.128,0.325,1.57799619947955e-80,Neutral,SPARC
5,1.64385178459246e-83,-1.45793848988776,0.411,0.637,2.01059511773504e-79,Neutral,ZFP36
6,7.19527274793891e-81,-1.48980039890054,0.123,0.311,8.80053809800408e-77,Neutral,IGFBP4
7,1.53857527757196e-79,-2.19375644972157,0.139,0.32,1.88183142199826e-75,Neutral,SOCS3
8,8.34792521275156e-60,-1.77530466553322,0.167,0.337,1.02103473277164e-55,Neutral,ID3
9,1.39218611106502e-56,-1.03559151307487,0.38,0.564,1.70278283244362e-52,Neutral,VIM
10,2.43081544932732e-50,1.55803037130429,0.661,0.559,2.97313037607224e-46,Neutral,PSMB3
11,3.60978499689351e-50,-0.729990934203179,0.671,0.797,4.41512802970045e-46,Neutral,HSPA1A
12,1.95015999380188e-49,-0.759798267946831,0.58,0.764,2.38524068841908e-45,Neutral,DUSP1
13,1.9512045771341e-49,-0.879009338044542,0.522,0.704,2.38651831829272e-45,Neutral,LGALS1
14,1.8279903328732e-45,-0.817660577752694,0.441,0.64,2.23581497613721e-41,Neutral,FOSB
15,6.62419204622356e-45,1.06217917039284,0.609,0.469,8.10204929173603e-41,Neutral,ERBB2
16,1.02972580889642e-43,-0.932744327896057,0.696,0.819,1.25945763686122e-39,Neutral,FOS
17,9.75423172406423e-43,1.29587177333534,0.465,0.296,1.1930400821703e-38,Neutral,MAL2
18,6.13206358842754e-42,1.34493305960919,0.284,0.092,7.50012697500572e-38,Neutral,TFAP2B
19,7.33200358020393e-42,-0.945013867436682,0.653,0.76,8.96777357894743e-38,Neutral,JUNB
20,7.87720782870435e-42,-1.3365975496467,0.148,0.286,9.63461289528829e-38,Neutral,TCF4
21,0,3.68392587954414,0.655,0.153,0,Positive,ABL2
22,1.3430116203082e-282,2.9206322536538,0.438,0.08,1.64263751279897e-278,Positive,SLC2A3
23,1.12949008023449e-166,1.56920965221436,0.788,0.376,1.3814793171348e-162,Positive,VIM
24,1.68736131348232e-157,1.82754666774155,0.448,0.127,2.06381162252023e-153,Positive,SPARC
25,6.90673376596372e-154,2.14527564472532,0.448,0.135,8.44762606915023e-150,Positive,IGFBP7
26,3.12648060050158e-141,-3.48070112228169,0.165,0.622,3.82399842247349e-137,Positive,CD24
27,1.39841158989553e-139,2.15484087545881,0.324,0.078,1.71039721560123e-135,Positive,CAV1
28,1.32849913454553e-137,2.71309677237571,0.423,0.139,1.62488729146264e-133,Positive,SOCS3
29,2.55228488694479e-136,-3.19988187301422,0.195,0.625,3.12169964522217e-132,Positive,KRT19
30,4.6318472766011e-128,2.12518300450871,0.319,0.08,5.6652124040108e-124,Positive,HTRA1
31,1.55508208967546e-126,2.57508946138466,0.285,0.068,1.90202090388205e-122,Positive,HSPG2
32,2.53907691364239e-123,2.56070822518134,0.318,0.084,3.105544973076e-119,Positive,CAVIN1
33,3.16330342426099e-123,-2.65738710330666,0.166,0.596,3.86903641821361e-119,Positive,KRT18
34,2.01017758571483e-120,-2.41217156593044,0.283,0.647,2.4586482050878e-116,Positive,MIEN1
35,4.88457641630444e-118,1.91900619516565,0.302,0.075,5.97432541478196e-114,Positive,MMP2
36,3.53924609422715e-113,-2.6292913464342,0.161,0.576,4.32885189784923e-109,Positive,KRT8
37,3.64230695306263e-110,-2.16997362726818,0.206,0.605,4.4549056342909e-106,Positive,SPINT2
