"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,4.66760499167536,0.557,0.442,0,Other,IGKC
2,0,4.20664672123491,0.306,0.065,0,Other,PTPRC
3,0,4.16435097325325,0.333,0.085,0,Other,CD52
4,0,4.04355582556763,0.309,0.096,0,Other,IL32
5,0,3.92911992162049,0.26,0.071,0,Other,HCST
6,0,-3.88778951573575,0.01,0.266,0,Other,AGR3
7,0,3.80961524506585,0.279,0.06,0,Other,GMFG
8,0,3.80395604564592,0.284,0.082,0,Other,CORO1A
9,0,3.66388043649581,0.478,0.152,0,Other,RGS1
10,0,3.64902331399303,0.436,0.216,0,Other,CXCR4
11,0,-3.63869701183892,0.012,0.278,0,Other,ESR1
12,0,-3.63456121747312,0.024,0.623,0,Other,LRRC26
13,0,3.62185148096895,0.542,0.115,0,Other,SRGN
14,0,-3.532015111843,0.021,0.445,0,Other,BAMBI
15,0,-3.52958679607946,0.021,0.297,0,Other,AQP5
16,0,-3.50654046752779,0.011,0.349,0,Other,DEGS2
17,0,-3.50201794140453,0.036,0.614,0,Other,TFAP2A
18,0,3.44273940670459,0.595,0.188,0,Other,S100A4
19,0,-3.41631243496116,0.185,0.932,0,Other,CD24
20,0,-3.41304360967719,0.012,0.358,0,Other,ST8SIA6-AS1
21,0,-4.66760499167536,0.442,0.557,0,Positive,IGKC
22,0,-4.20664672123491,0.065,0.306,0,Positive,PTPRC
23,0,-4.16435097325325,0.085,0.333,0,Positive,CD52
24,0,-4.04355582556763,0.096,0.309,0,Positive,IL32
25,0,-3.92911992162049,0.071,0.26,0,Positive,HCST
26,0,3.88778951573575,0.266,0.01,0,Positive,AGR3
27,0,-3.80961524506585,0.06,0.279,0,Positive,GMFG
28,0,-3.80395604564592,0.082,0.284,0,Positive,CORO1A
29,0,-3.66388043649581,0.152,0.478,0,Positive,RGS1
30,0,-3.64902331399303,0.216,0.436,0,Positive,CXCR4
31,0,3.63869701183892,0.278,0.012,0,Positive,ESR1
32,0,3.63456121747312,0.623,0.024,0,Positive,LRRC26
33,0,-3.62185148096895,0.115,0.542,0,Positive,SRGN
34,0,3.532015111843,0.445,0.021,0,Positive,BAMBI
35,0,3.52958679607946,0.297,0.021,0,Positive,AQP5
36,0,3.50654046752779,0.349,0.011,0,Positive,DEGS2
37,0,3.50201794140453,0.614,0.036,0,Positive,TFAP2A
38,0,-3.44273940670459,0.188,0.595,0,Positive,S100A4
39,0,3.41631243496116,0.932,0.185,0,Positive,CD24
40,0,3.41304360967719,0.358,0.012,0,Positive,ST8SIA6-AS1
