"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGHG1,0,6.75882840263773,0.549,0.152,0
SCGB2A2,0,3.92782000307418,0.591,0.224,0
LGALS1,0,1.65066806846917,0.763,0.417,0
IFI27,0,1.37147104634133,0.633,0.298,0
IGLC2,0,2.0488932406594,0.503,0.19,0
ANKRD30A,0,-2.24131316582251,0.204,0.513,0
IGKC,0,6.49509072292388,0.7,0.393,0
TFF3,0,-3.80745462673903,0.227,0.507,0
VIM,0,1.0717349390415,0.559,0.304,0
GATA3,0,-1.49799340138515,0.257,0.512,0
KRT18,0,-1.19747300564157,0.422,0.663,0
KRT8,0,-1.46523211187629,0.404,0.643,0
NPC2,0,1.19243119065255,0.764,0.525,0
TYMP,0,1.09404317106373,0.658,0.431,0
ADIRF,0,-1.27366600384075,0.382,0.609,0
LGALS3,0,0.998093598581435,0.562,0.341,0
MIEN1,0,-1.02687689842086,0.496,0.705,0
CLDN3,0,-1.55086882857741,0.306,0.513,0
CD24,0,-1.65546114812254,0.471,0.677,0
S100A6,0,0.87989582953275,0.829,0.623,0
CTSZ,0,1.47414801600366,0.515,0.312,0
CLDN4,0,-1.13848101245241,0.302,0.504,0
