"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-6.75882840263773,0.152,0.549,0,Other,IGHG1
2,0,-6.49509072292388,0.393,0.7,0,Other,IGKC
3,0,-4.10893240564485,0.043,0.261,0,Other,IGHG2
4,0,-3.92782000307418,0.224,0.591,0,Other,SCGB2A2
5,0,3.80745462673903,0.507,0.227,0,Other,TFF3
6,0,3.71416083209574,0.268,0.07,0,Other,PPP1R1B
7,0,-3.63006703059049,0.091,0.386,0,Other,IGHG3
8,0,-3.19093783171122,0.128,0.331,0,Other,FN1
9,0,-3.11369074146294,0.08,0.313,0,Other,MZB1
10,0,-2.84781728983092,0.099,0.405,0,Other,CTHRC1
11,0,2.78980598941641,0.285,0.049,0,Other,ST8SIA6-AS1
12,0,-2.66880154933346,0.054,0.273,0,Other,SCGB1D2
13,0,-2.65880494356216,0.105,0.42,0,Other,IGHM
14,0,-2.50078978900231,0.126,0.371,0,Other,FKBP11
15,0,-2.28086552992135,0.124,0.344,0,Other,IGLC3
16,0,2.24131316582251,0.513,0.204,0,Other,ANKRD30A
17,0,2.23350075248539,0.372,0.155,0,Other,MSL1
18,0,2.22088745235023,0.41,0.206,0,Other,PSMD3
19,0,-2.20860998818067,0.053,0.275,0,Other,JCHAIN
20,0,2.11405305345354,0.404,0.188,0,Other,TRAF4
21,0,6.75882840263773,0.549,0.152,0,Positive,IGHG1
22,0,6.49509072292388,0.7,0.393,0,Positive,IGKC
23,0,4.10893240564485,0.261,0.043,0,Positive,IGHG2
24,0,3.92782000307418,0.591,0.224,0,Positive,SCGB2A2
25,0,-3.80745462673903,0.227,0.507,0,Positive,TFF3
26,0,-3.71416083209574,0.07,0.268,0,Positive,PPP1R1B
27,0,3.63006703059049,0.386,0.091,0,Positive,IGHG3
28,0,3.19093783171122,0.331,0.128,0,Positive,FN1
29,0,3.11369074146294,0.313,0.08,0,Positive,MZB1
30,0,2.84781728983092,0.405,0.099,0,Positive,CTHRC1
31,0,-2.78980598941641,0.049,0.285,0,Positive,ST8SIA6-AS1
32,0,2.66880154933346,0.273,0.054,0,Positive,SCGB1D2
33,0,2.65880494356216,0.42,0.105,0,Positive,IGHM
34,0,2.50078978900231,0.371,0.126,0,Positive,FKBP11
35,0,2.28086552992135,0.344,0.124,0,Positive,IGLC3
36,0,-2.24131316582251,0.204,0.513,0,Positive,ANKRD30A
37,0,-2.23350075248539,0.155,0.372,0,Positive,MSL1
38,0,-2.22088745235023,0.206,0.41,0,Positive,PSMD3
39,0,2.20860998818067,0.275,0.053,0,Positive,JCHAIN
40,0,-2.11405305345354,0.188,0.404,0,Positive,TRAF4
