"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,7.68079404325603e-261,-1.11985794894086,0.422,0.762,1.01294311842461e-256,Other,KRT8
2,1.33623922676211e-252,-1.43186037274368,0.102,0.33,1.76223229225386e-248,Other,CRABP1
3,7.80262376267037e-234,-1.00573199973926,0.36,0.691,1.02901002182097e-229,Other,EPCAM
4,2.98070001276385e-231,-0.996791644214591,0.379,0.714,3.93094717683296e-227,Other,KRT18
5,1.48128315249841e-227,-1.17753215624865,0.316,0.63,1.9535162215149e-223,Other,TSEN34
6,4.15495709670329e-218,-1.11663221601342,0.347,0.658,5.47955741913229e-214,Other,MDK
7,6.37973121008911e-218,-0.986996798321779,0.404,0.723,8.41358951986552e-214,Other,CDKN2A
8,5.5549262832337e-217,-0.922908617511384,0.412,0.733,7.32583678232861e-213,Other,CRYAB
9,2.79108598616112e-210,-1.03384889502203,0.203,0.482,3.68088419854929e-206,Other,MDFI
10,8.83762734359202e-210,-1.04312164095266,0.185,0.455,1.16550629407292e-205,Other,PPIC
11,6.80514047798749e-209,-1.16253691816437,0.226,0.501,8.9746192623699e-205,Other,S100A1
12,2.64164996038802e-207,-1.05787381643838,0.383,0.693,3.48380796775971e-203,Other,CALML5
13,2.52365136380325e-203,-0.815244484575851,0.567,0.869,3.32819141858372e-199,Other,LAPTM4A
14,3.22341932533275e-202,-0.835179359715236,0.391,0.722,4.25104540624883e-198,Other,KRT7
15,1.99120503971902e-201,-1.14086124113958,0.251,0.531,2.62600120638144e-197,Other,TTYH1
16,2.42684039967771e-201,-0.957116356145281,0.318,0.622,3.20051711909496e-197,Other,COMT
17,1.75313981593535e-198,-1.47367999883052,0.08,0.261,2.31204078925553e-194,Other,SH3BGR
18,2.8197488950703e-193,-0.916330590871619,0.218,0.496,3.71868484281871e-189,Other,CLDN7
19,5.19616452378739e-193,-0.836398776833601,0.272,0.576,6.85270177397081e-189,Other,ACTL6A
20,6.34898963420206e-193,-1.00711387325567,0.122,0.343,8.37304752958568e-189,Other,NEBL
21,7.68079404325603e-261,1.11985794894086,0.762,0.422,1.01294311842461e-256,Positive,KRT8
22,1.33623922676211e-252,1.43186037274368,0.33,0.102,1.76223229225386e-248,Positive,CRABP1
23,7.80262376267037e-234,1.00573199973926,0.691,0.36,1.02901002182097e-229,Positive,EPCAM
24,2.98070001276385e-231,0.996791644214591,0.714,0.379,3.93094717683296e-227,Positive,KRT18
25,1.48128315249841e-227,1.17753215624865,0.63,0.316,1.9535162215149e-223,Positive,TSEN34
26,4.15495709670329e-218,1.11663221601342,0.658,0.347,5.47955741913229e-214,Positive,MDK
27,6.37973121008911e-218,0.986996798321779,0.723,0.404,8.41358951986552e-214,Positive,CDKN2A
28,5.5549262832337e-217,0.922908617511384,0.733,0.412,7.32583678232861e-213,Positive,CRYAB
29,2.79108598616112e-210,1.03384889502203,0.482,0.203,3.68088419854929e-206,Positive,MDFI
30,8.83762734359202e-210,1.04312164095266,0.455,0.185,1.16550629407292e-205,Positive,PPIC
31,6.80514047798749e-209,1.16253691816437,0.501,0.226,8.9746192623699e-205,Positive,S100A1
32,2.64164996038802e-207,1.05787381643838,0.693,0.383,3.48380796775971e-203,Positive,CALML5
33,2.52365136380325e-203,0.815244484575851,0.869,0.567,3.32819141858372e-199,Positive,LAPTM4A
34,3.22341932533275e-202,0.835179359715236,0.722,0.391,4.25104540624883e-198,Positive,KRT7
35,1.99120503971902e-201,1.14086124113958,0.531,0.251,2.62600120638144e-197,Positive,TTYH1
36,2.42684039967771e-201,0.957116356145281,0.622,0.318,3.20051711909496e-197,Positive,COMT
37,1.75313981593535e-198,1.47367999883052,0.261,0.08,2.31204078925553e-194,Positive,SH3BGR
38,2.8197488950703e-193,0.916330590871619,0.496,0.218,3.71868484281871e-189,Positive,CLDN7
39,5.19616452378739e-193,0.836398776833601,0.576,0.272,6.85270177397081e-189,Positive,ACTL6A
40,6.34898963420206e-193,1.00711387325567,0.343,0.122,8.37304752958568e-189,Positive,NEBL
