"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KRT8,7.68079404325603e-261,1.11985794894086,0.762,0.422,1.01294311842461e-256
EPCAM,7.80262376267037e-234,1.00573199973926,0.691,0.36,1.02901002182097e-229
KRT18,2.98070001276385e-231,0.996791644214591,0.714,0.379,3.93094717683296e-227
TSEN34,1.48128315249841e-227,1.17753215624865,0.63,0.316,1.9535162215149e-223
MDK,4.15495709670329e-218,1.11663221601342,0.658,0.347,5.47955741913229e-214
CDKN2A,6.37973121008911e-218,0.986996798321779,0.723,0.404,8.41358951986552e-214
CRYAB,5.5549262832337e-217,0.922908617511384,0.733,0.412,7.32583678232861e-213
S100A1,6.80514047798749e-209,1.16253691816437,0.501,0.226,8.9746192623699e-205
CALML5,2.64164996038802e-207,1.05787381643838,0.693,0.383,3.48380796775971e-203
LAPTM4A,2.52365136380325e-203,0.815244484575851,0.869,0.567,3.32819141858372e-199
KRT7,3.22341932533275e-202,0.835179359715236,0.722,0.391,4.25104540624883e-198
TTYH1,1.99120503971902e-201,1.14086124113958,0.531,0.251,2.62600120638144e-197
COMT,2.42684039967771e-201,0.957116356145281,0.622,0.318,3.20051711909496e-197
ACTL6A,5.19616452378739e-193,0.836398776833601,0.576,0.272,6.85270177397081e-189
FXYD3,8.00414484998429e-188,0.775947281076523,0.812,0.496,1.05558662281593e-183
CYC1,1.2163167282854e-187,0.759139533027989,0.777,0.456,1.60407850126278e-183
SPINT2,3.20926928805846e-186,0.735310929373359,0.847,0.556,4.2323843370915e-182
CSRP2,9.0470878382975e-186,0.801276244098116,0.51,0.226,1.19312994411467e-181
ATP5F1C,1.83359179522101e-184,0.853667752000328,0.801,0.501,2.41814085953747e-180
NDUFB5,3.26452113308669e-184,0.798801379297008,0.736,0.422,4.30525047031473e-180
CRABP2,1.10771602800804e-183,0.796667133402075,0.734,0.419,1.460855897737e-179
CDK4,1.63695107437524e-181,0.856781798039795,0.62,0.321,2.15881107688606e-177
POLR2H,4.33205443366807e-181,0.770619043649222,0.697,0.378,5.71311338712145e-177
BEX3,1.96994353896342e-179,0.822822558128299,0.594,0.3,2.59796153918495e-175
PHGDH,2.35222222900652e-179,0.762389767901051,0.657,0.343,3.10211067561379e-175
RAB25,1.48300242940571e-172,0.747521605979739,0.582,0.282,1.95578360390025e-168
ISOC2,8.72807591709626e-172,0.810079835658073,0.549,0.266,1.15105865194665e-167
S100A13,6.0914946887327e-169,0.747368529602096,0.696,0.384,8.03346319550069e-165
KRT5,4.04612536701335e-168,1.12165909471962,0.593,0.319,5.33603013401721e-164
REXO2,5.25417380907798e-168,0.698781160960947,0.673,0.364,6.92920441941203e-164
PTS,2.55769352896485e-167,0.731959404978154,0.572,0.283,3.37308622599885e-163
TSTA3,6.03642984780892e-167,0.77712859894941,0.514,0.243,7.96084368329041e-163
MAGEF1,4.53449590786006e-166,0.754539005334413,0.527,0.251,5.98009320328585e-162
PRDX2,6.57788748588005e-166,0.711464873790566,0.853,0.566,8.6749180163786e-162
GABRP,3.31793945051159e-164,0.7205781785025,0.623,0.327,4.37569854733469e-160
MRPS15,2.0970434374496e-163,0.704413066620992,0.655,0.353,2.76558088530854e-159
GPAA1,4.69435074171125e-163,0.754505852750145,0.543,0.265,6.1909097581688e-159
FBL,9.88074948100832e-161,0.700638213013098,0.744,0.427,1.30307324155538e-156
HDAC2,9.94767980997111e-161,0.71860130853605,0.643,0.346,1.31190001333899e-156
NDUFB9,1.14176492771419e-158,0.766099661376409,0.858,0.562,1.50575958666947e-154
ENAH,1.29058198651136e-157,0.693672281727489,0.506,0.237,1.70201952381118e-153
RBP1,1.95690108353592e-157,0.763046830126196,0.608,0.319,2.58076114896717e-153
ATP5PO,2.64102679117811e-157,0.710106256740831,0.874,0.606,3.48298613220569e-153
NUDT5,5.23571004592038e-157,0.713480999179323,0.674,0.377,6.9048544085598e-153
ILF2,8.50960029159533e-157,0.706036794444412,0.706,0.413,1.12224608645559e-152
SF3B6,5.41618224610419e-153,0.748109612915447,0.85,0.586,7.14286114616221e-149
TMEM205,3.84076424297867e-148,0.793684747008464,0.543,0.274,5.06519988364027e-144
MGP,3.59652022402687e-147,0.823532273492345,0.648,0.386,4.74309087144663e-143
UBE2T,1.9469176205602e-145,0.717071642331075,0.507,0.245,2.56759495799479e-141
TUBA1C,1.34651701023832e-144,0.699726286865974,0.663,0.371,1.7757866331023e-140
PFN2,3.30947990759996e-144,0.727111856628339,0.552,0.279,4.36454210214283e-140
ATP5F1B,3.77668326336315e-137,0.735850411842,0.812,0.535,4.98068988772332e-133
SQLE,3.94282375545214e-134,0.727383947548842,0.581,0.314,5.19979596869028e-130
