"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-1.11869086216123,0.411,0.77,0,Other,KRT8
2,0,-1.00432710282014,0.349,0.709,0,Other,EPCAM
3,0,-1.00010116191867,0.369,0.725,0,Other,KRT18
4,0,-0.967944719573465,0.394,0.729,0,Other,CDKN2A
5,0,-0.918747011763285,0.402,0.739,0,Other,CRYAB
6,0,-0.879707000818725,0.381,0.726,0,Other,KRT7
7,0,-0.8675753478791,0.409,0.741,0,Other,CRABP2
8,0,-0.844166810989975,0.484,0.84,0,Other,FXYD3
9,0,-0.766578438037648,0.545,0.877,0,Other,SPINT2
10,0,-0.759303746283089,0.444,0.798,0,Other,CYC1
11,0,-0.658855402165718,0.791,0.983,0,Other,UQCRH
12,1.1125369292536e-308,-1.14545161385354,0.308,0.608,1.1125369292927e-308,Other,TSEN34
13,1.11253692925887e-308,-1.06260860890583,0.374,0.69,1.11253699874394e-308,Other,CALML5
14,1.11253692927339e-308,-0.771219583731641,0.392,0.723,1.11253719025451e-308,Other,KRT19
15,1.11253692929917e-308,-0.822545040514367,0.333,0.665,1.11253753016751e-308,Other,PHGDH
16,1.11253701085905e-308,-0.95324448293105,0.338,0.648,1.11361314187854e-308,Other,MDK
17,1.11253946713793e-308,-1.14204814334123,0.243,0.519,1.1460065477569e-308,Other,TTYH1
18,1.11254590602424e-308,-0.70014984459167,0.451,0.813,1.23092258048918e-308,Other,MGST1
19,9.2721037640105e-304,-0.677537747343465,0.545,0.878,1.2228050443977e-299,Other,MARCKSL1
20,3.6543588053471e-300,-0.790947869415158,0.557,0.87,4.81936839249176e-296,Other,LAPTM4A
21,0,1.11869086216124,0.77,0.411,0,Positive,KRT8
22,0,1.00432710282013,0.709,0.349,0,Positive,EPCAM
23,0,1.00010116191868,0.725,0.369,0,Positive,KRT18
24,0,0.967944719573451,0.729,0.394,0,Positive,CDKN2A
25,0,0.918747011763286,0.739,0.402,0,Positive,CRYAB
26,0,0.879707000818728,0.726,0.381,0,Positive,KRT7
27,0,0.867575347879099,0.741,0.409,0,Positive,CRABP2
28,0,0.84416681098997,0.84,0.484,0,Positive,FXYD3
29,0,0.766578438037646,0.877,0.545,0,Positive,SPINT2
30,0,0.759303746283098,0.798,0.444,0,Positive,CYC1
31,0,0.658855402165711,0.983,0.791,0,Positive,UQCRH
32,1.1125369292536e-308,1.14545161385355,0.608,0.308,1.1125369292927e-308,Positive,TSEN34
33,1.11253692925887e-308,1.06260860890581,0.69,0.374,1.11253699874394e-308,Positive,CALML5
34,1.11253692927339e-308,0.771219583731643,0.723,0.392,1.11253719025451e-308,Positive,KRT19
35,1.11253692929917e-308,0.822545040514362,0.665,0.333,1.11253753016751e-308,Positive,PHGDH
36,1.11253701085905e-308,0.953244482931069,0.648,0.338,1.11361314187854e-308,Positive,MDK
37,1.11253946713793e-308,1.14204814334123,0.519,0.243,1.1460065477569e-308,Positive,TTYH1
38,1.11254590602424e-308,0.700149844591681,0.813,0.451,1.23092258048918e-308,Positive,MGST1
39,9.2721037640105e-304,0.677537747343456,0.878,0.545,1.2228050443977e-299,Positive,MARCKSL1
40,3.6543588053471e-300,0.790947869415162,0.87,0.557,4.81936839249176e-296,Positive,LAPTM4A
