"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SPN,0,-11.9252886246165,0.001,1,0
KRT19,0,8.56678520334286,0.83,0.021,0
SOX4,0,3.59491504679436,0.881,0.1,0
ELF3,0,6.15985270715527,0.793,0.014,0
MARCKSL1,0,4.37324334267878,0.869,0.09,0
CD52,0,-4.20077890001388,0.059,0.827,0
PERP,0,4.18719869754982,0.828,0.063,0
HES1,0,6.66227944779684,0.777,0.015,0
FXYD3,0,5.43983102015868,0.767,0.015,0
NFIB,0,8.38880615471085,0.748,0.002,0
MDK,0,5.36832767216262,0.761,0.022,0
LINC00842,0,11.5056154222754,0.734,0,0
KRT15,0,7.54136801250984,0.742,0.016,0
S100A13,0,4.21686764395476,0.75,0.03,0
CD24,0,4.41251851075708,0.761,0.044,0
CCND1,0,5.54713748095472,0.738,0.027,0
HLA-B,0,-2.67249441612926,0.275,0.985,0
SNORC,0,7.4169740894354,0.705,0.007,0
HLA-C,0,-2.81765937224301,0.299,0.968,0
RPS17,0,3.30532709980415,0.889,0.264,0
HLA-A,0,-2.59854519444591,0.464,0.977,0
B2M,0,-2.76176493179147,0.492,1,0
MT1G,1.11253692933226e-308,6.22961902161501,0.693,0.009,1.11253796661117e-308
SRGN,1.11253724125353e-308,-3.78810941959488,0.067,0.775,1.1166515843328e-308
PTPRC,1.13820362216085e-308,-4.18404555939342,0.051,0.748,6.76984692121656e-306
TMEM54,9.8771495242368e-308,6.62063014654387,0.667,0.003,1.30259847925635e-303
KRT8,2.19752958047192e-306,5.38420110893943,0.685,0.014,2.89810201072637e-302
KRT7,2.68351628414806e-303,4.35819679167508,0.7,0.022,3.53902127553447e-299
PTPRF,4.61450900224345e-300,4.77832474687982,0.677,0.013,6.08561447215866e-296
MFGE8,1.65347737568572e-299,4.33738206177022,0.708,0.03,2.18060596305432e-295
MGST1,1.57830582006783e-292,4.3047936730558,0.693,0.028,2.08146971550545e-288
TTYH1,2.25903396771171e-291,6.72667792090818,0.641,0.004,2.9792139966182e-287
ARPC1A,4.70305525749192e-290,3.03650575277895,0.77,0.071,6.20238927358034e-286
MGP,1.84524922380914e-288,4.44024594497457,0.744,0.076,2.43351467635949e-284
DSP,2.65285418764095e-286,4.24642072448675,0.675,0.023,3.49858410266088e-282
NDRG2,8.09374597939859e-284,4.59420405087527,0.665,0.022,1.06740321976309e-279
APP,4.63851826643912e-281,3.37032156262448,0.719,0.048,6.11727788977991e-277
TFAP2A,7.82558627630566e-275,6.62602366158292,0.612,0.003,1.03203831811919e-270
CST3,1.81903221331121e-273,2.05449255372852,0.856,0.142,2.39893968291482e-269
LAPTM4B,1.1284187261654e-272,4.51828690471334,0.641,0.016,1.48815861606693e-268
CAVIN1,1.13248723698602e-272,7.69621083571721,0.607,0.003,1.49352416813716e-268
CLDN4,4.60638946534572e-272,5.09030618120399,0.636,0.016,6.07490642689794e-268
ADIRF,2.68971852403692e-270,6.95833032143274,0.608,0.005,3.54720078949989e-266
FABP7,4.90966296165254e-269,6.98471972347912,0.606,0.007,6.47486351382738e-265
SLC25A6,1.75234722234059e-266,2.17195718395403,0.908,0.384,2.31099551682277e-262
CRYAB,1.21823019362797e-265,4.02648774369678,0.64,0.022,1.60660197935656e-261
SH3BGRL3,8.74404812688642e-260,-2.93180007352911,0.573,0.858,1.15316506697378e-255
CD59,8.82335441274086e-259,2.72876706860008,0.745,0.084,1.16362397995226e-254
PAWR,4.39177156554074e-258,4.94186395680373,0.602,0.011,5.79186834063512e-254
CD2,1.09416714555145e-257,-4.09400550184063,0.042,0.655,1.44298763155325e-253
IGKC,2.41856719301497e-257,-2.63667224152366,0.16,0.782,3.18960641414814e-253
SPINT2,1.00979132279858e-251,3.06271132999935,0.726,0.087,1.33171279650676e-247
GABRP,3.13158248694697e-251,6.6175693513247,0.577,0.007,4.12993098378566e-247
PLPP2,8.76208083823343e-251,4.94191266641148,0.589,0.011,1.15554322094623e-246
HCST,1.00245984370948e-250,-3.80073947533414,0.06,0.665,1.32204404188406e-246
CORO1A,1.72894771056191e-249,-4.15049372562153,0.072,0.662,2.28013624068905e-245
SCRG1,1.64152286233607e-246,5.86955802613947,0.576,0.009,2.16484035084881e-242
CALD1,1.86771158487744e-246,4.93716717181685,0.598,0.018,2.46313803813637e-242
MYEOV,5.30388216346729e-246,9.11318415185538,0.557,0.001,6.99475979718066e-242
H1F0,1.3213700989415e-243,4.20940118062436,0.592,0.017,1.74262288648406e-239
TM4SF1,1.01510396729268e-242,4.17757743601468,0.596,0.02,1.33871911206558e-238
CD3D,3.24905880626176e-242,-3.74719487795244,0.049,0.639,4.28485875369801e-238
CRABP2,2.64294000431482e-241,7.25629752979428,0.555,0.004,3.48550927769039e-237
EIF3L,5.09408271001891e-240,2.30173002864663,0.836,0.237,6.71807627797293e-236
PCSK1N,6.58187183566402e-239,4.42352201284884,0.573,0.012,8.68017257687371e-235
HLA-E,3.42026003976448e-236,-2.80132246912961,0.385,0.812,4.5106389404414e-232
SIX3,8.37865408452571e-235,11.1360997866505,0.535,0,1.10497690066725e-230
PPP1R1B,2.65119707490578e-233,11.1941105683598,0.533,0,3.49639870238575e-229
ROCR,5.53078547109555e-233,7.88908673098258,0.534,0.001,7.29399987928081e-229
EGR1,2.406499726725e-232,2.28244151446517,0.757,0.12,3.17369183960492e-228
CD9,7.51962652235291e-232,2.59795690718872,0.73,0.102,9.91688345767902e-228
KRT18,1.44189842810011e-231,5.10402428232203,0.555,0.011,1.90157564697842e-227
YBX1,2.62245652234689e-231,1.58426398404215,0.938,0.542,3.45849566167108e-227
POLR2F,1.46484611929592e-230,2.27811085800374,0.784,0.142,1.93183906212745e-226
RPL23,2.85575095126267e-227,1.69848902220697,0.952,0.687,3.76616435452521e-223
MIF,3.03808946805345e-226,2.15171857433196,0.883,0.281,4.00663239046889e-222
ACTR3B,1.53825292552611e-225,4.97518181614492,0.538,0.007,2.02864795818383e-221
ISG15,3.06740883659416e-225,-3.22064907505992,0.118,0.686,4.04529877370038e-221
SFRP1,6.80272888037279e-225,5.83274965732843,0.531,0.006,8.97143884743564e-221
YBX3,2.01244595757282e-224,2.03795999351388,0.73,0.101,2.65401372884704e-220
ARHGDIB,3.01452588962538e-224,-3.55683787596709,0.117,0.662,3.97555674323795e-220
MT1H,8.22829704807274e-224,8.8499139312233,0.517,0.001,1.08514781469983e-219
RAB13,7.00106810718809e-223,3.85732305058598,0.579,0.03,9.23300861975965e-219
TRPS1,2.74206016890992e-221,2.94497102419018,0.632,0.051,3.61622895075841e-217
OBP2B,2.41620801643063e-220,11.5292184143574,0.509,0,3.18649513206872e-216
PPDPF,3.52035754477021e-220,1.89287347677065,0.875,0.285,4.64264753004296e-216
TRAC,5.68136934870818e-218,-3.78602085808798,0.046,0.595,7.49258989707635e-214
FRMD4A,1.94804172726252e-217,4.70553617550387,0.543,0.018,2.56907742991381e-213
EPCAM,2.36735334861785e-217,4.38604185275846,0.538,0.014,3.12206559615722e-213
CCL5,1.1668701453298e-216,-3.57948384312166,0.063,0.614,1.53886834766094e-212
