"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.06556188488792e-251,-0.948724255965542,0.226,0.388,2.72406301379019e-247,Neutral,KRT6A
2,5.04307825541132e-227,-1.22833841435854,0.221,0.36,6.65081160323644e-223,Neutral,UBE2C
3,2.20844248458963e-226,-0.753734363949524,0.173,0.323,2.91249394867681e-222,Neutral,APOD
4,8.37687276337474e-221,0.731380727864504,0.423,0.261,1.10474198003386e-216,Neutral,MGP
5,9.33817427003617e-221,1.36090184984452,0.263,0.106,1.23151842273237e-216,Neutral,S100A1
6,8.55250674761274e-204,-0.600857906118484,0.21,0.364,1.12790458987517e-199,Neutral,FDCSP
7,5.69224411469937e-202,1.32455533253482,0.383,0.238,7.50693153846553e-198,Neutral,MDK
8,6.68915097547904e-201,-0.821439584936252,0.135,0.266,8.82165230646176e-197,Neutral,SDR16C5
9,7.99318113064647e-184,-0.905784799028749,0.152,0.278,1.05414072750966e-179,Neutral,CXCL17
10,3.84137391647876e-182,-0.508525381603636,0.273,0.426,5.06600392105219e-178,Neutral,SAA1
11,4.47908036680649e-181,0.58751835730095,0.753,0.642,5.9070111877444e-177,Neutral,VIM
12,7.89009784333008e-167,-0.757235571478147,0.211,0.343,1.04054610357837e-162,Neutral,NBL1
13,6.7040617167348e-166,0.669355802836595,0.386,0.223,8.84131659202986e-162,Neutral,TUBA1A
14,1.69306343860214e-164,-1.0206996947939,0.145,0.257,2.2328120628285e-160,Neutral,CDKN3
15,7.39439375184208e-164,-0.835311568397306,0.148,0.264,9.75172647992933e-160,Neutral,LCN2
16,6.97046902303273e-162,-1.0456982125095,0.149,0.261,9.19265454757556e-158,Neutral,ASF1B
17,5.45196404798699e-153,-0.878294678163714,0.157,0.27,7.19005018648525e-149,Neutral,BIRC5
18,8.35631529425695e-151,-0.821456824207346,0.148,0.261,1.10203086100661e-146,Neutral,C19orf33
19,5.42183932975317e-149,0.765928525198822,0.418,0.287,7.15032170807848e-145,Neutral,S100A13
20,1.86511488530958e-147,1.34224827221701,0.282,0.162,2.45971351074627e-143,Neutral,TTYH1
21,0,-6.92306737265474,0.02,0.462,0,Negative,SLPI
22,0,-6.39123890003141,0.005,0.329,0,Negative,SERPINB5
23,0,-6.13917718450149,0.012,0.446,0,Negative,S100P
24,0,-5.9988091916932,0.039,0.483,0,Negative,KRT14
25,0,-5.76794068436964,0.006,0.285,0,Negative,TTYH1
26,0,-5.72374700081178,0.013,0.341,0,Negative,RHOV
27,0,-5.65152763730137,0.05,0.488,0,Negative,KRT17
28,0,-5.54910448183247,0.016,0.326,0,Negative,DMKN
29,0,-5.46793146004716,0.019,0.394,0,Negative,KRT6B
30,0,-5.38044966183599,0.014,0.336,0,Negative,PDZK1IP1
31,0,-5.28322608990044,0.025,0.428,0,Negative,CALML5
32,0,-5.21426955925414,0.03,0.467,0,Negative,CRABP2
33,0,-5.18161525488086,0.026,0.459,0,Negative,MAL2
34,0,-5.12626935232983,0.015,0.357,0,Negative,KRT5
35,0,-5.11454926664175,0.056,0.489,0,Negative,TACSTD2
36,0,-5.07075387588578,0.011,0.293,0,Negative,LY6K
37,0,-5.00258382529136,0.008,0.324,0,Negative,NDUFA4L2
38,0,-4.83774171037404,0.051,0.447,0,Negative,KRT19
39,0,-4.68542120860318,0.033,0.45,0,Negative,CDKN2A
40,0,-4.63689898225676,0.046,0.524,0,Negative,CLDN4
41,0,-7.16467203289069,0.01,0.296,0,Positive,PTPRC
42,0,-7.00431932728145,0.013,0.297,0,Positive,CD52
43,0,-6.17956203253641,0.038,0.377,0,Positive,SRGN
44,0,-2.78442574552663,0.179,0.465,0,Positive,ISG15
45,0,-2.44470476711557,0.512,0.755,0,Positive,VIM
46,0,2.36728165516353,0.268,0.053,0,Positive,PIMREG
47,0,2.34333221817825,0.329,0.071,0,Positive,KCNG1
48,0,2.34137208576024,0.309,0.057,0,Positive,HMSD
49,0,2.29814603702405,0.687,0.204,0,Positive,UBE2C
50,0,2.27963323567664,0.315,0.06,0,Positive,SBSN
51,0,2.15473014552827,0.37,0.089,0,Positive,CDCA3
52,0,2.12668524195993,0.37,0.083,0,Positive,CEP55
53,0,2.1244751675342,0.416,0.091,0,Positive,PI3
54,0,2.10731792632402,0.502,0.137,0,Positive,ASF1B
55,0,2.08048936542025,0.372,0.093,0,Positive,SPC25
56,0,2.07278769093867,0.392,0.112,0,Positive,CDC20
57,0,2.06150397911128,0.284,0.078,0,Positive,VSNL1
58,0,2.06018153510977,0.485,0.134,0,Positive,CDKN3
59,0,2.05445513849137,0.444,0.107,0,Positive,LINC01133
60,0,2.05053927246756,0.36,0.087,0,Positive,PRC1
