"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-4.92119367518668,0.064,0.306,0,Positive,JCHAIN
2,0,4.04935640910225,0.735,0.216,0,Positive,CSTB
3,0,3.10652222959471,0.73,0.225,0,Positive,ANXA2
4,0,-3.09299942475884,0.05,0.337,0,Positive,CD79A
5,0,-2.75868315605884,0.079,0.347,0,Positive,MZB1
6,0,2.73329046494076,0.933,0.606,0,Positive,GAPDH
7,0,2.42470134631362,0.841,0.412,0,Positive,S100A11
8,0,2.4151559610272,0.733,0.236,0,Positive,TXN
9,0,2.3342365939074,0.757,0.242,0,Positive,TPI1
10,0,2.19667899985347,0.731,0.2,0,Positive,TSPO
11,0,2.08761569015678,0.902,0.537,0,Positive,S100A6
12,0,1.91584911536828,0.834,0.444,0,Positive,YBX1
13,0,1.8242259642227,0.963,0.785,0,Positive,ACTB
14,0,-1.612869557733,0.467,0.857,0,Positive,IGKC
15,0,1.52769629496438,0.941,0.624,0,Positive,ACTG1
16,0,1.40210050214349,0.929,0.691,0,Positive,H3F3A
17,1.1125369292536e-308,2.63189004620899,0.669,0.139,1.11253692926012e-308,Positive,PKM
18,1.11253692925967e-308,2.6816824952758,0.686,0.172,1.11253700931247e-308,Positive,TUBB
19,1.1125901145699e-308,1.8086882192911,0.823,0.402,1.81394488055401e-308,Positive,CALM2
20,1.12107271163259e-308,2.22399778783871,0.716,0.223,2.25139796028213e-306,Positive,DBI
21,0,4.92119367518668,0.306,0.064,0,Other,JCHAIN
22,0,-4.04935640910225,0.216,0.735,0,Other,CSTB
23,0,-3.10652222959471,0.225,0.73,0,Other,ANXA2
24,0,3.09299942475884,0.337,0.05,0,Other,CD79A
25,0,2.75868315605884,0.347,0.079,0,Other,MZB1
26,0,-2.73329046494076,0.606,0.933,0,Other,GAPDH
27,0,-2.42470134631362,0.412,0.841,0,Other,S100A11
28,0,-2.4151559610272,0.236,0.733,0,Other,TXN
29,0,-2.3342365939074,0.242,0.757,0,Other,TPI1
30,0,-2.19667899985347,0.2,0.731,0,Other,TSPO
31,0,-2.08761569015678,0.537,0.902,0,Other,S100A6
32,0,-1.91584911536828,0.444,0.834,0,Other,YBX1
33,0,-1.8242259642227,0.785,0.963,0,Other,ACTB
34,0,1.612869557733,0.857,0.467,0,Other,IGKC
35,0,-1.52769629496438,0.624,0.941,0,Other,ACTG1
36,0,-1.40210050214349,0.691,0.929,0,Other,H3F3A
37,1.1125369292536e-308,-2.63189004620899,0.139,0.669,1.11253692926012e-308,Other,PKM
38,1.11253692925967e-308,-2.6816824952758,0.172,0.686,1.11253700931247e-308,Other,TUBB
39,1.1125901145699e-308,-1.8086882192911,0.402,0.823,1.81394488055401e-308,Other,CALM2
40,1.12107271163259e-308,-2.22399778783871,0.223,0.716,2.25139796028213e-306,Other,DBI
