"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-3.10682605020819,0.07,0.258,0,Neutral,SPARC
2,0,-2.89938591516224,0.066,0.332,0,Neutral,COL6A2
3,0,-2.89287230587411,0.101,0.307,0,Neutral,IGFBP4
4,0,-2.87590411311389,0.076,0.328,0,Neutral,COL6A1
5,0,-2.86747894965364,0.11,0.338,0,Neutral,C1R
6,0,-2.30299221656558,0.123,0.307,0,Neutral,TAGLN
7,0,-2.10341567502413,0.113,0.311,0,Neutral,SERPING1
8,0,-2.01696748225295,0.07,0.255,0,Neutral,COL4A2
9,0,-1.69683651469414,0.12,0.319,0,Neutral,PMP22
10,4.51546575122729e-307,-2.14091713914988,0.177,0.361,5.95499623271854e-303,Neutral,NNMT
11,3.16880275586739e-286,-2.44679251417338,0.107,0.262,4.17901707443791e-282,Neutral,CTGF
12,3.32802975231809e-273,-2.00694792076937,0.179,0.357,4.3890056373571e-269,Neutral,C1S
13,2.93470733344232e-249,-0.779794174522471,0.629,0.782,3.87029203134374e-245,Neutral,HSP90B1
14,1.28083498297281e-240,-2.50856463333854,0.136,0.287,1.68916517554454e-236,Neutral,FBLN1
15,3.10520311583071e-227,-1.36329221891853,0.412,0.573,4.09514186915754e-223,Neutral,IFITM3
16,1.60233493907376e-223,-1.66635100712501,0.114,0.257,2.11315931765047e-219,Neutral,CAVIN3
17,1.47363357012985e-210,-1.08301524179011,0.129,0.281,1.94342795228725e-206,Neutral,IL6ST
18,1.7603467079732e-209,-0.769210386504443,0.349,0.544,2.32154523847506e-205,Neutral,IFI27
19,4.08632358681037e-204,-1.05580075622432,0.238,0.412,5.38904354628552e-200,Neutral,LGALS3BP
20,7.36188375021232e-204,-2.15456649644448,0.221,0.38,9.70885228978e-200,Neutral,IGFBP7
21,0,2.26765801975923,0.279,0.089,0,Positive,COL6A1
22,0,2.08616467440113,0.273,0.08,0,Positive,COL6A2
23,5.9453192844289e-302,1.69450386089719,0.375,0.159,7.84068707230483e-298,Positive,BIRC5
24,5.07133174937643e-282,1.66989445933011,0.335,0.136,6.68807231107764e-278,Positive,MAD2L1
25,2.52871254086961e-280,1.63933554970992,0.327,0.126,3.33486609889885e-276,Positive,MKI67
26,2.1009695375359e-279,1.78950285284677,0.328,0.13,2.77075862610235e-275,Positive,TOP2A
27,1.36643284385328e-231,1.62279485171174,0.272,0.107,1.80205163447371e-227,Positive,PBK
28,6.44068491736669e-227,-0.999974488714142,0.697,0.803,8.49397526902319e-223,Positive,JUNB
29,1.0998823711077e-223,1.48756686807418,0.253,0.094,1.45052487101683e-219,Positive,NDC80
30,1.44847799664254e-221,1.70137432836515,0.346,0.161,1.91025278197218e-217,Positive,CENPF
31,6.43790596683489e-207,0.905369229793459,0.667,0.446,8.49031038906185e-203,Positive,PRDX4
32,6.23791825099279e-206,1.54623240156605,0.295,0.128,8.22656658940929e-202,Positive,TPX2
33,5.78265243364921e-205,1.89396285994727,0.455,0.255,7.62616202949658e-201,Positive,CTHRC1
34,7.02355672019921e-205,1.19747164898319,0.294,0.122,9.26266660259871e-201,Positive,C1R
35,3.92166052197354e-203,1.01584284461424,0.372,0.179,5.1718858963787e-199,Positive,LRRC59
36,4.47175243572996e-193,1.32862960206104,0.25,0.098,5.89734711224067e-189,Positive,PRC1
37,5.97035562860481e-188,1.11789009461206,0.439,0.243,7.87370500300402e-184,Positive,TYMS
38,4.25782668299948e-183,0.808045822065638,0.623,0.413,5.61522182953972e-179,Positive,FKBP2
39,2.33145050564743e-182,1.15342513978064,0.393,0.209,3.07471692684783e-178,Positive,CENPW
40,4.28957386672515e-182,0.798383054585262,0.79,0.634,5.65709001543713e-178,Positive,HSP90B1
41,0,5.89122904184202,0.275,0.01,0,Negative,COL14A1
42,0,5.75459258211317,0.302,0.021,0,Negative,IGF1
43,0,5.63589049405313,0.286,0.011,0,Negative,PLAC9
44,0,5.22587564878757,0.338,0.022,0,Negative,CXCL12
45,0,4.94241674582855,0.397,0.023,0,Negative,SPARCL1
46,0,4.93341717374835,0.349,0.035,0,Negative,DCN
47,0,4.71545071596227,0.284,0.017,0,Negative,MEG3
48,0,4.49057387018252,0.27,0.019,0,Negative,SFRP2
49,0,4.48059148460984,0.32,0.03,0,Negative,LHFPL6
50,0,4.47257755186224,0.364,0.08,0,Negative,CCDC80
51,0,4.45651520437615,0.252,0.029,0,Negative,EFEMP1
52,0,4.38835114228188,0.326,0.032,0,Negative,CPE
53,0,4.16526440984583,0.299,0.043,0,Negative,CRISPLD2
54,0,4.1241766943662,0.278,0.038,0,Negative,C11orf96
55,0,4.11517944221296,0.521,0.11,0,Negative,IGFBP4
56,0,3.87466563147165,0.351,0.036,0,Negative,HTRA1
57,0,3.85717810548987,0.259,0.031,0,Negative,CFH
58,0,3.81912079034788,0.323,0.036,0,Negative,MMP2
59,0,3.7943493172488,0.272,0.038,0,Negative,FBN1
60,0,3.74552118718761,0.44,0.124,0,Negative,C1R
