"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EEF1G,0,8.64846589317857,1,0.007,0
RPL17,0,1.59332854578036,0.853,0.408,0
SNORC,0,2.22408627149146,0.557,0.115,0
FABP7,0,2.00253558461187,0.524,0.114,0
SCRG1,0,1.66347391570183,0.504,0.134,0
RPS17,0,1.90321701286282,0.971,0.613,0
RPS10,1.11253692934683e-308,1.15407900434191,0.948,0.68,1.11253815874725e-308
KRT19,1.11269251577261e-308,1.85260858434042,0.778,0.405,4.10375002549055e-308
KRT15,1.14310276507757e-308,2.0947357665085,0.633,0.251,8.06204485693079e-306
NOP53,3.6032501952886e-282,1.44940689487721,0.846,0.49,4.7519663575466e-278
EIF3L,5.22264103887802e-280,1.38670673987375,0.87,0.542,6.88761900207233e-276
SNHG7,8.89349990142789e-268,1.30135306227253,0.685,0.287,1.17287476700031e-263
LYRM4,1.26251807675242e-264,1.41268253558908,0.546,0.189,1.6650088396211e-260
ACTR3B,4.40469776983132e-260,1.53951795793146,0.525,0.177,5.80891541885354e-256
NFIB,8.37334774589268e-239,1.37279092280592,0.659,0.287,1.10427710072833e-234
B2M,1.40987290362893e-234,-1.02165942295427,0.644,0.934,1.85934038530583e-230
HLA-C,3.27289948153359e-229,-1.6010566034279,0.434,0.816,4.3162998362465e-225
NT5C3B,3.6610121012317e-221,1.37574339384775,0.514,0.189,4.82814275910436e-217
C6orf48,1.33900918884553e-211,0.967137918847337,0.822,0.42,1.76588531824949e-207
TSC22D4,5.76287929997341e-209,1.08056436776949,0.505,0.18,7.60008522080493e-205
HLA-B,1.58486838502983e-208,-1.0775364743684,0.419,0.848,2.09012442617734e-204
CKB,2.38722622539837e-208,1.3334839546848,0.515,0.193,3.14827394605536e-204
HLA-A,1.30738517857627e-207,-1.3198994074831,0.582,0.849,1.72417957350638e-203
HIST3H2A,7.30197897756703e-206,1.25483194994416,0.534,0.206,9.62984987561539e-202
MT1G,8.69127437124048e-206,0.963230279928945,0.617,0.268,1.14620526407919e-201
TTYH1,8.49067442354333e-205,1.04008353557834,0.62,0.252,1.11975014297689e-200
MDK,2.74966445964698e-201,1.08026740132204,0.722,0.349,3.62625748938244e-197
CAVIN1,1.95410600348728e-199,1.15375457260934,0.584,0.24,2.57707499739903e-195
TFAP2A,7.81745585834937e-199,1.32698303552068,0.562,0.231,1.03096607859911e-194
TRAF4,1.80218652393766e-190,1.09956613559447,0.559,0.227,2.37672358776899e-186
GMDS,7.2782265952205e-190,1.21703293584413,0.526,0.211,9.5985252337768e-186
PPDPF,9.79662868894112e-185,0.862620135659592,0.931,0.618,1.29197939149755e-180
PAWR,2.74392224391235e-183,1.20473134132533,0.517,0.209,3.61868465527161e-179
SNHG8,4.8228620705982e-183,0.872565509197866,0.823,0.462,6.36039049870491e-179
IMPDH2,2.72538300960067e-180,1.10530035134103,0.608,0.274,3.59423511306136e-176
FBL,7.16206316480079e-177,0.93586487872273,0.776,0.43,9.44532890173929e-173
EIF3H,2.45683551759418e-176,0.880858970493293,0.903,0.62,3.24007468060321e-172
NDRG2,3.05789006304614e-169,1.01699947690409,0.651,0.31,4.03274541514525e-165
MARCKSL1,6.79312526189566e-168,0.866600433094816,0.852,0.56,8.958773595388e-164
POLR2F,1.36005334247093e-166,0.900048158615165,0.816,0.461,1.79363834805067e-162
ZFAS1,3.59242955468481e-151,0.740111845173212,0.896,0.604,4.73769609671833e-147
NR4A1,2.43767914844216e-150,0.956535378413616,0.71,0.381,3.21481126096552e-146
FAM200B,3.90235607761667e-145,0.859474206374381,0.525,0.228,5.14642719516087e-141
SOX4,5.24030742614265e-145,0.827240903857742,0.841,0.558,6.91091743359693e-141
S100A13,2.91431181021046e-143,0.738510686048145,0.733,0.387,3.84339441530555e-139
EIF3D,6.56263912269611e-141,0.768434512670669,0.774,0.444,8.65480847501162e-137
RPL36A,1.65784684503626e-140,0.721751665361488,0.958,0.682,2.18636841923382e-136
H1F0,3.88167512184401e-139,0.859064875151728,0.582,0.273,5.11915315068788e-135
SRPK2,2.1173900364153e-136,0.745075852160342,0.542,0.245,2.79241398002449e-132
PTRHD1,1.94892573484659e-134,0.778794051066106,0.526,0.233,2.57024325911568e-130
ADIRF,2.6525943156969e-132,0.792820442440477,0.539,0.252,3.49824138354107e-128
ERGIC3,3.66383350742217e-132,0.747822394913977,0.76,0.436,4.83186362958836e-128
SUDS3,2.87398288996719e-127,0.805079884233633,0.512,0.234,3.79020863528872e-123
CCND1,8.0378846896966e-127,0.826106435143123,0.709,0.392,1.06003623287719e-122
HIST1H2AC,1.5261198742778e-126,0.806182311773705,0.506,0.229,2.01264689019757e-122
ARF5,1.2914202502334e-122,0.713377016537997,0.578,0.282,1.7031250260078e-118
EBPL,3.50801707935432e-112,0.710957686851443,0.613,0.314,4.62637292425248e-108
CTNNB1,1.93061021297557e-88,0.850498487631247,0.684,0.403,2.54608874887218e-84
