"",scissor_markers,scPAS_markers,scPP_markers,scAB_markers
1,S100A10,MIR3945HG,PSME2,GRN
2,S100A11,SRGN,PSME1,BASP1
3,HSPB1,FCER1G,STMN1,PSAP
4,IGFBP5,TYROBP,PCLAF,CTSZ
5,TACSTD2,LAPTM5,RANBP1,HSP90B1
6,LGALS1,NOXO1,IDH2,LAP3
7,TAGLN2,AIF1,MZT2A,FCGRT
8,ANXA2,IL1B,TYMS,FKBP2
9,GSN,OLR1,SUB1,CD63
10,CNN3,LYZ,PSMB8,CYBA
11,PPIC,CD24,SNRPG,MARCKS
12,IFITM3,PERP,UQCRH,NPC2
13,LGALS3,CLDN4,PTTG1,XBP1
14,RTN4,ZEB2,ATP5MC3,VIM
15,SNORC,FXYD3,H2AFZ,APOE
16,FABP7,CTSS,SNRPD1,SPCS3
17,MYL12A,VIM,CKS1B,SFRP1
18,EMP2,TM4SF1,HMGB2,IL32
19,EID1,TACSTD2,COX7A2,S100P
20,IER3,FCGR3A,HIST1H4C,PMAIP1
