"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
USP49,0,10.4809169383124,0.614,0.002,0
MYLPF,0,7.21998338137242,0.399,0.007,0
GSN,2.47585025483662e-31,0.9130187851701,0.443,0.241,2.86975803038112e-27
RAB31,1.50931296075238e-29,0.754549352693586,0.457,0.248,1.74944465280809e-25
GRN,3.22717033290289e-27,0.633995278924534,0.605,0.379,3.74061313286774e-23
SPINT2,2.25576910071041e-26,0.632180605419683,0.504,0.291,2.61466196463343e-22
FCGRT,4.94368607193127e-26,0.629058484191825,0.549,0.325,5.73022652597553e-22
ALDH2,9.2979616647766e-26,0.714006289413453,0.481,0.279,1.07772673656426e-21
PRDX3,3.51737609104874e-23,0.53730973417105,0.488,0.284,4.07699062713459e-19
CD9,4.3584890231801e-23,0.591414588089792,0.519,0.31,5.05192462676805e-19
CTSZ,9.61383769985727e-23,0.59503579598538,0.551,0.342,1.11433992779046e-18
CST3,1.05227697771247e-22,0.518664650153797,0.681,0.466,1.21969424486652e-18
COMT,1.25310124832262e-21,0.536077081317908,0.544,0.333,1.45246965693075e-17
SERPINA1,2.65230715955701e-20,0.563461443698887,0.498,0.304,3.07428922864253e-16
BRI3,1.60748760496461e-18,0.483887551800369,0.585,0.38,1.86323888291448e-14
TMEM14C,2.31419783372374e-18,0.486724806585102,0.551,0.353,2.68238670906919e-14
CTSB,4.48110401807301e-18,0.426234019709164,0.646,0.436,5.19404766734842e-14
CEBPD,9.79429412427063e-18,0.430815600594843,0.583,0.378,1.13525663194421e-13
NPC2,1.0147879679197e-17,0.407074546922475,0.705,0.504,1.17624073361572e-13
CD81,1.34023045662251e-17,0.457672195791063,0.512,0.321,1.55346112227115e-13
LAMTOR2,3.25536384469809e-16,0.432304802787108,0.567,0.371,3.77329223238956e-12
AP2S1,1.13036269530499e-15,0.411774341248176,0.612,0.412,1.31020340012801e-11
RALY,6.03673718687684e-15,0.299861083410649,0.557,0.361,6.99718207330895e-11
TMEM14B,1.06148969019101e-13,0.324159631473953,0.583,0.389,1.23037269990041e-09
GSTP1,2.26661667352758e-13,0.33308897469706,0.77,0.577,2.62723538628582e-09
ANXA5,1.22898198753197e-11,0.327817827368839,0.697,0.501,1.42451302174831e-07
TALDO1,6.49793942714363e-11,0.288297602008599,0.612,0.421,7.53176159000219e-07
NDUFC2,7.21225404370185e-11,0.267783311222243,0.647,0.451,8.35972366205481e-07
IER5,2.29587855784444e-10,0.223275471194614,0.638,0.446,2.66115283639749e-06
PSMB3,1.56808147546724e-09,0.276114774583968,0.712,0.51,1.81756323821408e-05
PRDX5,6.24152731426397e-09,0.261214648477497,0.678,0.488,7.23455430996336e-05
