"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
USP49,0,-10.4809169383124,0.002,0.614,0,Neutral,USP49
MYLPF,0,-7.21998338137242,0.007,0.399,0,Neutral,MYLPF
IL13RA1,1.56420126916061e-31,-0.973364685533276,0.171,0.353,1.81306569108407e-27,Neutral,IL13RA1
GSN,2.47585025483662e-31,-0.9130187851701,0.241,0.443,2.86975803038112e-27,Neutral,GSN
RAB31,1.50931296075238e-29,-0.754549352693586,0.248,0.457,1.74944465280809e-25,Neutral,RAB31
CSF2RA,6.15728535655826e-29,-1.15781650706384,0.122,0.272,7.13690945678668e-25,Neutral,CSF2RA
GRN,3.22717033290289e-27,-0.633995278924534,0.379,0.605,3.74061313286774e-23,Neutral,GRN
SPINT2,2.25576910071041e-26,-0.632180605419683,0.291,0.504,2.61466196463343e-22,Neutral,SPINT2
FCGRT,4.94368607193127e-26,-0.629058484191825,0.325,0.549,5.73022652597553e-22,Neutral,FCGRT
ALDH2,9.2979616647766e-26,-0.714006289413453,0.279,0.481,1.07772673656426e-21,Neutral,ALDH2
MGST2,1.25803181179274e-25,-0.743591182839591,0.21,0.391,1.45818467304897e-21,Neutral,MGST2
SMCO4,2.31604346518865e-25,-0.700322065385578,0.23,0.42,2.68452598050016e-21,Neutral,SMCO4
KYNU,2.09429972822027e-24,-0.851409976320925,0.146,0.298,2.42750281498012e-20,Neutral,KYNU
CLEC7A,2.53151535134715e-24,-0.914143266702104,0.168,0.325,2.93427944374649e-20,Neutral,CLEC7A
ALCAM,2.54808970631443e-24,-0.784430069764814,0.184,0.351,2.95349077858906e-20,Neutral,ALCAM
CXCL16,3.49689253927188e-24,-0.726201525059683,0.245,0.432,4.05324814227003e-20,Neutral,CXCL16
CCDC88A,2.47356133853896e-23,-0.803528775386686,0.181,0.341,2.86710494750051e-19,Neutral,CCDC88A
HCK,3.10840248659247e-23,-0.796003798686231,0.166,0.322,3.60294932220933e-19,Neutral,HCK
PRDX3,3.51737609104874e-23,-0.53730973417105,0.284,0.488,4.07699062713459e-19,Neutral,PRDX3
CD9,4.3584890231801e-23,-0.591414588089792,0.31,0.519,5.05192462676805e-19,Neutral,CD9
ACTN1,4.69784277294104e-23,-0.800292666450864,0.178,0.337,5.44526955811595e-19,Neutral,ACTN1
SPI1,6.12219736318486e-23,-0.719266025716124,0.217,0.396,7.09623896366757e-19,Neutral,SPI1
MS4A6A,8.66146812592394e-23,-0.740948446582085,0.205,0.374,1.00395077047584e-18,Neutral,MS4A6A
BTK,9.32157789186753e-23,-0.814196417844475,0.121,0.258,1.08046409344637e-18,Neutral,BTK
CTSZ,9.61383769985727e-23,-0.59503579598538,0.342,0.551,1.11433992779046e-18,Neutral,CTSZ
DPYSL2,1.03609672405739e-22,-0.784076854340766,0.181,0.337,1.20093971285493e-18,Neutral,DPYSL2
CST3,1.05227697771247e-22,-0.518664650153797,0.466,0.681,1.21969424486652e-18,Neutral,CST3
TNFAIP2,6.41164325160751e-22,-0.886719965171815,0.142,0.28,7.43173569293827e-18,Neutral,TNFAIP2
COMT,1.25310124832262e-21,-0.536077081317908,0.333,0.544,1.45246965693075e-17,Neutral,COMT
IL18,2.00324571304206e-21,-0.739148686330736,0.163,0.311,2.32196210598706e-17,Neutral,IL18
IFI30,2.02902618287662e-21,-0.671034538863245,0.229,0.401,2.35184424857229e-17,Neutral,IFI30
DUSP23,4.81788520136366e-21,-0.567419846605104,0.247,0.425,5.58441073690061e-17,Neutral,DUSP23
MTMR14,5.08182334644089e-21,-0.630273947601573,0.156,0.304,5.89034144085964e-17,Neutral,MTMR14
UBE2E2,8.97248566500774e-21,-0.895607776775934,0.136,0.267,1.04000081343105e-16,Neutral,UBE2E2
EIF4EBP1,9.88271728463295e-21,-0.643765290787778,0.209,0.372,1.14550576046181e-16,Neutral,EIF4EBP1
IGSF6,1.04506784349035e-20,-0.748317904995482,0.18,0.332,1.21133813738967e-16,Neutral,IGSF6
EIF4E2,1.76092191872499e-20,-0.526214856009705,0.247,0.427,2.04108459599414e-16,Neutral,EIF4E2
CD68,1.78984905719063e-20,-0.623409221313835,0.264,0.446,2.07461404218966e-16,Neutral,CD68
FNIP2,1.87430728336263e-20,-0.71232306301826,0.15,0.29,2.17250957214562e-16,Neutral,FNIP2
EIF2AK4,1.94322520199364e-20,-0.698719220575552,0.135,0.269,2.25239233163083e-16,Neutral,EIF2AK4
SERPINA1,2.65230715955701e-20,-0.563461443698887,0.304,0.498,3.07428922864253e-16,Neutral,SERPINA1
DPYD,2.79137857962585e-20,-0.684361848357631,0.122,0.25,3.23548691164432e-16,Neutral,DPYD
SLC31A2,3.34828962107931e-20,-0.844395231599116,0.152,0.291,3.88100249979303e-16,Neutral,SLC31A2
PNPLA6,3.592791732432e-20,-0.784970383667158,0.136,0.271,4.16440489706194e-16,Neutral,PNPLA6
BEX4,3.76136166204353e-20,-0.617870215094019,0.194,0.351,4.35979430247465e-16,Neutral,BEX4
NFIC,4.0342136517893e-20,-0.60405390352463,0.174,0.325,4.67605704378898e-16,Neutral,NFIC
UNC93B1,5.08062899392156e-20,-0.696581661973694,0.174,0.322,5.88895706685448e-16,Neutral,UNC93B1
BLVRA,2.2236059452305e-19,-0.588600919538078,0.242,0.411,2.57738165111668e-15,Neutral,BLVRA
NCF2,3.16367148524308e-19,-0.778506444040265,0.179,0.324,3.66701161854525e-15,Neutral,NCF2
LST1,3.27666300020112e-19,-0.625753465443272,0.284,0.456,3.79798008353312e-15,Neutral,LST1
NUDT16,6.42200464467751e-19,-0.625540513850127,0.182,0.329,7.4437455836457e-15,Neutral,NUDT16
KCTD12,7.88638562239162e-19,-0.716520827017726,0.167,0.306,9.14110957491413e-15,Neutral,KCTD12
RBM47,9.38407031959282e-19,-0.587938115723823,0.184,0.333,1.087707590744e-14,Neutral,RBM47
HLA-DMB,9.9924005906192e-19,-0.612832446950156,0.279,0.446,1.15821915245867e-14,Neutral,HLA-DMB
ATP6AP1,1.03669036365071e-18,-0.505428141857506,0.272,0.451,1.20162780050754e-14,Neutral,ATP6AP1
CD86,1.24003885706731e-18,-0.755143265450209,0.156,0.29,1.43732903922671e-14,Neutral,CD86
PDXK,1.24872425614751e-18,-0.513105308373636,0.261,0.435,1.44739628530057e-14,Neutral,PDXK
BRI3,1.60748760496461e-18,-0.483887551800369,0.38,0.585,1.86323888291448e-14,Neutral,BRI3
ENG,1.66102860911754e-18,-0.752745818071634,0.133,0.258,1.92529826082814e-14,Neutral,ENG
TMEM14C,2.31419783372374e-18,-0.486724806585102,0.353,0.551,2.68238670906919e-14,Neutral,TMEM14C
RNF130,2.96174078365663e-18,-0.580259346544008,0.26,0.428,3.4329537423364e-14,Neutral,RNF130
CTSB,4.48110401807301e-18,-0.426234019709164,0.436,0.646,5.19404766734842e-14,Neutral,CTSB
TNFSF13B,4.7226267654828e-18,-0.58569929284335,0.185,0.33,5.47399668387111e-14,Neutral,TNFSF13B
IER3,4.87014048960046e-18,-0.505244267853582,0.263,0.432,5.64497984149589e-14,Neutral,IER3
FBP1,7.07485153592898e-18,-0.662741290944145,0.252,0.407,8.20046041529528e-14,Neutral,FBP1
TGFBI,7.13449274810958e-18,-0.647190219030179,0.202,0.349,8.26959054433381e-14,Neutral,TGFBI
PLAUR,7.7417426819083e-18,-0.528626951602415,0.313,0.491,8.97345394259991e-14,Neutral,PLAUR
RAB13,7.81970321778732e-18,-0.570014820015771,0.232,0.391,9.06381799973728e-14,Neutral,RAB13
TCEAL4,8.18415305818372e-18,-0.50978585655274,0.224,0.383,9.48625180974075e-14,Neutral,TCEAL4
APP,8.86757082965036e-18,-0.67382416200896,0.209,0.357,1.02784013486477e-13,Neutral,APP
RNASE6,9.44769407885483e-18,-0.782913312689107,0.137,0.261,1.09508222068006e-13,Neutral,RNASE6
MAP3K13,9.73476349124325e-18,-0.541507082723974,0.219,0.374,1.12835643627e-13,Neutral,MAP3K13
CEBPD,9.79429412427063e-18,-0.430815600594843,0.378,0.583,1.13525663194421e-13,Neutral,CEBPD
NPC2,1.0147879679197e-17,-0.407074546922475,0.504,0.705,1.17624073361572e-13,Neutral,NPC2
TBXAS1,1.05088243527006e-17,-0.627765564488491,0.17,0.308,1.21807783072152e-13,Neutral,TBXAS1
PPT1,1.10133861263599e-17,-0.497969234509827,0.313,0.496,1.27656158590637e-13,Neutral,PPT1
LACTB,1.26817276456086e-17,-0.504303847816738,0.217,0.375,1.46993905140249e-13,Neutral,LACTB
HBEGF,1.31760930478671e-17,-0.632674298235367,0.182,0.324,1.52724094517828e-13,Neutral,HBEGF
CD81,1.34023045662251e-17,-0.457672195791063,0.321,0.512,1.55346112227115e-13,Neutral,CD81
TSPAN3,1.72001438883678e-17,-0.556878565311988,0.198,0.345,1.99366867810071e-13,Neutral,TSPAN3
TGM2,1.96954489556792e-17,-0.747680585703191,0.135,0.258,2.28289948845278e-13,Neutral,TGM2
GRINA,2.01506385345463e-17,-0.545716604655584,0.265,0.432,2.33566051253926e-13,Neutral,GRINA
TUBB6,2.23325792654034e-17,-0.728475337916157,0.139,0.262,2.5885692626529e-13,Neutral,TUBB6
CD2,2.41087503230595e-17,0.856040831756432,0.44,0.283,2.79444524994583e-13,Neutral,CD2
BID,2.70626109650758e-17,-0.551792657067309,0.236,0.393,3.13682723696193e-13,Neutral,BID
MS4A7,2.77055063388854e-17,-0.651289463875553,0.197,0.345,3.21134523974021e-13,Neutral,MS4A7
SCPEP1,3.18892668565987e-17,-0.486848428421383,0.267,0.433,3.69628492134836e-13,Neutral,SCPEP1
MSRB2,3.2887670118314e-17,-0.515946500315018,0.181,0.322,3.81200984341378e-13,Neutral,MSRB2
ALOX5,3.67986043603773e-17,-0.656815633442082,0.176,0.316,4.26532623141133e-13,Neutral,ALOX5
FCGR2A,3.85292671085721e-17,-0.628913139136851,0.215,0.361,4.46592735055459e-13,Neutral,FCGR2A
PLEK,4.33323201213771e-17,-0.58992612763558,0.235,0.39,5.02264922526882e-13,Neutral,PLEK
CUX1,4.36216925008274e-17,-0.541397442392947,0.153,0.283,5.0561903777709e-13,Neutral,CUX1
OLR1,6.56305644912043e-17,-0.725736808120968,0.174,0.306,7.60723873017549e-13,Neutral,OLR1
TIMM13,6.85264326232444e-17,-0.499650669383333,0.292,0.465,7.94289880536026e-13,Neutral,TIMM13
AIF1,6.91101203676098e-17,-0.62605981741639,0.286,0.44,8.01055405180965e-13,Neutral,AIF1
VPS35,7.14295316716469e-17,-0.424949248192746,0.291,0.47,8.2793970160606e-13,Neutral,VPS35
IFNGR2,7.15768235523237e-17,-0.584541677167703,0.228,0.377,8.29646961794984e-13,Neutral,IFNGR2
QSOX1,8.091718419018e-17,-0.562896965937447,0.208,0.356,9.37911081948376e-13,Neutral,QSOX1
OGFRL1,8.15553517825727e-17,-0.532239677501076,0.134,0.258,9.453080825118e-13,Neutral,OGFRL1
KLF4,8.69588655019197e-17,-0.630019512124336,0.248,0.399,1.00794021003275e-12,Neutral,KLF4
CD69,9.71674021900507e-17,0.798342642331948,0.523,0.398,1.12626735878488e-12,Neutral,CD69
PAK1,1.03644204749338e-16,-0.773218544868224,0.138,0.258,1.20133997724957e-12,Neutral,PAK1
CD14,1.05583397913449e-16,-0.580574499376263,0.175,0.312,1.22381716521479e-12,Neutral,CD14
ETS2,1.70492890159625e-16,-0.466096740584229,0.235,0.391,1.97618308984021e-12,Neutral,ETS2
HEBP1,1.73714499088075e-16,-0.514141416900458,0.167,0.3,2.01352475892988e-12,Neutral,HEBP1
HNMT,2.37144291017498e-16,-0.622486040248984,0.191,0.33,2.74873947718382e-12,Neutral,HNMT
CAPG,2.37181900296116e-16,-0.472775583079602,0.372,0.556,2.74917540633228e-12,Neutral,CAPG
CPM,2.47155450933814e-16,-0.623599438642685,0.2,0.338,2.86477883177384e-12,Neutral,CPM
SPG21,2.66888198833947e-16,-0.405989158674868,0.281,0.454,3.09350111268429e-12,Neutral,SPG21
MRC1,2.85261917739541e-16,-0.718021212001728,0.159,0.287,3.30647088851902e-12,Neutral,MRC1
MNDA,2.91777586602343e-16,-0.601192399306405,0.185,0.324,3.38199400630776e-12,Neutral,MNDA
TYROBP,3.00654026699908e-16,-0.481363255516752,0.418,0.597,3.48488082347864e-12,Neutral,TYROBP
LAMTOR2,3.25536384469809e-16,-0.432304802787108,0.371,0.567,3.77329223238956e-12,Neutral,LAMTOR2
NECTIN2,3.57730356299206e-16,-0.754275258154204,0.145,0.264,4.14645255986409e-12,Neutral,NECTIN2
VAMP3,3.82257704528764e-16,-0.44481357644536,0.2,0.345,4.4307490531929e-12,Neutral,VAMP3
RAB20,3.87515157662592e-16,-0.720859439718685,0.139,0.256,4.49168819246711e-12,Neutral,RAB20
CSTA,4.39026625052669e-16,-0.592068393959909,0.205,0.348,5.08875761098548e-12,Neutral,CSTA
FCER1G,4.45473596902411e-16,-0.492994244689178,0.373,0.554,5.16348446169585e-12,Neutral,FCER1G
COPRS,4.4567541068754e-16,-0.600533923655311,0.179,0.312,5.16582368527928e-12,Neutral,COPRS
CDK2AP1,4.95532529383212e-16,-0.779289377070987,0.138,0.254,5.74371754808081e-12,Neutral,CDK2AP1
CHMP4B,5.80032269938285e-16,-0.425341774467668,0.305,0.48,6.72315404085466e-12,Neutral,CHMP4B
LYN,5.85798669073859e-16,-0.483912866598908,0.225,0.374,6.7899923732351e-12,Neutral,LYN
IL32,5.92914609998246e-16,0.659157689040977,0.576,0.456,6.87247324448967e-12,Neutral,IL32
GLB1,6.07772567941561e-16,-0.50695252815252,0.17,0.301,7.04469183501063e-12,Neutral,GLB1
CD151,6.08595167630583e-16,-0.550131096518799,0.272,0.43,7.05422658800609e-12,Neutral,CD151
PPP1R14B,6.28271230653106e-16,-0.573005376100674,0.193,0.332,7.28229183450015e-12,Neutral,PPP1R14B
GAA,7.90970647689685e-16,-0.578187098300327,0.174,0.306,9.16814077737114e-12,Neutral,GAA
ABHD12,8.90842911128205e-16,-0.547845676147195,0.153,0.277,1.0325760182887e-11,Neutral,ABHD12
PAPSS1,9.723076269681e-16,-0.495650675940308,0.162,0.29,1.12700177041872e-11,Neutral,PAPSS1
IFNAR1,1.00250139501117e-15,-0.463227094779211,0.16,0.288,1.16199936695744e-11,Neutral,IFNAR1
DDAH2,1.04922486310908e-15,-0.48297530013188,0.266,0.425,1.21615653882974e-11,Neutral,DDAH2
HLA-DMA,1.08020819577027e-15,-0.475408294131564,0.393,0.562,1.25206931971732e-11,Neutral,HLA-DMA
CLTC,1.10177562895673e-15,-0.444636864321888,0.22,0.369,1.27706813152375e-11,Neutral,CLTC
AP2S1,1.13036269530499e-15,-0.411774341248176,0.412,0.612,1.31020340012801e-11,Neutral,AP2S1
CORO1C,1.40997972200498e-15,-0.553635105882943,0.17,0.298,1.63430749577598e-11,Neutral,CORO1C
TIMP2,1.56290272980463e-15,-0.563568831138993,0.176,0.308,1.81156055411655e-11,Neutral,TIMP2
SGK1,1.63256480462194e-15,-0.5968473641762,0.224,0.367,1.89230586503729e-11,Neutral,SGK1
HOOK3,1.7051494710001e-15,-0.425033236779676,0.186,0.324,1.97643875183622e-11,Neutral,HOOK3
PGD,1.7314409051398e-15,-0.514101884236841,0.221,0.367,2.00691315314755e-11,Neutral,PGD
CETN2,1.80492200621927e-15,-0.581623506012607,0.178,0.308,2.09208509740876e-11,Neutral,CETN2
RNPEP,1.99924773969535e-15,-0.436043466022426,0.208,0.351,2.31732805508088e-11,Neutral,RNPEP
GTF2I,2.36814827853206e-15,-0.490752624267054,0.264,0.417,2.74492066964652e-11,Neutral,GTF2I
SDCCAG8,2.41995212023537e-15,-0.446496170915162,0.18,0.314,2.80496650256481e-11,Neutral,SDCCAG8
C1QC,3.01665870551011e-15,-0.635435334069251,0.2,0.335,3.49660910555677e-11,Neutral,C1QC
LGALS9,3.07948134920206e-15,-0.560432189833059,0.223,0.367,3.56942683186011e-11,Neutral,LGALS9
HLA-DRB5,3.58376787920382e-15,-0.514526076835152,0.298,0.461,4.15394534878515e-11,Neutral,HLA-DRB5
TIMM8B,3.68031540824677e-15,-0.407487295926218,0.317,0.491,4.26585358969883e-11,Neutral,TIMM8B
ADAM17,4.02307888294223e-15,-0.442316994529761,0.194,0.332,4.66315073321833e-11,Neutral,ADAM17
MFSD1,4.11327531121816e-15,-0.548969129506772,0.205,0.34,4.76769741323296e-11,Neutral,MFSD1
YWHAH,4.53488551079742e-15,-0.441195473764752,0.382,0.564,5.25638579556529e-11,Neutral,YWHAH
NIPSNAP2,4.58047291622805e-15,-0.45901829749179,0.193,0.329,5.30922615719994e-11,Neutral,NIPSNAP2
CAPNS1,4.70921042459979e-15,-0.420103745868581,0.262,0.419,5.45844580315362e-11,Neutral,CAPNS1
PLBD1,5.62286868280141e-15,-0.72062651041875,0.152,0.271,6.51746709023512e-11,Neutral,PLBD1
PYCARD,6.42977515998915e-15,-0.431522001006651,0.372,0.556,7.45275238794343e-11,Neutral,PYCARD
GPX3,7.01276628703292e-15,-0.619050011115478,0.148,0.266,8.12849740329986e-11,Neutral,GPX3
LY86,7.87836118246712e-15,-0.575035428385171,0.183,0.312,9.13180844659764e-11,Neutral,LY86
CAMK1D,8.44981032334857e-15,-0.562909737717178,0.137,0.251,9.79417514579333e-11,Neutral,CAMK1D
