"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-7.730720975943,0.006,0.459,0,Neutral,MFSD9
2,0,-5.12585744803734,0.016,0.405,0,Neutral,SH2D1B
3,3.68951673894292e-300,-2.75285485825611,0.073,0.434,4.27651885210873e-296,Neutral,KLRF1
4,1.68432157493396e-286,-2.56737171739993,0.096,0.488,1.95229713750595e-282,Neutral,FGFBP2
5,2.31906049178705e-194,-2.38248615141872,0.127,0.47,2.68802301603037e-190,Neutral,SPON2
6,2.19999980156744e-188,-1.87584769861916,0.186,0.581,2.55001976999682e-184,Neutral,KLRD1
7,2.68116677124447e-171,-1.85849363371591,0.209,0.58,3.10774040454947e-167,Neutral,PRF1
8,3.04776709727482e-167,-2.5478263816825,0.049,0.274,3.53266684245125e-163,Neutral,S1PR5
9,6.40057904852002e-155,-2.34480935466483,0.057,0.289,7.41891117513955e-151,Neutral,TRDC
10,1.08068143771386e-154,-1.66617376758558,0.248,0.622,1.25261785445413e-150,Neutral,GZMB
11,5.34776762947094e-132,-1.3981298830541,0.36,0.702,6.19859745931977e-128,Neutral,NKG7
12,2.02683474208159e-123,-1.54903144405024,0.251,0.578,2.34930414954677e-119,Neutral,CD247
13,1.4575867005216e-111,-1.55867185244811,0.262,0.566,1.68948874457459e-107,Neutral,FCGR3A
14,8.77151285514152e-110,-1.41780932490764,0.292,0.61,1.01670605503945e-105,Neutral,CTSW
15,8.89224921529062e-107,-1.69500844539969,0.213,0.511,1.03070060654434e-102,Neutral,GNLY
16,1.81937169918284e-106,-1.20265346946658,0.366,0.688,2.10883373652282e-102,Neutral,CST7
17,3.30500891173687e-101,-1.35493821805829,0.245,0.563,3.83083582959421e-97,Neutral,KLRB1
18,2.09400327212711e-99,-1.4937642316515,0.249,0.541,2.42715919272254e-95,Neutral,PLAC8
19,2.33232302819441e-97,-1.50613997658118,0.173,0.454,2.70339562198014e-93,Neutral,PYHIN1
20,2.31836367308825e-87,-1.29820691588087,0.234,0.53,2.68721533347659e-83,Neutral,GZMH
21,0,8.82304868263927,0.965,0.006,0,Positive,MFSD9
22,4.85713197740833e-09,0.650206470412378,0.287,0.17,5.62990167501399e-05,Positive,SAMD9L
23,8.31158148845296e-07,0.448249578674965,0.424,0.301,0.00963395410326582,Positive,SSNA1
24,2.06352970426117e-06,0.517201494835024,0.37,0.262,0.0239183728020912,Positive,APOBEC3G
25,3.55335810202744e-06,0.483495775791787,0.399,0.294,0.0411869737606001,Positive,SURF4
26,0,6.07294629746495,0.772,0.016,0,Negative,SH2D1B
27,0,5.31727868876429,0.391,0.011,0,Negative,NCR1
28,0,3.58361697101193,0.755,0.073,0,Negative,KLRF1
29,0,3.37999896115995,0.837,0.096,0,Negative,FGFBP2
30,0,3.15380541465433,0.765,0.127,0,Negative,SPON2
31,1.1125369292536e-308,2.55159438306147,0.893,0.187,1.11253692925933e-308,Negative,KLRD1
32,1.11253873397589e-308,3.333378777303,0.473,0.049,1.13345546526603e-308,Negative,S1PR5
33,1.11254235379163e-308,3.16567992429937,0.512,0.057,1.17541274949501e-308,Negative,TRDC
34,3.45465744925944e-298,2.55115251646843,0.874,0.209,4.00429344943661e-294,Negative,PRF1
35,2.75378958527778e-254,2.30803144924978,0.893,0.249,3.19191750829547e-250,Negative,GZMB
36,5.498473559814e-216,2.19898044028763,0.835,0.251,6.37328070318041e-212,Negative,CD247
37,2.52550362704837e-214,1.99949382284952,0.927,0.361,2.92731125411176e-210,Negative,NKG7
38,3.86781877325815e-192,2.00487908215674,0.845,0.245,4.48318874008353e-188,Negative,KLRB1
39,5.29534133795427e-192,2.21026247060995,0.799,0.263,6.13783014482279e-188,Negative,FCGR3A
40,3.73639101794388e-178,1.77258904002183,0.908,0.367,4.33085082889875e-174,Negative,CST7
41,4.48235878074229e-178,2.01214017696885,0.837,0.292,5.19550206275839e-174,Negative,CTSW
42,1.8465769135784e-175,3.15530403891221,0.316,0.038,2.14036730052873e-171,Negative,CD160
43,6.04034071814025e-173,2.18284989729052,0.68,0.173,7.00135892639636e-169,Negative,PYHIN1
44,9.34944534589029e-172,2.14170213412074,0.767,0.25,1.08369421004214e-167,Negative,PLAC8
45,2.54276197779599e-171,2.34544084848049,0.723,0.214,2.94731540846333e-167,Negative,GNLY
