"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
AIF1,0,-2.11631979064204,0.18,0.615,0,Neutral,AIF1
CSTA,0,-2.52609012363665,0.101,0.528,0,Neutral,CSTA
LST1,0,-1.91555748258587,0.184,0.599,0,Neutral,LST1
S100A9,0,-2.36403036807406,0.191,0.597,0,Neutral,S100A9
CD68,0,-2.03690064767514,0.168,0.567,0,Neutral,CD68
SPI1,0,-2.12571598475759,0.122,0.518,0,Neutral,SPI1
IFI30,0,-2.05668597649686,0.135,0.525,0,Neutral,IFI30
FCER1G,0,-1.57966367354518,0.28,0.666,0,Neutral,FCER1G
MS4A7,0,-2.17698132348893,0.106,0.481,0,Neutral,MS4A7
SERPINA1,0,-1.70036736726302,0.214,0.589,0,Neutral,SERPINA1
S100A8,0,-2.71218128147173,0.108,0.481,0,Neutral,S100A8
LYZ,0,-1.82396808716192,0.257,0.63,0,Neutral,LYZ
NCF2,0,-2.40312087208199,0.089,0.46,0,Neutral,NCF2
PLAUR,0,-1.73547170950303,0.224,0.593,0,Neutral,PLAUR
IGSF6,0,-2.24543606198272,0.091,0.457,0,Neutral,IGSF6
CYBB,0,-2.1274714778832,0.102,0.464,0,Neutral,CYBB
MNDA,0,-2.15981412103412,0.097,0.458,0,Neutral,MNDA
BCL2A1,0,-1.51909071376044,0.191,0.548,0,Neutral,BCL2A1
FCGR2A,0,-1.99787037458057,0.129,0.486,0,Neutral,FCGR2A
TYROBP,0,-1.39710795055605,0.333,0.69,0,Neutral,TYROBP
FPR1,0,-2.64470830491636,0.073,0.426,0,Neutral,FPR1
SLC11A1,0,-2.35253855370684,0.086,0.436,0,Neutral,SLC11A1
CD14,0,-2.48496438671538,0.09,0.44,0,Neutral,CD14
HCK,0,-2.4362008758493,0.082,0.429,0,Neutral,HCK
CLEC7A,0,-2.33238784494896,0.085,0.429,0,Neutral,CLEC7A
CFD,0,-2.16383701955662,0.117,0.453,0,Neutral,CFD
OLR1,0,-2.25623739735976,0.092,0.428,0,Neutral,OLR1
C5AR1,0,-2.82862362132405,0.064,0.397,0,Neutral,C5AR1
CST3,0,-1.18275817892656,0.387,0.719,0,Neutral,CST3
SLC7A7,0,-2.3330460297687,0.083,0.412,0,Neutral,SLC7A7
RAB31,0,-1.5880103325587,0.17,0.499,0,Neutral,RAB31
FCGRT,0,-1.44762121518451,0.248,0.575,0,Neutral,FCGRT
BRI3,0,-1.25690719625181,0.303,0.629,0,Neutral,BRI3
MS4A6A,0,-1.75064370920995,0.127,0.451,0,Neutral,MS4A6A
MAFB,0,-2.06688090182416,0.11,0.434,0,Neutral,MAFB
RNF130,0,-1.50147153657057,0.183,0.505,0,Neutral,RNF130
SNX10,0,-1.64919621754245,0.148,0.469,0,Neutral,SNX10
TGFBI,0,-1.81888341935979,0.125,0.445,0,Neutral,TGFBI
