"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-3.18843132017328,0.073,0.39,0,Neutral,IL1B
2,0,-2.91058755292064,0.041,0.271,0,Neutral,CLEC4E
3,0,-2.82862362132405,0.064,0.397,0,Neutral,C5AR1
4,0,-2.73636412994309,0.04,0.255,0,Neutral,MIR3945HG
5,0,-2.71218128147173,0.108,0.481,0,Neutral,S100A8
6,0,-2.64470830491636,0.073,0.426,0,Neutral,FPR1
7,0,-2.57885592980855,0.056,0.339,0,Neutral,FCGR1A
8,0,-2.56838556460929,0.061,0.368,0,Neutral,PILRA
9,0,-2.52609012363665,0.101,0.528,0,Neutral,CSTA
10,0,-2.51267807185416,0.064,0.357,0,Neutral,CD163
11,0,-2.48496438671538,0.09,0.44,0,Neutral,CD14
12,0,-2.47743639523337,0.065,0.329,0,Neutral,THBD
13,0,-2.45814858157483,0.052,0.268,0,Neutral,RETN
14,0,-2.45534255580063,0.049,0.275,0,Neutral,LILRB4
15,0,-2.4362008758493,0.082,0.429,0,Neutral,HCK
16,0,-2.40312087208199,0.089,0.46,0,Neutral,NCF2
17,0,-2.36403036807406,0.191,0.597,0,Neutral,S100A9
18,0,-2.35253855370684,0.086,0.436,0,Neutral,SLC11A1
19,0,-2.3330460297687,0.083,0.412,0,Neutral,SLC7A7
20,0,-2.33238784494896,0.085,0.429,0,Neutral,CLEC7A
21,0,1.77574066489805,0.975,0.479,0,Negative,TERF2IP
22,9.98356206336575e-188,0.60658086810629,0.933,0.781,1.15719467876472e-183,Negative,CXCR4
23,1.96907082736309e-176,-1.21849104896515,0.326,0.648,2.28234999599656e-172,Negative,TPM3
24,8.01830030877096e-171,-1.77737694265172,0.198,0.489,9.29401188789642e-167,Negative,CST3
25,1.78758411648571e-143,-2.64078714167106,0.056,0.325,2.07198874941858e-139,Negative,SERPINA1
26,3.38312181768483e-141,-1.79333000983214,0.158,0.444,3.92137649887848e-137,Negative,SOD2
27,5.57635417439584e-133,-1.32670618681429,0.222,0.521,6.46355212354221e-129,Negative,PRELID1
28,1.82087358004548e-128,-1.25985629466289,0.265,0.524,2.11057456663071e-124,Negative,NPC2
29,1.29175101109873e-127,-1.68326335471115,0.131,0.402,1.49726859696453e-123,Negative,BRI3
30,1.413586519808e-126,-1.74435057344714,0.139,0.401,1.63848813510945e-122,Negative,GRN
31,2.74668591498394e-126,-2.90528001390791,0.066,0.309,3.18368364405788e-122,Negative,S100A9
32,2.20923496949486e-123,-2.7508123318612,0.03,0.268,2.56072425314149e-119,Negative,RAB31
33,7.6642291930545e-123,-2.45679356325557,0.054,0.299,8.88360805766947e-119,Negative,ALDH2
34,4.41428048992013e-118,-1.84895539628815,0.095,0.346,5.11659251586643e-114,Negative,FCGRT
35,7.64446044460817e-113,-2.5649723125312,0.058,0.283,8.86069410134533e-109,Negative,CD68
36,8.66880612021811e-112,-1.71037931378444,0.117,0.362,1.00480131739448e-107,Negative,CTSZ
37,6.47946796333302e-111,-2.46551521206369,0.082,0.303,7.5103513162993e-107,Negative,AIF1
38,8.28004362583723e-106,-0.753207142413855,0.45,0.656,9.59739856670793e-102,Negative,CD63
39,1.85597143413043e-104,-1.62921686679285,0.09,0.329,2.15125648930059e-100,Negative,CD9
40,2.86662301622665e-103,-1.92760994687428,0.054,0.278,3.32270273810831e-99,Negative,RNF130
41,0,4.03245389219651,0.304,0.026,0,Positive,FCN1
42,0,3.70950331027995,0.522,0.068,0,Positive,IL1B
43,0,3.53277395174946,0.26,0.024,0,Positive,LILRB2
44,0,3.44151468262855,0.297,0.035,0,Positive,IL1RN
45,0,3.42214258058045,0.365,0.038,0,Positive,CLEC4E
46,0,3.34116895473922,0.533,0.06,0,Positive,C5AR1
47,0,3.33869871033467,0.296,0.029,0,Positive,FPR2
48,0,3.31775783733521,0.254,0.036,0,Positive,EREG
49,0,3.26106141377504,0.344,0.037,0,Positive,MIR3945HG
50,0,3.25985634394322,0.258,0.03,0,Positive,ASGR1
51,0,3.24046724226434,0.314,0.033,0,Positive,FCGR1B
52,0,3.17838101672436,0.574,0.067,0,Positive,FPR1
53,0,3.17602544972441,0.632,0.104,0,Positive,S100A8
54,0,3.16898416281691,0.261,0.03,0,Positive,LRRC25
55,0,3.11152093436466,0.457,0.052,0,Positive,FCGR1A
56,0,3.09662127700262,0.496,0.057,0,Positive,PILRA
57,0,3.04884081589311,0.708,0.094,0,Positive,CSTA
58,0,3.04164672229679,0.481,0.06,0,Positive,CD163
59,0,2.99709094732024,0.442,0.06,0,Positive,THBD
60,0,2.99577781080581,0.588,0.085,0,Positive,CD14
