"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-10.670590340802,0.003,0.873,0,Neutral,SAP25
2,6.82549383665237e-10,-0.545193879142941,0.167,0.271,7.91142990606377e-06,Neutral,HCK
3,2.03719074804839e-09,-0.489017929492142,0.247,0.365,2.36130779606288e-05,Neutral,CXCL16
4,7.02471944514962e-09,-0.45094337872152,0.281,0.398,8.14235230887293e-05,Neutral,ALDH2
5,8.89883978053824e-09,-0.481527902133054,0.211,0.318,0.000103146451896219,Neutral,THEMIS2
6,9.26431937856521e-09,-0.566838068196246,0.157,0.251,0.000107382725916949,Neutral,CD86
7,1.03029173784716e-08,-0.652405752565336,0.17,0.262,0.000119421115333864,Neutral,CLEC7A
8,3.01177157523926e-08,-0.494365427757339,0.201,0.302,0.000349094443285983,Neutral,CPM
9,3.79977265417878e-08,-0.540978033277599,0.181,0.275,0.000440431648345862,Neutral,IGSF6
10,6.51627004460189e-08,-0.360780677664914,0.373,0.493,0.000755300860869805,Neutral,PYCARD
11,6.66199180095106e-08,-0.618619105361286,0.164,0.251,0.000772191469648237,Neutral,IL18
12,6.70987281904946e-08,-0.503732347706195,0.198,0.296,0.000777741358456022,Neutral,MS4A7
13,7.34244203490304e-08,-0.416193495088197,0.264,0.371,0.000851062456265611,Neutral,CNDP2
14,1.73623353051396e-07,-0.439101137071308,0.209,0.302,0.00201246828521873,Neutral,RNPEP
15,2.01315995618257e-07,-0.304229519297775,0.346,0.467,0.00233345370521122,Neutral,PGLS
16,2.04011829463751e-07,-0.391941731612856,0.362,0.471,0.00236470111531434,Neutral,CTSH
17,2.35894113193005e-07,-0.492525748776691,0.206,0.298,0.00273424866602012,Neutral,MS4A6A
18,2.44576028967035e-07,-0.467298931961337,0.186,0.276,0.0028348807517569,Neutral,MNDA
19,2.66377046031686e-07,-0.444108013361736,0.216,0.313,0.00308757634055328,Neutral,FCGR2A
20,2.98056796933303e-07,-0.516606929592915,0.19,0.278,0.00345477633325391,Neutral,MAFB
21,0,10.8701770395669,1,0.003,0,Positive,SAP25
22,3.40833088616097e-14,0.617698266234789,0.406,0.247,3.95059633014918e-10,Positive,CXCL16
23,5.51658249974014e-14,0.684277429423109,0.302,0.167,6.3942707754488e-10,Positive,HCK
24,1.03241058044147e-13,0.592191310399854,0.442,0.281,1.19666710378971e-09,Positive,ALDH2
25,1.78319964627727e-12,0.477721279043393,0.546,0.379,2.06690670999998e-08,Positive,CEBPD
26,2.24758586101212e-12,0.703886572933796,0.279,0.157,2.60517677149915e-08,Positive,CD86
27,2.55422079827926e-12,0.474976319275496,0.542,0.373,2.96059732728549e-08,Positive,PYCARD
28,3.42159529909991e-12,0.680369096000206,0.25,0.139,3.9659711111867e-08,Positive,CTNNBIP1
29,3.44925031506122e-12,0.577007708528446,0.35,0.211,3.99802604018746e-08,Positive,THEMIS2
30,5.75976308640997e-12,0.564757043783742,0.335,0.201,6.6761413934578e-08,Positive,CPM
31,9.34173018685595e-12,0.625922621634564,0.377,0.243,1.08279994595847e-07,Positive,GSN
32,1.30148984989533e-11,0.725581170801865,0.288,0.169,1.50855688501367e-07,Positive,CLEC7A
33,1.39827560916462e-11,0.591372775428635,0.338,0.208,1.62074125858271e-07,Positive,RNPEP
34,1.61376867002055e-11,0.494441218877829,0.498,0.343,1.87051926542082e-07,Positive,CTSZ
35,1.67284343935944e-11,0.504901589777448,0.444,0.293,1.93899283056153e-07,Positive,SPINT2
36,1.76004796200905e-11,0.60021765497693,0.35,0.216,2.04007159276468e-07,Positive,FCGR2A
37,2.85946965767455e-11,0.704053039851424,0.279,0.164,3.31441128021057e-07,Positive,IL18
38,3.24369121483077e-11,0.562498101356874,0.381,0.25,3.75976248711035e-07,Positive,RAB31
39,3.43014255944497e-11,0.493017879644647,0.515,0.361,3.97587824065266e-07,Positive,CTSH
40,6.04403541607324e-11,0.627062707351366,0.325,0.198,7.00564145077049e-07,Positive,MS4A7
41,0,6.20542098404975,0.914,0.025,0,Negative,FXYD1
42,1.77687848614735e-12,0.993083167730381,0.814,0.698,2.05957985329339e-08,Negative,FXYD5
43,4.18108748446695e-12,0.455941569369486,0.9,0.957,4.84629850324564e-08,Negative,RPSA
44,5.33364271425445e-10,0.508770336442824,0.871,0.924,6.18222527009233e-06,Negative,EEF1D
45,2.44433342674364e-09,0.524912440981935,0.843,0.915,2.83322687493856e-05,Negative,TOMM7
46,1.31501475678569e-08,-1.78968153750427,0.086,0.466,0.00015242336045903,Negative,ERH
47,1.64242756947249e-07,0.630577088705723,0.886,0.821,0.00190373779577556,Negative,ZFP36L2
48,1.8631844431136e-07,-1.91237457061615,0.071,0.404,0.00215961708801297,Negative,RAB1A
49,2.58658830155591e-07,-1.30464210011099,0.1,0.45,0.00299811450033345,Negative,UCP2
50,2.70212695191948e-07,0.24006720765245,0.9,0.979,0.00313203534996987,Negative,HLA-A
51,2.71883348268159e-07,-1.31861766299543,0.114,0.461,0.00315139988977623,Negative,SRSF9
52,2.87372143054718e-07,0.452120668622284,0.786,0.877,0.00333093051014724,Negative,PABPC1
53,3.0064114679557e-07,1.09942947445114,0.6,0.37,0.00348473153250745,Negative,LTB
54,4.01239570396203e-07,-6.39782389145635,0,0.275,0.00465076786046239,Negative,CYB5R3
55,5.08269559818804e-07,0.321852305558556,0.857,0.915,0.00589135246785976,Negative,MYL6
56,6.54156537353298e-07,0.348437522188692,0.857,0.918,0.00758232842446207,Negative,HNRNPA1
57,7.04113722963906e-07,-1.22692014306338,0.114,0.461,0.00816138216287463,Negative,SRI
58,7.40029394904127e-07,-1.63355750225325,0.071,0.381,0.00857768071633374,Negative,SNRPD3
59,7.42454736165912e-07,-0.964652406100917,0.229,0.626,0.00860579284689909,Negative,ARF1
60,8.92601594150692e-07,0.410404179113042,0.857,0.92,0.0103461450778007,Negative,HLA-E
