"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-4.81434369600645,0.02,0.277,0,Neutral,SPAG4
2,0,-4.76972449210225,0.027,0.265,0,Neutral,DERL3
3,0,-4.63514680470443,0.013,0.317,0,Neutral,PPP1R1B
4,0,-4.52177529016267,0.025,0.425,0,Neutral,PEBP4
5,0,-4.45257663451175,0.014,0.258,0,Neutral,DMBT1
6,0,-4.26671997159534,0.03,0.575,0,Neutral,SLC22A31
7,0,-4.18917834924636,0.025,0.37,0,Neutral,ABCA3
8,0,-4.15540801575716,0.013,0.257,0,Neutral,SLC16A14
9,0,-4.10428487098061,0.021,0.286,0,Neutral,AZGP1
10,0,-4.06708474167551,0.014,0.255,0,Neutral,CRLF1
11,0,-4.06664591544865,0.024,0.429,0,Neutral,SMPDL3B
12,0,-4.05375141264246,0.054,0.364,0,Neutral,SFTPA1
13,0,-4.04008266329591,0.025,0.413,0,Neutral,ALPL
14,0,-4.01954892456722,0.014,0.283,0,Neutral,SLC22A3
15,0,-3.99790223184572,0.03,0.442,0,Neutral,LAMP3
16,0,-3.97659539219814,0.033,0.286,0,Neutral,SFTPD
17,0,-3.97212549006097,0.018,0.342,0,Neutral,CACNA2D2
18,0,-3.94124517117855,0.037,0.551,0,Neutral,IRX3
19,0,-3.90995505739087,0.022,0.374,0,Neutral,EEF1A2
20,0,3.89951922969309,0.715,0.116,0,Neutral,PTPRC
21,0,5.06682840055063,0.328,0.019,0,Positive,SPAG4
22,0,5.02331958121568,0.27,0.008,0,Positive,TAC4
23,0,5.01374395227782,0.31,0.027,0,Positive,DERL3
24,0,4.77265649236836,0.264,0.037,0,Positive,MZB1
25,0,4.51580794403058,0.265,0.01,0,Positive,GFRA3
26,0,4.43928788010749,0.255,0.01,0,Positive,TSPAN11
27,0,4.41701016322258,0.285,0.012,0,Positive,HSD17B13
28,0,4.40789272030134,0.304,0.013,0,Positive,SLC16A14
29,0,4.30614149122502,0.301,0.014,0,Positive,CRLF1
30,0,4.16243976193505,0.443,0.021,0,Positive,EEF1A2
31,0,4.10580003555747,0.483,0.025,0,Positive,SMPDL3B
32,0,4.09278295168991,0.321,0.016,0,Positive,LGSN
33,0,4.09030009800952,0.3,0.022,0,Positive,AZGP1
34,0,3.98262651518466,0.359,0.021,0,Positive,SPDEF
35,0,3.96433821589642,0.272,0.014,0,Positive,TFPI2
36,0,3.96401498231882,0.406,0.027,0,Positive,CIT
37,0,3.96309922586864,0.302,0.016,0,Positive,PPP1R1B
38,0,3.8740690993765,0.594,0.041,0,Positive,CMBL
39,0,3.84174265460785,0.266,0.013,0,Positive,ATP6V1C2
40,0,3.83715858310684,0.795,0.06,0,Positive,SDC1
41,0,6.99328747526203,0.583,0.01,0,Negative,CRTAC1
42,0,6.92678370742259,0.761,0.014,0,Negative,PLA2G1B
43,0,6.39197320871971,0.67,0.015,0,Negative,WIF1
44,0,6.20987188675797,0.996,0.062,0,Negative,SFTPA1
45,0,6.15643308726769,0.978,0.038,0,Negative,SFTPD
46,0,5.96044867543278,0.417,0.011,0,Negative,RASGRF1
47,0,5.93001865317229,0.891,0.037,0,Negative,PEBP4
48,0,5.8733181547257,0.991,0.075,0,Negative,SFTPA2
49,0,5.75264752134666,0.461,0.013,0,Negative,KCNJ15
50,0,5.67022203442504,0.474,0.015,0,Negative,GKN2
51,0,5.65448100839898,0.335,0.012,0,Negative,IL20RA
52,0,5.61133278634229,0.761,0.035,0,Negative,ABCA3
53,0,5.50104570838443,0.661,0.021,0,Negative,HSD17B6
54,0,5.41200717741993,0.813,0.044,0,Negative,LAMP3
55,0,5.38643956144435,0.461,0.018,0,Negative,P3H2
56,0,5.38174135859205,0.5,0.021,0,Negative,DMBT1
57,0,5.31044853465997,0.813,0.039,0,Negative,C4BPA
58,0,5.18263809436485,0.357,0.014,0,Negative,MACROD2
59,0,5.14353906528873,0.557,0.029,0,Negative,CACNA2D2
60,0,5.12496037256159,0.665,0.017,0,Negative,CLDN18
