"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FXYD1,4.17890876914139e-97,-7.21946600379988,0.019,0.914,4.84377315431178e-93
SAP25,9.19162570293719e-42,8.46157318943853,1,0,1.06540133522745e-37
ERH,2.43601084627534e-11,1.92319549500603,0.579,0.086,2.82358017191775e-07
SRSF9,4.28942449058278e-10,1.49621261060375,0.585,0.114,4.9718719270345e-06
UCP2,5.1499158112256e-10,1.47153249228678,0.569,0.1,5.96926741679159e-06
CEBPD,5.51451478965522e-10,1.71375278063712,0.546,0.086,6.39187409268937e-06
VASP,8.6729815038121e-10,2.09792808854326,0.531,0.086,1.00528528610686e-05
VAMP8,4.99955600659737e-09,1.14942487406267,0.725,0.257,5.79498536724701e-05
SRI,5.60262876219813e-09,1.28487122651023,0.567,0.114,6.49400699826385e-05
ZNHIT1,7.72161790522231e-09,1.305642432888,0.523,0.1,8.95012731394319e-05
ROMO1,1.08858233914513e-08,1.247706229825,0.521,0.1,0.000126177578930312
YWHAE,1.56909168683738e-08,1.0741871143296,0.55,0.114,0.000181873417421321
MRPL51,1.64779652608538e-08,1.64676580597699,0.506,0.1,0.000190996095338557
HSBP1,2.10231854615364e-08,1.63058649520491,0.548,0.129,0.000243679742684668
GRN,3.15335381709148e-08,1.77629310185194,0.521,0.143,0.000365505240939073
SEM1,3.33857704511297e-08,0.96330058456273,0.642,0.186,0.000386974465299044
ARF1,3.55429070347708e-08,1.00164191331421,0.727,0.229,0.000411977835440028
SIVA1,3.76373415940825e-08,1.12917884349256,0.521,0.114,0.000436254426417011
BRI3,7.59854595915181e-08,1.30467017362114,0.512,0.114,0.000880747462125286
ATP5MF,8.3295115702908e-08,1.15127345442552,0.646,0.214,0.000965473686112407
HNRNPM,1.02478296568521e-07,1.48393355429175,0.515,0.129,0.00118782593552572
MDH2,1.21897387446054e-07,1.21665711332439,0.546,0.143,0.00141291261788721
CAPZB,1.3102829498346e-07,0.998469269241652,0.696,0.229,0.00151874896715329
BST2,1.35112550069964e-07,1.0611157519877,0.642,0.2,0.00156608956786096
RBM25,1.39745839345725e-07,0.754267346571836,0.65,0.186,0.0016197940238563
KDELR2,1.54918362693386e-07,1.09694248782231,0.517,0.114,0.00179565874197903
VAPA,3.22362748908676e-07,0.94841824026888,0.658,0.2,0.00373650662260046
CTSC,3.43673323388142e-07,1.17577109005745,0.631,0.243,0.00398351749139195
ATP6V0B,3.7332921913626e-07,1.14929970327277,0.592,0.171,0.00432725897900838
CDC42,4.37233005450517e-07,0.822707634549148,0.717,0.271,0.00506796776617695
RNF7,5.18575094688929e-07,1.03550603968814,0.531,0.143,0.00601080392253938
CANX,5.58382561714301e-07,0.953662572610461,0.502,0.114,0.00647221227283046
PGAM1,6.52982217607235e-07,1.09015308218161,0.554,0.171,0.00756871688428546
SEC11A,6.7260846928491e-07,0.818006860605067,0.627,0.2,0.0077962047674814
NDUFA12,7.77211056251364e-07,1.18988150844019,0.519,0.143,0.00900865335300956
PDIA6,7.79890143455314e-07,1.13715452149593,0.515,0.143,0.00903970665279054
PSMA4,8.84368472227576e-07,0.811084367301097,0.55,0.157,0.0102507149615898
PYCARD,9.61113200636613e-07,1.27423228908434,0.542,0.157,0.011140263108579
PEBP1,9.62206822723752e-07,1.0812748246461,0.615,0.214,0.011152939282191
HNRNPF,9.78582406190764e-07,1.13814301256253,0.577,0.186,0.0113427486701571
SERPINB1,1.01916039270032e-06,1.27025708932937,0.515,0.143,0.0118130881117894
CTSB,1.10581338290755e-06,1.12299713976548,0.542,0.157,0.0128174829212814
GLUL,1.11747823223027e-06,1.11798044400949,0.577,0.214,0.012952690189781
HSP90B1,1.17771609483452e-06,0.967772815346828,0.646,0.214,0.0136509072552269
TUFM,1.48136483005251e-06,1.20836254275189,0.51,0.143,0.0171704997451386
ATP5F1B,1.50701878322119e-06,0.890321702600682,0.654,0.229,0.0174678547163168
YWHAH,1.98370528506695e-06,1.13132721948617,0.508,0.157,0.022993127959211
ATP5MC3,2.43515886165168e-06,0.899128038174738,0.698,0.257,0.0282259263654046
ANAPC11,2.48425276253832e-06,0.740872202398473,0.54,0.157,0.0287949737705817
DBI,2.52233664141822e-06,0.777138549229268,0.706,0.271,0.0292364040106786
CIAO2B,2.65599088960353e-06,0.750769274394485,0.554,0.171,0.0307855904013945
BSG,3.17461907285586e-06,0.869696257646647,0.565,0.186,0.0367970096734723
BCAP31,3.26929222899528e-06,0.847810214118518,0.529,0.157,0.0378943662262843
CAP1,3.6240398719576e-06,0.750411702899458,0.683,0.257,0.0420062461558606
MYDGF,3.73870778807915e-06,1.0000617147586,0.506,0.143,0.0433353619716254
DDT,3.8081274920324e-06,0.831627292101445,0.544,0.157,0.0441400057601475
P4HB,4.03659440467134e-06,0.811896822028542,0.583,0.186,0.0467881657445455
MGST3,4.36677638562387e-06,1.03346290428737,0.556,0.186,0.0506153050857662
LAMP1,4.41322999348982e-06,1.08638847045305,0.519,0.171,0.0511537488545405
RTN4,4.56948567918228e-06,0.734609651930415,0.629,0.229,0.0529649085074018
NDUFAB1,4.81435971358764e-06,0.873137584647409,0.5,0.143,0.0558032434401944
DDOST,5.35404228264876e-06,0.828762484174326,0.542,0.171,0.0620587040981818
LAMTOR1,5.60863645541135e-06,1.09094020034597,0.517,0.157,0.065009705154673
DSTN,5.76479289768186e-06,0.830458385017181,0.548,0.186,0.0668197144770304
GSTO1,5.96595802887416e-06,0.833837032708927,0.556,0.2,0.0691514195126804
CD164,7.10392577892538e-06,0.769936320257718,0.644,0.243,0.0823416037035241
ZNF706,7.17092234492671e-06,0.752725438730873,0.512,0.157,0.0831181609000455
AP2S1,7.2471787709476e-06,0.88874994846181,0.554,0.186,0.0840020491340536
RPN2,7.66621587433122e-06,0.801596151364581,0.527,0.157,0.0888591081993732
CTSH,8.48642811441669e-06,1.0653099919171,0.515,0.171,0.0983661882742038
SF3B6,8.7030800998109e-06,1.09943224331139,0.548,0.186,0.100877401436908
POMP,8.86582725951355e-06,0.722021880193763,0.669,0.271,0.102763803765022
CSTB,9.00286441513828e-06,0.761786404863456,0.692,0.3,0.104352201435868
UQCR10,9.39910815236519e-06,0.799307460036126,0.656,0.257,0.108945062594065
SSR3,9.67275223759723e-06,0.713301968447109,0.55,0.186,0.112116871185989
PSAP,1.36195864475307e-05,0.782677342395278,0.688,0.286,0.157864626513328
RNH1,1.37574748024425e-05,0.771845086390299,0.527,0.171,0.159462890435111
ANXA5,1.56378308021955e-05,0.737188670504533,0.6,0.214,0.181258096828249
CST3,6.01111764386443e-05,0.844305580474781,0.608,0.243,0.696748646100326
