"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRC1,0,10.3853735082414,1,0.005,0
APOC2,3.69022353598451e-246,-11.1395091151954,0,1,4.27733810055964e-242
APOC1,9.21004651980109e-180,-2.89103346216779,0.244,0.931,1.06753649211014e-175
C1QA,2.35768582797143e-174,-2.54713627154984,0.246,0.938,2.73279364320168e-170
CD68,1.04413164900111e-167,-2.61876724605949,0.208,0.92,1.21025299435719e-163
APOE,8.68458161500312e-167,-2.84217960153691,0.227,0.91,1.00662985499501e-162
C1QB,1.02887663368714e-166,-2.53788567995424,0.235,0.931,1.19257090610676e-162
GRN,4.63113955151303e-162,-2.28763554405799,0.282,0.926,5.36795385415875e-158
TYROBP,3.98384754736012e-157,-1.78820872820866,0.377,0.99,4.61767769214512e-153
C1QC,2.03026602346218e-155,-2.75083679133805,0.155,0.913,2.35328134779501e-151
TRAC,9.41243423506529e-151,5.05918909564427,0.534,0.059,1.09099525218642e-146
MSR1,2.97001749019837e-149,-3.71714805422275,0.083,0.821,3.44254727288893e-145
CAPG,2.72481575395377e-148,-1.93659756517923,0.32,0.95,3.15833394040782e-144
FBP1,5.22437650815504e-148,-2.76829524107733,0.186,0.873,6.0555748106025e-144
CD2,3.02032881832594e-147,4.42155637354698,0.587,0.093,3.50086313332159e-143
CTSD,7.33594866687011e-147,-1.59197057225675,0.496,0.951,8.50309809976915e-143
MRC1,9.31351833207732e-147,-3.00867943406999,0.119,0.858,1.07952990987108e-142
GPNMB,5.44718192287799e-146,-3.19453683543644,0.095,0.847,6.31382856680788e-142
CXCL16,3.02154335967474e-145,-2.78893782031388,0.153,0.869,3.50227090819899e-141
CSTB,7.58849844988461e-144,-1.38339539443501,0.583,0.965,8.79582855326125e-140
GLUL,2.28392547380343e-143,-1.78041286567714,0.379,0.947,2.64729801668556e-139
CD9,3.85626423327112e-142,-2.67657699335961,0.182,0.87,4.46979587278456e-138
S100A11,1.07339952909742e-140,-1.02472111420493,0.72,0.994,1.24417739417682e-136
CST3,1.34182434693384e-140,-1.71476420175218,0.377,0.979,1.55530860053101e-136
FCGRT,1.61299947974597e-140,-2.22191893604516,0.237,0.902,1.86962769697355e-136
ACP5,8.03746324546023e-140,-2.60671649112422,0.212,0.853,9.31622364781295e-136
SERPINA1,8.89750756840684e-140,-2.4694474197549,0.203,0.881,1.03131010225404e-135
FCER1G,1.07963459669615e-138,-1.80354779907274,0.341,0.98,1.2514044610305e-134
ALDH2,1.28396431457367e-138,-2.76588519232302,0.169,0.843,1.48824303702234e-134
MS4A7,5.12843048709412e-138,-2.48713559403534,0.178,0.878,5.94436377759079e-134
CTSL,9.81220289606707e-138,-2.83339394834237,0.138,0.849,1.13733243768313e-133
LGALS3,1.17855664388785e-137,-1.80192713146672,0.405,0.911,1.36606500593041e-133
SPI1,8.01079122552454e-137,-2.34642145040594,0.191,0.905,9.28530810950549e-133
VSIG4,1.38107960936704e-136,-2.98753624325651,0.121,0.836,1.60080937521734e-132
CTSZ,6.51188599709123e-136,-2.09748047608478,0.267,0.911,7.54792705922844e-132
DAB2,3.70478065921446e-134,-3.46620092970483,0.068,0.788,4.29421126209548e-130
CD63,1.55021473555771e-132,-1.21406427247324,0.576,0.977,1.79685389998494e-128
ALOX5,2.75085310471786e-131,-2.96338096792342,0.108,0.819,3.18851383367847e-127
HNMT,2.23548573644939e-130,-2.93855549976636,0.097,0.813,2.59115151711849e-126
MS4A4A,8.33399613236139e-128,-2.72725567000333,0.121,0.826,9.65993491702008e-124
CFD,5.49786078015633e-127,-3.19145722147281,0.087,0.785,6.37257043027921e-123
LYZ,9.20983910406612e-127,-1.84442753931619,0.339,0.93,1.0675124505523e-122
NUPR1,2.00490349255217e-126,-3.84910341656306,0.076,0.747,2.32388363821722e-122
TSPO,4.5757072392007e-125,-1.27256868274134,0.542,0.954,5.30370226095753e-121
BRI3,1.61048203904459e-124,-1.89521197965911,0.292,0.919,1.86670973145659e-120
OLR1,1.86778259905378e-124,-2.50145898089573,0.144,0.84,2.16494681056324e-120
CTSB,2.03825722912833e-124,-1.64984745113746,0.383,0.961,2.36254395428265e-120
PSAP,1.20921762292333e-123,-1.34576019437469,0.517,0.962,1.40160414673043e-119
TREM1,1.420325584719e-123,-2.95061089948922,0.112,0.787,1.64629938524779e-119
MARCO,5.7909222972609e-123,-3.3756232728578,0.087,0.756,6.71225803475511e-119
CSTA,1.23421173313712e-122,-2.34314642766863,0.157,0.867,1.43057481987923e-118
CD81,2.85505836066064e-122,-2.27333366672866,0.199,0.868,3.30929814584174e-118
SERPING1,7.05687572758614e-122,-3.75379278216737,0.066,0.733,8.17962465584509e-118
CTSS,9.8228069104925e-121,-1.44637877083004,0.453,0.942,1.13856154899519e-116
AIF1,7.02746065952051e-120,-1.82911164201398,0.269,0.95,8.14552965045023e-116
