"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NELL2,9.31705823725289e-12,-3.32715450818696,0.036,0.333,1.41628602264481e-07,Neutral,NELL2
ZNF331,3.74570300939933e-06,-2.84044178716077,0.182,0.556,0.0569384314458792,Neutral,ZNF331
RP11-425L10.1,1.06979574084922e-05,-1.64935823128444,0.486,0.833,0.16261965056649,Neutral,RP11-425L10.1
NME4,3.16291667276331e-05,-2.42513187731349,0.225,0.556,0.480794963426751,Neutral,NME4
FBXL20,3.3016494460552e-05,-2.24450065809835,0.055,0.278,0.501883732294852,Neutral,FBXL20
MYL12A,0.000166366904921757,2.79415602656414,0.63,0.222,1,Neutral,MYL12A
ANXA5,0.000463979550577808,3.89539038693019,0.489,0.056,1,Neutral,ANXA5
ENO1,0.00049998575804731,2.09226087530842,0.661,0.222,1,Neutral,ENO1
PUS7L,0.000581285181955734,-2.94881442528124,0.076,0.278,1,Neutral,PUS7L
S100A6,0.000723739259021424,2.18447492411295,0.858,0.667,1,Neutral,S100A6
PKM,0.000950446036199159,2.39689639048373,0.592,0.222,1,Neutral,PKM
UQCRH,0.00116551207470126,1.65593281763292,0.677,0.278,1,Neutral,UQCRH
CLIC1,0.00169735724077284,0.720938599853773,0.702,0.278,1,Neutral,CLIC1
GSTP1,0.00224892368872863,2.02784754711247,0.594,0.222,1,Neutral,GSTP1
PAG1,0.00225744644339406,-1.52660660873462,0.108,0.333,1,Neutral,PAG1
TXN,0.00234774865371459,1.93471905309885,0.724,0.389,1,Neutral,TXN
IQGAP1,0.00248839443963599,2.37737521626988,0.49,0.111,1,Neutral,IQGAP1
GPX1,0.00257127873868059,1.11270208117493,0.585,0.222,1,Neutral,GPX1
BAX,0.00266565971220881,3.9963849637614,0.347,0,1,Neutral,BAX
CEBPD,0.00276765576411361,3.7292139291619,0.412,0.056,1,Neutral,CEBPD
CD63,0.00280694455694587,1.77286221493375,0.689,0.389,1,Neutral,CD63
DYNLRB1,0.00283117064479198,1.82377299294373,0.499,0.111,1,Neutral,DYNLRB1
TNFRSF12A,0.00313139795536144,4.15237511711001,0.392,0.056,1,Neutral,TNFRSF12A
ATF4,0.00339643524943024,1.53208190362233,0.67,0.333,1,Neutral,ATF4
BASP1,0.00340110010809111,5.03412002584285,0.335,0,1,Neutral,BASP1
CAPZB,0.00352006234675235,1.95926752385086,0.547,0.222,1,Neutral,CAPZB
PFDN2,0.00355267868492444,1.57536570849885,0.521,0.111,1,Neutral,PFDN2
NDUFA11,0.0037585586510914,2.17541014653529,0.462,0.111,1,Neutral,NDUFA11
AURKAIP1,0.00388969521415358,1.98498581168834,0.504,0.167,1,Neutral,AURKAIP1
LGALS3,0.00390619246072838,1.95442485733807,0.608,0.278,1,Neutral,LGALS3
HEBP2,0.00393576642754181,3.5182458733193,0.391,0.056,1,Neutral,HEBP2
PSMC3,0.00397781247855408,3.21413410548787,0.385,0.056,1,Neutral,PSMC3
ALDOA,0.00442451845040205,1.01941956392992,0.758,0.444,1,Neutral,ALDOA
FAM96B,0.00443423510482432,1.83737627296432,0.419,0.056,1,Neutral,FAM96B
FUBP1,0.00490498415791539,-1.79631493791052,0.221,0.444,1,Neutral,FUBP1
RBX1,0.00495792329338954,2.23286400209025,0.485,0.167,1,Neutral,RBX1
USF2,0.00497156349497676,3.85335885932329,0.315,0,1,Neutral,USF2
SH3GLB1,0.00533581020508284,2.53302694091726,0.435,0.111,1,Neutral,SH3GLB1
PRDX2,0.00553693836457242,3.79816163381973,0.309,0,1,Neutral,PRDX2
RNF181,0.00616389648332258,1.76950357649627,0.466,0.111,1,Neutral,RNF181
CXCR4,0.00638976113934595,-0.877523832944512,0.539,0.833,1,Neutral,CXCR4
ARL6IP1,0.00668229314092704,-0.949145431185695,0.49,0.722,1,Neutral,ARL6IP1
IER3IP1,0.00690119960369253,3.50315034723062,0.297,0,1,Neutral,IER3IP1
SEP15,0.00706524621340195,1.21376799623053,0.488,0.111,1,Neutral,SEP15
