"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TYROBP,0,-5.65367152043248,0.085,0.843,0
FCER1G,0,-6.333890034797,0.066,0.813,0
HLA-DQA1,0,-6.35192588497385,0.075,0.78,0
LYZ,0,-8.16596885352216,0.037,0.709,0
HLA-DPA1,0,-5.36710104215411,0.196,0.853,0
HLA-DPB1,0,-5.04800330504136,0.229,0.873,0
AIF1,0,-7.26945678140061,0.02,0.644,0
HLA-DRA,0,-5.62970420921164,0.274,0.889,0
HLA-DRB1,0,-5.09009343409895,0.292,0.889,0
FCGR2A,0,-7.46040821724909,0.007,0.594,0
C1QC,0,-9.2401224810194,0.012,0.598,0
HLA-DQB1,0,-4.16020838015541,0.248,0.833,0
C1QA,0,-7.6956929462689,0.032,0.614,0
SPI1,0,-6.00039271295914,0.018,0.597,0
C1QB,0,-8.6953251544585,0.025,0.603,0
CCL3,0,-5.97715357941407,0.122,0.689,0
LAPTM5,0,-2.11478998309484,0.357,0.923,0
HLA-DMA,0,-4.35782777675254,0.157,0.717,0
CTSS,0,-3.72718769581099,0.217,0.774,0
CD83,0,-3.77823140540772,0.156,0.707,0
SRGN,0,-1.77004548362656,0.472,0.973,0
S100A16,0,5.13548368402415,0.545,0.05,0
NINJ1,0,-2.64696770833862,0.339,0.818,0
PERP,0,4.37985558118033,0.535,0.061,0
CD74,0,-4.49214587302063,0.586,0.944,0
HLA-DRB5,1.1125369292536e-308,-5.24774025614981,0.076,0.641,1.11253692930617e-308
CTSH,1.11254262517278e-308,-3.71944869970418,0.18,0.689,1.19912059676974e-308
DNAJB1,1.11320064020045e-308,3.06596325329657,0.769,0.316,2.01781402062436e-307
C15orf48,1.27398501416639e-303,-3.82196770910461,0.156,0.682,1.93658462003432e-299
APOC1,2.37677430716209e-300,-7.54105423345495,0.064,0.599,3.6129346243171e-296
LST1,4.48024168231385e-296,-5.90378360060788,0.017,0.563,6.81041538128529e-292
TYMP,4.12676203549306e-295,-2.89252568345304,0.303,0.756,6.27309097015299e-291
PLEK,3.58188778551189e-285,-4.44638007796638,0.026,0.57,5.44482762275663e-281
S100A13,1.83627291887915e-280,4.24595282461991,0.557,0.147,2.79131846398819e-276
GPR183,2.90415409365741e-278,-2.52466327233183,0.15,0.719,4.41460463776863e-274
CST3,1.20198718620983e-271,-2.7944615993479,0.541,0.809,1.82714072175756e-267
LILRB4,1.18221627067712e-270,-8.31653951659316,0.003,0.513,1.79708695305629e-266
ITGB2,9.64854677246461e-270,-3.68838488973406,0.074,0.597,1.46667559488235e-265
APOE,6.69214422517028e-264,-5.87767836644392,0.267,0.671,1.01727284366813e-259
HLA-DRB6,6.53577239161425e-258,-5.07292814012637,0.055,0.55,9.93502761249282e-254
BCL2A1,1.86222830849357e-257,-4.11777570709074,0.063,0.567,2.83077325174107e-253
MDK,2.29584956379416e-247,3.98268679000346,0.52,0.133,3.4899209219235e-243
CD14,1.30901714632863e-244,-5.90938547011592,0.062,0.533,1.98983696413415e-240
TM4SF1,1.20572338254215e-239,4.40869512757093,0.556,0.183,1.83282011380232e-235
EMP3,2.18276706283161e-238,-1.6148344420906,0.524,0.882,3.31802421221032e-234
FCGRT,1.48527840184386e-236,-3.24006037940515,0.277,0.662,2.25777169864285e-232
OCIAD2,8.61625914671144e-234,2.81481166649493,0.569,0.163,1.30975755289161e-229
OGFRL1,1.57778143552208e-232,-3.91412334324487,0.155,0.587,2.39838556013712e-228
ALOX5AP,3.10880817356056e-230,-2.5266236885378,0.175,0.67,4.72569930462941e-226
SPP1,8.38876934515868e-230,-8.33723428111197,0.061,0.51,1.27517682815757e-225
FNIP2,2.03401689791405e-224,-3.69184515714396,0.096,0.549,3.09190908651915e-220
IL1B,3.16818157798735e-224,-5.39230181693546,0.116,0.555,4.81595281669858e-220
GRN,3.56706303198462e-219,-2.57999171566811,0.418,0.717,5.42229251491983e-215
CXCL8,2.15001056496875e-218,-3.46438599011193,0.401,0.728,3.268231059809e-214
ZEB2,2.31021431531108e-218,-2.17196597304154,0.168,0.656,3.51175678070438e-214
RILPL2,1.09256256612113e-213,-2.18479605747943,0.187,0.649,1.66080435676073e-209
EREG,3.32756796325757e-210,-5.13103623999895,0.078,0.506,5.05823606094783e-206
SOD2,4.27804191462546e-209,-2.48063681409139,0.596,0.847,6.50305151442216e-205
ASAH1,9.13313818130819e-204,-2.48044917572355,0.363,0.684,1.38832833494066e-199
RNASET2,1.39505103863591e-195,-2.40026609041385,0.408,0.711,2.12061708383045e-191
STX11,4.03339634405849e-195,-2.71515427783713,0.092,0.53,6.13116578260332e-191
SERPINA1,9.68633332720987e-194,-3.43088170026956,0.123,0.526,1.47241952906917e-189
UPP1,5.79594167063346e-193,-1.85069288480967,0.413,0.739,8.81041093352992e-189
TAF9,3.90067618456518e-188,2.54261201303544,0.611,0.227,5.92941786815753e-184
CTSZ,8.16276601813815e-185,-2.59109786903793,0.349,0.659,1.24082206241718e-180
HIF1A,5.27790204268904e-184,-2.18162060310817,0.4,0.696,8.0229388950916e-180
SLPI,1.55171312147255e-183,5.40268248852476,0.517,0.208,2.35875911595043e-179
RGS1,8.98755743307134e-182,-1.8640000152636,0.203,0.662,1.36619860540117e-177
FABP5,1.01304724022928e-181,-2.62547562577134,0.324,0.674,1.53993310987253e-177
GSTO1,5.31995170180353e-181,-1.58782837459676,0.407,0.74,8.08685858191154e-177
CXCL16,2.12944810725494e-177,-2.61662544932091,0.318,0.631,3.23697406783824e-173
BASP1,7.7779862504005e-176,-2.06054210314919,0.273,0.662,1.18233168992338e-171
CTSL,1.78465453938456e-175,-2.83361567095863,0.289,0.64,2.71285336531847e-171
LSP1,1.24905025701769e-172,-2.11197886024138,0.126,0.557,1.89868129569259e-168
MAP3K8,2.59225534426442e-172,-2.04594615912443,0.427,0.715,3.94048734881635e-168
CREG1,3.87490990251255e-171,-2.68010697114174,0.357,0.652,5.89025054280933e-167
ANXA5,1.04351427937487e-166,-1.42758483218111,0.504,0.793,1.58624605607774e-162
LGALS1,8.15250188668399e-166,-0.733979097397085,0.63,0.89,1.23926181179483e-161
REXO2,2.48431458253161e-165,1.95153021953038,0.507,0.159,3.7764065969063e-161
PDE4DIP,1.51563907934036e-162,-2.87983867019865,0.187,0.539,2.30392296450528e-158
CAPG,9.10217729572846e-158,-2.48459045538822,0.381,0.644,1.38362197072368e-153
C12orf57,2.23171323589149e-154,1.41996225402497,0.673,0.331,3.39242728987866e-150
ETS2,2.3809562368612e-152,-2.16206096573034,0.342,0.634,3.61929157565271e-148
GPSM3,2.0563808311432e-151,-1.46226861005657,0.146,0.575,3.12590450142078e-147
RNF130,9.96775082698351e-150,-2.58459098144646,0.258,0.556,1.51519780320976e-145
SAMSN1,1.62732839847651e-148,-1.31230157554211,0.183,0.63,2.47370189852415e-144
COTL1,4.21795123389552e-142,-1.42369508851238,0.478,0.744,6.41170767064459e-138
RAB31,1.46760148566492e-136,-2.04384060694121,0.214,0.546,2.23090101835924e-132
LCP1,5.95022907415783e-135,-1.36770560296815,0.137,0.533,9.04494321562731e-131
OPTN,3.56496077186478e-132,1.39849323349205,0.506,0.172,5.41909686931165e-128
CD53,2.13103649160366e-131,-1.05920940593153,0.2,0.641,3.23938857088673e-127
GMFG,4.47996581681792e-130,-1.15937015735671,0.165,0.585,6.80999603814492e-126
