"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CST3,0,-1.52130963646217,0.444,0.945,0,Neutral,CST3
PLAUR,0,-1.44654087253463,0.394,0.867,0,Neutral,PLAUR
GRN,0,-1.97685098098618,0.316,0.785,0,Neutral,GRN
CTSB,0,-1.82737012635596,0.405,0.872,0,Neutral,CTSB
MARCKS,0,-1.57016547833244,0.301,0.754,0,Neutral,MARCKS
IFITM3,0,-1.29516184719177,0.419,0.856,0,Neutral,IFITM3
MAFB,0,-1.67992019438019,0.227,0.653,0,Neutral,MAFB
IER3,0,-0.846061889401693,0.433,0.853,0,Neutral,IER3
FCGRT,0,-1.86045262298247,0.278,0.684,0,Neutral,FCGRT
NPC2,0,-1.39839612224079,0.56,0.963,0,Neutral,NPC2
TMEM176B,0,-1.98508900792719,0.177,0.571,0,Neutral,TMEM176B
PLTP,0,-2.0632355500186,0.193,0.581,0,Neutral,PLTP
BASP1,0,-1.06980242038487,0.311,0.692,0,Neutral,BASP1
CTSL,0,-1.72313664580149,0.281,0.66,0,Neutral,CTSL
PSAP,0,-1.65302368337523,0.557,0.936,0,Neutral,PSAP
TPM4,0,-0.915529776519719,0.461,0.833,0,Neutral,TPM4
CTSD,0,-1.60848864055833,0.419,0.789,0,Neutral,CTSD
CTSZ,0,-1.68505343112831,0.272,0.642,0,Neutral,CTSZ
GPX1,0,-1.0970537223828,0.562,0.931,0,Neutral,GPX1
PLD3,0,-1.63318159245815,0.262,0.631,0,Neutral,PLD3
FN1,0,-2.23795332211491,0.187,0.555,0,Neutral,FN1
LGALS3BP,0,-1.34516833538419,0.304,0.672,0,Neutral,LGALS3BP
IFI27,0,-1.42339286041848,0.336,0.704,0,Neutral,IFI27
NRP2,0,-1.19113123644815,0.234,0.599,0,Neutral,NRP2
APOE,0,-2.14406979225371,0.293,0.657,0,Neutral,APOE
ABL2,0,-1.13270571695211,0.273,0.633,0,Neutral,ABL2
ATOX1,0,-1.05324120122205,0.355,0.715,0,Neutral,ATOX1
CTSH,0,-1.96206368634846,0.219,0.578,0,Neutral,CTSH
ASAH1,0,-1.30811649300926,0.303,0.661,0,Neutral,ASAH1
RAB31,0,-1.65720951330261,0.193,0.55,0,Neutral,RAB31
ETS2,0,-1.41414602819554,0.285,0.64,0,Neutral,ETS2
TGFBI,0,-1.48388311611387,0.148,0.501,0,Neutral,TGFBI
ICAM1,0,-1.10116361435754,0.291,0.639,0,Neutral,ICAM1
CREG1,0,-1.47792798635077,0.293,0.638,0,Neutral,CREG1
CAPG,0,-1.53586905772568,0.289,0.634,0,Neutral,CAPG
CXCL16,0,-1.89037437584445,0.213,0.554,0,Neutral,CXCL16
IFI6,0,-1.27599422178199,0.397,0.738,0,Neutral,IFI6
TMEM176A,0,-1.95334065837581,0.145,0.485,0,Neutral,TMEM176A
GRINA,0,-1.21562292571747,0.298,0.637,0,Neutral,GRINA
GPNMB,0,-1.73552614132296,0.192,0.526,0,Neutral,GPNMB
KLF4,0,-1.11508467884082,0.285,0.619,0,Neutral,KLF4
SERPING1,0,-1.19554755298372,0.251,0.575,0,Neutral,SERPING1
TIMP2,0,-1.79905636265309,0.197,0.52,0,Neutral,TIMP2
IL1B,0,-2.24169542428168,0.149,0.469,0,Neutral,IL1B
CD63,0,-1.12301219461064,0.669,0.989,0,Neutral,CD63
FCER1G,0,-2.07464381607748,0.196,0.514,0,Neutral,FCER1G
CD81,0,-1.29021665232688,0.295,0.613,0,Neutral,CD81
NUCB1,0,-1.1158666655904,0.259,0.577,0,Neutral,NUCB1
PMP22,0,-1.39905850544105,0.192,0.506,0,Neutral,PMP22
C1QC,0,-2.73309317787973,0.093,0.406,0,Neutral,C1QC
C1QA,0,-2.58590242729168,0.11,0.423,0,Neutral,C1QA
ADM,0,-1.58458996276346,0.215,0.524,0,Neutral,ADM
LYZ,0,-2.2311822909456,0.126,0.435,0,Neutral,LYZ
C1QB,0,-2.6284854709553,0.103,0.411,0,Neutral,C1QB
C15orf48,0,-1.68100170550306,0.175,0.475,0,Neutral,C15orf48
SERPINF1,0,-1.78699280867042,0.171,0.471,0,Neutral,SERPINF1
FCGR2A,0,-2.28977068079948,0.092,0.39,0,Neutral,FCGR2A
TYROBP,0,-1.79573388744624,0.23,0.528,0,Neutral,TYROBP
LGMN,0,-1.57818469178461,0.218,0.511,0,Neutral,LGMN
CD14,0,-2.46107196747222,0.102,0.387,0,Neutral,CD14
AIF1,0,-2.12614751302655,0.108,0.393,0,Neutral,AIF1
SERPINA1,0,-2.18595604755218,0.113,0.389,0,Neutral,SERPINA1
