"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
S100A16,0,4.30409378290701,0.893,0.067,0,Negative,S100A16
S100A13,0,3.9990516965786,0.906,0.102,0,Negative,S100A13
RND3,0,4.39771359613798,0.835,0.057,0,Negative,RND3
MDK,0,3.85379214046428,0.856,0.09,0,Negative,MDK
EMP1,0,3.44965217858301,0.906,0.157,0,Negative,EMP1
TNFRSF12A,0,3.1306829456502,0.919,0.177,0,Negative,TNFRSF12A
TM4SF1,0,3.85949978038572,0.871,0.139,0,Negative,TM4SF1
LAPTM5,0,-7.03722304868796,0.059,0.777,0,Negative,LAPTM5
SRGN,0,-5.7972374021598,0.175,0.889,0,Negative,SRGN
CNN3,0,3.89726007337238,0.741,0.042,0,Negative,CNN3
SOX4,0,2.81693772556203,0.819,0.12,0,Negative,SOX4
PLK2,0,3.65567337869811,0.772,0.074,0,Negative,PLK2
LGALS3BP,0,2.91117493607107,0.823,0.125,0,Negative,LGALS3BP
PHLDA2,0,2.79409689973926,0.794,0.127,0,Negative,PHLDA2
IFITM3,0,2.78125346033732,0.92,0.254,0,Negative,IFITM3
TSC22D1,0,2.709948341174,0.836,0.173,0,Negative,TSC22D1
CALD1,0,4.50700607870622,0.697,0.039,0,Negative,CALD1
NECTIN2,0,2.53288399874384,0.783,0.126,0,Negative,NECTIN2
MFGE8,0,3.75867418274358,0.706,0.057,0,Negative,MFGE8
RAB13,0,1.85930470889673,0.819,0.171,0,Negative,RAB13
BEX3,0,2.89229485363922,0.735,0.089,0,Negative,BEX3
YBX3,0,1.79105524837213,0.963,0.321,0,Negative,YBX3
CXCR4,0,-6.8855917852562,0.085,0.724,0,Negative,CXCR4
PTMS,0,1.93850226768549,0.816,0.177,0,Negative,PTMS
IGFBP2,0,4.15906238942264,0.699,0.068,0,Negative,IGFBP2
PHPT1,0,1.95159632989158,0.823,0.197,0,Negative,PHPT1
GADD45A,0,2.19766037664466,0.899,0.275,0,Negative,GADD45A
PSMB5,0,1.89836450254124,0.822,0.2,0,Negative,PSMB5
MAFF,0,1.47484968305645,0.847,0.23,0,Negative,MAFF
SERPING1,0,3.67220018854464,0.707,0.093,0,Negative,SERPING1
DSTN,0,1.52579075037419,0.94,0.326,0,Negative,DSTN
RARRES2,0,4.86330979294414,0.653,0.04,0,Negative,RARRES2
CLU,0,3.52573878963575,0.712,0.101,0,Negative,CLU
TMEM14C,0,1.87054190832677,0.791,0.181,0,Negative,TMEM14C
TPM4,0,1.63702247678265,0.918,0.308,0,Negative,TPM4
PLAUR,0,1.06010686162548,0.856,0.247,0,Negative,PLAUR
RHOC,0,1.6460435739736,0.861,0.253,0,Negative,RHOC
CD151,0,2.3981466549158,0.732,0.126,0,Negative,CD151
TCEAL9,0,3.32006788868359,0.672,0.067,0,Negative,TCEAL9
FHL2,0,4.2001308783359,0.636,0.032,0,Negative,FHL2
IER3,0,2.19411870145998,0.887,0.285,0,Negative,IER3
RCN1,0,3.4315487827535,0.669,0.067,0,Negative,RCN1
TPM1,0,3.32902993459437,0.661,0.059,0,Negative,TPM1
SERPINH1,0,4.10675043262498,0.641,0.041,0,Negative,SERPINH1
CYR61,0,4.55342432410036,0.648,0.05,0,Negative,CYR61
KRT8,0,3.78913760002264,0.706,0.109,0,Negative,KRT8
CD59,0,1.88653297389275,0.878,0.282,0,Negative,CD59
IGFBP7,0,4.60229238678792,0.659,0.066,0,Negative,IGFBP7
APP,0,2.31604625252301,0.684,0.098,0,Negative,APP
MLF1,0,3.19730963971967,0.637,0.051,0,Negative,MLF1
CTTN,0,3.81668152876183,0.621,0.035,0,Negative,CTTN
PTRF,0,4.33725047350773,0.615,0.029,0,Negative,PTRF
NBL1,0,2.80989699000671,0.713,0.129,0,Negative,NBL1
GPRC5A,0,4.03100814264691,0.631,0.047,0,Negative,GPRC5A
LRRC59,0,1.66474828561382,0.792,0.209,0,Negative,LRRC59
KRT18,0,3.82833625185533,0.699,0.116,0,Negative,KRT18
PRDX4,0,1.86941987271162,0.733,0.151,0,Negative,PRDX4
FOSL1,0,3.41621888471713,0.644,0.063,0,Negative,FOSL1
LAPTM4B,0,3.09232994683623,0.658,0.079,0,Negative,LAPTM4B
MYL9,0,4.15483592608428,0.616,0.037,0,Negative,MYL9
VKORC1,0,1.71014195668255,0.77,0.193,0,Negative,VKORC1
TIMP3,0,4.93918761530357,0.601,0.028,0,Negative,TIMP3
NME1,0,1.7713941556606,0.722,0.15,0,Negative,NME1
HSPB1,0,1.66262487837151,0.886,0.316,0,Negative,HSPB1
YWHAE,0,1.22515781260412,0.917,0.347,0,Negative,YWHAE
CTGF,0,4.90063242226103,0.609,0.039,0,Negative,CTGF
HCFC1R1,0,2.59010450669637,0.705,0.138,0,Negative,HCFC1R1
HDLBP,0,1.67618605741797,0.715,0.15,0,Negative,HDLBP
ZNF593,0,1.89084174139923,0.685,0.121,0,Negative,ZNF593
IFI27,0,2.01248585438073,0.759,0.196,0,Negative,IFI27
CALU,0,2.04630731668718,0.693,0.133,0,Negative,CALU
ARF4,0,1.30571315770784,0.858,0.299,0,Negative,ARF4
C1R,0,5.24147386287207,0.589,0.03,0,Negative,C1R
HES4,0,2.60161138221064,0.651,0.093,0,Negative,HES4
SPARC,0,5.03391148154936,0.635,0.077,0,Negative,SPARC
PEA15,0,1.48184903338908,0.739,0.183,0,Negative,PEA15
EMP2,0,3.03901576163776,0.618,0.062,0,Negative,EMP2
MT1E,0,3.30096580855613,0.687,0.133,0,Negative,MT1E
PDLIM1,0,3.08951900509764,0.622,0.069,0,Negative,PDLIM1
ITGB1,0,1.13449643744005,0.818,0.266,0,Negative,ITGB1
LMO4,0,1.86832943396731,0.702,0.152,0,Negative,LMO4
FAM3C,0,1.64333962019511,0.684,0.135,0,Negative,FAM3C
CAMTA1,0,1.00502741343923,0.818,0.269,0,Negative,CAMTA1
C11orf96,0,5.20131625260583,0.598,0.051,0,Negative,C11orf96
NENF,0,1.11571150238178,0.808,0.265,0,Negative,NENF
BAG3,0,2.28614720696552,0.639,0.096,0,Negative,BAG3
ERRFI1,0,3.78956192803763,0.583,0.04,0,Negative,ERRFI1
CYSTM1,0,1.39264542375712,0.744,0.201,0,Negative,CYSTM1
FIS1,0,1.5039883558083,0.785,0.243,0,Negative,FIS1
PDLIM4,0,5.02572562613695,0.577,0.035,0,Negative,PDLIM4
TPBG,0,4.9078404817728,0.559,0.019,0,Negative,TPBG
PDCD5,0,1.2018752775349,0.773,0.233,0,Negative,PDCD5
MORF4L2,0,1.35483560065701,0.786,0.246,0,Negative,MORF4L2
NDUFS4,0,1.3098861115093,0.711,0.171,0,Negative,NDUFS4
BANF1,0,1.23654378164459,0.798,0.26,0,Negative,BANF1
CRABP2,0,3.34629380287299,0.586,0.049,0,Negative,CRABP2
ARHGDIB,0,-5.24811721268214,0.168,0.705,0,Negative,ARHGDIB
CYC1,0,1.70392467370799,0.794,0.258,0,Negative,CYC1
ZNF503,0,3.66114656904676,0.58,0.044,0,Negative,ZNF503
PTTG1IP,0,1.22383057009646,0.741,0.206,0,Negative,PTTG1IP
HSBP1,0,1.01227174059597,0.771,0.237,0,Negative,HSBP1
SDC4,0,2.57243095781807,0.632,0.099,0,Negative,SDC4
PTPRC,0,-10.0365799748218,0.002,0.534,0,Negative,PTPRC
PRDX5,0,1.86139786137612,0.881,0.349,0,Negative,PRDX5
TUBA1C,0,1.29087403644923,0.835,0.305,0,Negative,TUBA1C
TPM2,0,3.90303676604055,0.571,0.041,0,Negative,TPM2
ID4,0,4.9236916952921,0.551,0.022,0,Negative,ID4
C12orf57,0,0.869879121986016,0.899,0.37,0,Negative,C12orf57
CAPN2,0,1.32972224728557,0.7,0.171,0,Negative,CAPN2
ATG101,0,1.20370170224123,0.71,0.181,0,Negative,ATG101
COL6A2,0,5.3302162231788,0.559,0.031,0,Negative,COL6A2
SPATS2L,0,1.83539689624542,0.646,0.119,0,Negative,SPATS2L
CD9,0,2.48951198187301,0.738,0.211,0,Negative,CD9
KDELR1,0,1.12771947984263,0.741,0.214,0,Negative,KDELR1
CLTB,0,1.02620152708092,0.789,0.263,0,Negative,CLTB
C1S,0,5.26530472448823,0.552,0.026,0,Negative,C1S
MGST3,0,0.965087575832063,0.847,0.323,0,Negative,MGST3
PRDX2,0,1.55998489032779,0.681,0.157,0,Negative,PRDX2
FKBP1A,0,1.02838528052567,0.846,0.322,0,Negative,FKBP1A
CEBPD,0,1.60425606322282,0.784,0.261,0,Negative,CEBPD
KLF4,0,2.16397642520118,0.677,0.154,0,Negative,KLF4
TMEM147,0,1.24591558966177,0.778,0.255,0,Negative,TMEM147
MIR4435-2HG,0,1.6291453762736,0.709,0.187,0,Negative,MIR4435-2HG
NNMT,0,4.64527662396065,0.559,0.037,0,Negative,NNMT
ERGIC3,0,1.13534578836664,0.811,0.29,0,Negative,ERGIC3
TFPI2,0,4.60686683283113,0.554,0.033,0,Negative,TFPI2
PGRMC1,0,1.8081813145694,0.621,0.1,0,Negative,PGRMC1
MINOS1,0,0.868920813296262,0.804,0.284,0,Negative,MINOS1
PERP,0,2.18380103841489,0.671,0.151,0,Negative,PERP
BSG,0,1.04788346796178,0.851,0.331,0,Negative,BSG
SHFM1,0,0.85433610700409,0.863,0.344,0,Negative,SHFM1
KLF5,0,3.33077579999605,0.559,0.04,0,Negative,KLF5
BTG3,0,1.02860193194659,0.781,0.262,0,Negative,BTG3
NUCKS1,0,0.783434193105346,0.849,0.33,0,Negative,NUCKS1
CHMP2B,0,1.05695073682892,0.756,0.238,0,Negative,CHMP2B
CUTA,0,1.07990556593196,0.902,0.384,0,Negative,CUTA
CLTA,0,0.852189848079674,0.875,0.357,0,Negative,CLTA
KCNQ1OT1,0,2.44116612056671,0.616,0.098,0,Negative,KCNQ1OT1
DAD1,0,0.913424197980398,0.881,0.364,0,Negative,DAD1
CLEC11A,0,3.65892626215386,0.558,0.041,0,Negative,CLEC11A
SSR3,0,1.05473747835311,0.848,0.332,0,Negative,SSR3
KRT19,0,3.89183013543704,0.605,0.089,0,Negative,KRT19
MRPL51,0,1.04852380686908,0.814,0.299,0,Negative,MRPL51
NPC2,0,0.47070427089195,0.951,0.436,0,Negative,NPC2
CTNNA1,0,1.71581281830107,0.63,0.116,0,Negative,CTNNA1
TMED3,0,1.78153615187467,0.633,0.12,0,Negative,TMED3
PHB2,0,0.984483828585843,0.763,0.251,0,Negative,PHB2
PFDN2,0,1.15382513377766,0.883,0.372,0,Negative,PFDN2
HNRNPAB,0,1.04258589928837,0.734,0.223,0,Negative,HNRNPAB
ZNHIT1,0,1.00630489577393,0.761,0.25,0,Negative,ZNHIT1
DDAH2,0,1.50329949955307,0.694,0.184,0,Negative,DDAH2
RBBP6,0,0.889962926246396,0.798,0.288,0,Negative,RBBP6
SYNCRIP,0,0.821532727877228,0.76,0.251,0,Negative,SYNCRIP
GAS6,0,3.30876886958629,0.573,0.064,0,Negative,GAS6
ATOX1,0,1.03102577724564,0.738,0.23,0,Negative,ATOX1
MYC,0,1.98057114706966,0.681,0.173,0,Negative,MYC
PAWR,0,3.36186120424688,0.542,0.034,0,Negative,PAWR
SELM,0,2.37059910262042,0.698,0.19,0,Negative,SELM
TIMP1,0,2.02311276687413,0.854,0.346,0,Negative,TIMP1
FGFR1,0,3.24235927213971,0.584,0.077,0,Negative,FGFR1
CRIP2,0,3.45533890861913,0.556,0.049,0,Negative,CRIP2
COL6A1,0,5.1276656134129,0.534,0.027,0,Negative,COL6A1
TCEAL4,0,1.65674165668106,0.621,0.115,0,Negative,TCEAL4
PDLIM2,0,2.03173982581847,0.595,0.09,0,Negative,PDLIM2
PPP1R14B,0,1.46076093984348,0.766,0.261,0,Negative,PPP1R14B
NUPR1,0,1.5496353843553,0.601,0.096,0,Negative,NUPR1
PRMT1,0,1.05317075394582,0.726,0.221,0,Negative,PRMT1
KDELR2,0,0.85829689895715,0.82,0.315,0,Negative,KDELR2
IGFBP3,0,4.55340341478751,0.539,0.035,0,Negative,IGFBP3
RAB34,0,1.96460618321673,0.61,0.106,0,Negative,RAB34
CHMP4B,0,1.0176468107578,0.916,0.412,0,Negative,CHMP4B
DSP,0,4.37273216437319,0.537,0.034,0,Negative,DSP
YIF1A,0,1.52545306664552,0.633,0.13,0,Negative,YIF1A
ERCC1,0,1.40125364204904,0.641,0.138,0,Negative,ERCC1
FUNDC2,0,0.907638387324322,0.717,0.214,0,Negative,FUNDC2
GNG12,0,4.25636237521222,0.525,0.023,0,Negative,GNG12
RTN4,0,1.05793897894116,0.895,0.393,0,Negative,RTN4
SEPP1,0,2.2448847909846,0.576,0.074,0,Negative,SEPP1
HMGA1,0,2.01406504519668,0.825,0.323,0,Negative,HMGA1
FKBP2,0,0.924575636892809,0.807,0.305,0,Negative,FKBP2
GSTP1,0,1.80532507421451,0.951,0.449,0,Negative,GSTP1
MLF2,0,1.03697477942869,0.771,0.27,0,Negative,MLF2
LARP6,0,4.50008861874212,0.52,0.019,0,Negative,LARP6
SLC25A33,0,1.45673287357042,0.638,0.138,0,Negative,SLC25A33
RHOB,0,1.45846693955249,0.664,0.164,0,Negative,RHOB
GIPC1,0,2.6885907508724,0.574,0.074,0,Negative,GIPC1
H1F0,0,3.04201756558713,0.554,0.056,0,Negative,H1F0
RAB1A,0,0.779545578813307,0.832,0.334,0,Negative,RAB1A
LGALS3,0,0.831737237546566,0.962,0.464,0,Negative,LGALS3
RAB2A,0,0.963841645412151,0.866,0.369,0,Negative,RAB2A
EFEMP2,0,4.65379392934965,0.514,0.017,0,Negative,EFEMP2
YWHAQ,0,0.773601307888335,0.917,0.421,0,Negative,YWHAQ
ENAH,0,4.03097826258632,0.52,0.024,0,Negative,ENAH
ATRAID,0,0.886572548575906,0.76,0.264,0,Negative,ATRAID
PPA1,0,1.15905438313009,0.802,0.307,0,Negative,PPA1
COL1A1,0,5.23922126381013,0.558,0.063,0,Negative,COL1A1
RRBP1,0,0.994453437761415,0.719,0.224,0,Negative,RRBP1
IGF2BP2,0,3.61693081874205,0.528,0.034,0,Negative,IGF2BP2
UBE2H,0,1.50288361246044,0.625,0.131,0,Negative,UBE2H
POLR2F,0,0.880003625089276,0.705,0.211,0,Negative,POLR2F
HDGF,0,1.13530669267253,0.71,0.217,0,Negative,HDGF
TBCA,0,0.804537059482844,0.84,0.347,0,Negative,TBCA
MTCH1,0,0.833015688379019,0.763,0.27,0,Negative,MTCH1
ACTN1,0,2.31532739607153,0.573,0.08,0,Negative,ACTN1
EBNA1BP2,0,1.47923612789626,0.614,0.122,0,Negative,EBNA1BP2
CCDC80,0,5.2710138070772,0.515,0.024,0,Negative,CCDC80
NDUFB2,0,0.906059397235164,0.874,0.383,0,Negative,NDUFB2
CCND1,0,3.19363484160794,0.569,0.078,0,Negative,CCND1
PRKCDBP,0,3.48921465729764,0.53,0.04,0,Negative,PRKCDBP
REXO2,0,0.900256475039398,0.671,0.181,0,Negative,REXO2
NHP2,0,1.04738671740248,0.747,0.257,0,Negative,NHP2
RHEB,0,0.890779598132353,0.888,0.398,0,Negative,RHEB
NDUFC2,0,1.223739422946,0.88,0.39,0,Negative,NDUFC2
SNHG16,0,0.741627830928787,0.824,0.334,0,Negative,SNHG16
MARCKSL1,0,0.927924005005056,0.779,0.29,0,Negative,MARCKSL1
IFT57,0,1.21478398786994,0.61,0.121,0,Negative,IFT57
DYNLL1,0,1.15939067799156,0.894,0.405,0,Negative,DYNLL1
DDX21,0,0.980062122864471,0.85,0.362,0,Negative,DDX21
SPHK1,0,2.27750710358526,0.632,0.144,0,Negative,SPHK1
TUBB6,0,2.36956355029514,0.594,0.106,0,Negative,TUBB6
CSNK1E,0,1.74338808324434,0.587,0.099,0,Negative,CSNK1E
SEC63,0,0.986064483313884,0.67,0.183,0,Negative,SEC63
SEP15,0,0.631784875447443,0.833,0.346,0,Negative,SEP15
RYBP,0,1.59305655558473,0.628,0.141,0,Negative,RYBP
MCRIP1,0,1.0305112475582,0.669,0.183,0,Negative,MCRIP1
COA4,0,1.57986067013671,0.607,0.122,0,Negative,COA4
TIMM13,0,1.00621171104901,0.707,0.223,0,Negative,TIMM13
MYO10,0,3.46052658922172,0.522,0.039,0,Negative,MYO10
MRFAP1,0,0.768506716722085,0.842,0.359,0,Negative,MRFAP1
HEBP2,0,1.81858404713518,0.734,0.251,0,Negative,HEBP2
BRI3,0,0.573574077221291,0.885,0.402,0,Negative,BRI3
ANAPC11,0,1.18610521239923,0.818,0.335,0,Negative,ANAPC11
TFG,0,0.931650385444088,0.673,0.191,0,Negative,TFG
ASS1,0,3.58627452372875,0.516,0.034,0,Negative,ASS1
TMED10,0,0.750785196629325,0.843,0.361,0,Negative,TMED10
SEC11A,0,0.797573665340843,0.876,0.394,0,Negative,SEC11A
C1orf122,0,0.871891853670561,0.696,0.215,0,Negative,C1orf122
CDKN1A,0,1.42455511159245,0.744,0.263,0,Negative,CDKN1A
KLF10,0,1.69808572412396,0.641,0.16,0,Negative,KLF10
PGLS,0,1.01410833054628,0.681,0.201,0,Negative,PGLS
AP2M1,0,0.804662477715335,0.829,0.349,0,Negative,AP2M1
FBXO32,0,1.77311387541961,0.601,0.121,0,Negative,FBXO32
PHB,0,1.11391251077753,0.683,0.204,0,Negative,PHB
RAB7A,0,0.965153507408642,0.893,0.414,0,Negative,RAB7A
ATP5J,0,1.05053687504985,0.906,0.427,0,Negative,ATP5J
TUBB2A,0,1.97790724358495,0.617,0.138,0,Negative,TUBB2A
NME4,0,2.16054847794546,0.564,0.086,0,Negative,NME4
MRPL32,0,0.840612991306587,0.663,0.186,0,Negative,MRPL32
TCEB1,0,0.902298489809379,0.886,0.409,0,Negative,TCEB1
GTPBP4,0,1.02961197040089,0.707,0.23,0,Negative,GTPBP4
NEDD8,0,0.783382727364686,0.862,0.385,0,Negative,NEDD8
CCT4,0,0.542226286688226,0.799,0.324,0,Negative,CCT4
EIF6,0,0.943710762933133,0.802,0.327,0,Negative,EIF6
PPIC,0,4.19590840184404,0.502,0.027,0,Negative,PPIC
EGR1,0,2.98208146802685,0.563,0.088,0,Negative,EGR1
PPFIBP1,0,3.6643375600197,0.503,0.028,0,Negative,PPFIBP1
PTOV1,0,1.53202577546851,0.58,0.105,0,Negative,PTOV1
CEBPB,0,1.08641441619094,0.877,0.402,0,Negative,CEBPB
MDH2,0,0.731033349634929,0.781,0.307,0,Negative,MDH2
VDAC2,0,0.921224999830741,0.913,0.439,0,Negative,VDAC2
RUNX1,0,1.75660594967317,0.628,0.154,0,Negative,RUNX1
FOXO3,0,1.10127495357884,0.655,0.182,0,Negative,FOXO3
CKB,0,1.79045375302769,0.563,0.09,0,Negative,CKB
TMEM205,0,1.76616557744135,0.596,0.123,0,Negative,TMEM205
ACTN4,0,0.961098870612178,0.716,0.243,0,Negative,ACTN4
TRIP6,0,2.38937282616048,0.54,0.068,0,Negative,TRIP6
ATP1B1,0,1.71860151758331,0.617,0.145,0,Negative,ATP1B1
POLR2H,0,1.17074741445818,0.613,0.141,0,Negative,POLR2H
LYRM4,0,1.51119897224559,0.592,0.12,0,Negative,LYRM4
DYNLT1,0,0.838474791224101,0.718,0.246,0,Negative,DYNLT1
CCDC85B,0,0.681060085215332,0.749,0.277,0,Negative,CCDC85B
LEPROT,0,1.10971029214598,0.625,0.154,0,Negative,LEPROT
PHLDA3,0,3.51129584344777,0.505,0.034,0,Negative,PHLDA3
GNB2,0,0.695828473732238,0.758,0.288,0,Negative,GNB2
STOML2,0,0.921552400478721,0.661,0.191,0,Negative,STOML2
ILF2,0,0.658179135686281,0.841,0.371,0,Negative,ILF2
HSPD1,0,0.520084190074913,0.814,0.344,0,Negative,HSPD1
PUF60,0,0.964902521844058,0.742,0.272,0,Negative,PUF60
CCT2,0,0.639930823848377,0.757,0.288,0,Negative,CCT2
WDR45B,0,0.988252502959175,0.658,0.189,0,Negative,WDR45B
