"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EPCAM,0,-2.09175645428343,0.159,0.502,0,Neutral,EPCAM
CLDN3,0,-2.31344078410164,0.156,0.494,0,Neutral,CLDN3
C19orf33,0,-1.95624763309347,0.165,0.503,0,Neutral,C19orf33
ELF3,0,-1.93427341535524,0.149,0.485,0,Neutral,ELF3
CLDN4,0,-2.31365208537394,0.185,0.516,0,Neutral,CLDN4
KRT19,0,-1.96390209107704,0.217,0.547,0,Neutral,KRT19
S100A1,0,-2.96952103310648,0.119,0.449,0,Neutral,S100A1
EHF,0,-2.47283636562513,0.103,0.429,0,Neutral,EHF
TACSTD2,0,-1.8696301715915,0.194,0.519,0,Neutral,TACSTD2
CLDN7,0,-1.83963421507074,0.13,0.455,0,Neutral,CLDN7
DSP,0,-2.19450006075509,0.158,0.483,0,Neutral,DSP
MAL2,0,-1.60266000071874,0.149,0.472,0,Neutral,MAL2
KRT7,0,-1.76288441900305,0.188,0.509,0,Neutral,KRT7
CD24,0,-2.37521518467925,0.214,0.533,0,Neutral,CD24
SMIM22,0,-2.28053423614356,0.107,0.426,0,Neutral,SMIM22
KRT8,0,-1.79657345830225,0.261,0.58,0,Neutral,KRT8
LSM4,0,-1.18195690095716,0.278,0.597,0,Neutral,LSM4
ABHD11,0,-2.102374206416,0.134,0.452,0,Neutral,ABHD11
PCBD1,0,-1.47378475286924,0.238,0.554,0,Neutral,PCBD1
QPRT,0,-2.51678955463354,0.123,0.439,0,Neutral,QPRT
GSDMD,0,-1.60761146556247,0.175,0.489,0,Neutral,GSDMD
KRT18,0,-1.88699297933637,0.264,0.578,0,Neutral,KRT18
CYR61,0,-1.39714981123469,0.203,0.515,0,Neutral,CYR61
PPP1R16A,0,-2.33439965013178,0.123,0.435,0,Neutral,PPP1R16A
MUC16,0,-2.4823655810232,0.1,0.412,0,Neutral,MUC16
ARHGAP29,0,-1.92531993362972,0.14,0.451,0,Neutral,ARHGAP29
MSLN,0,-2.00051116245004,0.154,0.463,0,Neutral,MSLN
TATDN1,0,-1.94812219653113,0.194,0.502,0,Neutral,TATDN1
MGST2,0,-1.88384020427164,0.147,0.453,0,Neutral,MGST2
GIPC1,0,-1.48912201920974,0.199,0.505,0,Neutral,GIPC1
LAPTM4B,0,-1.49921470008561,0.227,0.532,0,Neutral,LAPTM4B
KLK6,0,-2.30998114736235,0.097,0.402,0,Neutral,KLK6
TMEM141,0,-1.86004290826582,0.186,0.491,0,Neutral,TMEM141
VAMP8,0,-1.29393165482328,0.39,0.694,0,Neutral,VAMP8
BCAM,0,-0.919821473515665,0.147,0.448,0,Neutral,BCAM
CRIP2,0,-2.03953580965908,0.176,0.477,0,Neutral,CRIP2
UPK1B,0,-3.69984301212626,0.045,0.343,0,Neutral,UPK1B
SPINT2,0,-1.29401981279808,0.276,0.574,0,Neutral,SPINT2
KLK7,0,-1.77789841976371,0.103,0.4,0,Neutral,KLK7
CTGF,0,-2.03114127500133,0.185,0.482,0,Neutral,CTGF
UCA1,0,-3.11391741531934,0.066,0.363,0,Neutral,UCA1
HCFC1R1,0,-1.75313629769076,0.283,0.578,0,Neutral,HCFC1R1
PDLIM1,0,-1.73995403764507,0.21,0.503,0,Neutral,PDLIM1
BHLHE41,0,-1.99019637042311,0.153,0.446,0,Neutral,BHLHE41
SLPI,0,-2.12150709968561,0.286,0.579,0,Neutral,SLPI
PMVK,0,-1.47823787659415,0.184,0.476,0,Neutral,PMVK
MRPL33,0,-1.43308108661431,0.332,0.624,0,Neutral,MRPL33
C1orf186,0,-2.12878596025629,0.104,0.395,0,Neutral,C1orf186
ID4,0,-1.57922674911017,0.156,0.447,0,Neutral,ID4
FAM84B,0,-2.05255531184869,0.107,0.398,0,Neutral,FAM84B
SLC39A4,0,-1.73060028966193,0.158,0.448,0,Neutral,SLC39A4
CD9,0,-1.70328821135277,0.345,0.635,0,Neutral,CD9
FAM200B,0,-1.49851439822719,0.159,0.447,0,Neutral,FAM200B
FIS1,0,-1.41024546527953,0.382,0.67,0,Neutral,FIS1
CYHR1,0,-1.8914694430162,0.147,0.434,0,Neutral,CYHR1
SERPINB6,0,-1.65134001430386,0.184,0.469,0,Neutral,SERPINB6
LLGL2,0,-2.2546085081209,0.089,0.373,0,Neutral,LLGL2
KLK11,0,-2.71037926825125,0.078,0.362,0,Neutral,KLK11
S100A13,0,-2.33544490671876,0.316,0.599,0,Neutral,S100A13
CITED4,0,-1.47318893128023,0.181,0.463,0,Neutral,CITED4
CCND1,0,-1.42932482240135,0.202,0.484,0,Neutral,CCND1
MGMT,0,-1.42469098177051,0.162,0.443,0,Neutral,MGMT
NUDT14,0,-1.4225875478935,0.161,0.442,0,Neutral,NUDT14
S100A14,0,-1.90735140474677,0.11,0.39,0,Neutral,S100A14
FXYD3,0,-2.17288492527635,0.1,0.38,0,Neutral,FXYD3
IGFBP2,0,-1.61798599236229,0.233,0.511,0,Neutral,IGFBP2
EBAG9,0,-1.43858764661032,0.164,0.442,0,Neutral,EBAG9
VPS28,0,-1.71270248440207,0.401,0.679,0,Neutral,VPS28
CAPS,0,-2.5819142509979,0.078,0.356,0,Neutral,CAPS
PERP,0,-2.03598444980502,0.283,0.56,0,Neutral,PERP
OCIAD2,0,-1.57037273755668,0.366,0.643,0,Neutral,OCIAD2
PAX8,0,-1.49959298206559,0.109,0.384,0,Neutral,PAX8
CRYAB,0,-2.20534958807954,0.171,0.444,0,Neutral,CRYAB
PRSS8,0,-1.80907278785251,0.096,0.369,0,Neutral,PRSS8
C8orf82,0,-1.54251302598835,0.163,0.433,0,Neutral,C8orf82
BAIAP2,0,-1.64415905848385,0.169,0.438,0,Neutral,BAIAP2
HACD3,0,-1.43787495208706,0.155,0.422,0,Neutral,HACD3
KRT23,0,-2.69262577394207,0.06,0.326,0,Neutral,KRT23
AP1M2,0,-2.07188990197072,0.088,0.354,0,Neutral,AP1M2
CAMK2N1,0,-2.64442496598348,0.078,0.344,0,Neutral,CAMK2N1
RBP1,0,-1.58554406344774,0.155,0.42,0,Neutral,RBP1
ASS1,0,-1.42505334304073,0.156,0.421,0,Neutral,ASS1
FAM213A,0,-1.55645693623162,0.124,0.389,0,Neutral,FAM213A
WNT7A,0,-2.97433498591335,0.053,0.317,0,Neutral,WNT7A
C6orf132,0,-1.15747183576847,0.13,0.394,0,Neutral,C6orf132
SCGB2A1,0,-2.98285243404289,0.076,0.34,0,Neutral,SCGB2A1
KCNK15,0,-2.01458535194493,0.098,0.362,0,Neutral,KCNK15
TMEM18,0,-1.39776126953032,0.159,0.422,0,Neutral,TMEM18
LYPD1,0,-3.23118178885207,0.052,0.315,0,Neutral,LYPD1
DCDC2,0,-2.94037524642802,0.05,0.313,0,Neutral,DCDC2
ID1,0,-1.70338861207253,0.161,0.424,0,Neutral,ID1
SOX17,0,-1.62312248421334,0.098,0.359,0,Neutral,SOX17
PRDX5,0,-1.40898455317074,0.486,0.746,0,Neutral,PRDX5
