"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,5.14832981096788,0.556,0.154,0,Other,CXCR4
2,0,4.95424721132242,0.706,0.151,0,Other,SRGN
3,0,4.16487485087561,0.589,0.12,0,Other,LAPTM5
4,0,-3.59206313199437,0.02,0.285,0,Other,FABP6
5,0,-3.56472225901323,0.058,0.621,0,Other,APOA1
6,0,-3.56268124157448,0.019,0.285,0,Other,TNNI3
7,0,3.405088235675,0.788,0.564,0,Other,CD44
8,0,-3.35525641609172,0.021,0.311,0,Other,FAM71E1
9,0,-3.353800814836,0.047,0.545,0,Other,LINC00176
10,0,-3.34660648720236,0.037,0.487,0,Other,AQP5
11,0,-3.33647679208725,0.022,0.319,0,Other,HAGLROS
12,0,-3.33283364446634,0.017,0.264,0,Other,EPN3
13,0,-3.31078963593703,0.057,0.581,0,Other,SCGB1D2
14,0,-3.25692795345483,0.027,0.411,0,Other,PART1
15,0,-3.25428439020667,0.028,0.382,0,Other,ST6GALNAC1
16,0,-3.24946418751194,0.063,0.671,0,Other,ASRGL1
17,0,-3.23984774169705,0.048,0.54,0,Other,LYPD1
18,0,-3.22984162321422,0.07,0.681,0,Other,KLK11
19,0,-3.2158002693899,0.02,0.278,0,Other,DNAJB13
20,0,-3.20682602245326,0.027,0.373,0,Other,AIF1L
21,0,-5.14832981096788,0.154,0.556,0,Positive,CXCR4
22,0,-4.95424721132242,0.151,0.706,0,Positive,SRGN
23,0,-4.16487485087561,0.12,0.589,0,Positive,LAPTM5
24,0,3.59206313199437,0.285,0.02,0,Positive,FABP6
25,0,3.56472225901323,0.621,0.058,0,Positive,APOA1
26,0,3.56268124157448,0.285,0.019,0,Positive,TNNI3
27,0,-3.405088235675,0.564,0.788,0,Positive,CD44
28,0,3.35525641609172,0.311,0.021,0,Positive,FAM71E1
29,0,3.353800814836,0.545,0.047,0,Positive,LINC00176
30,0,3.34660648720236,0.487,0.037,0,Positive,AQP5
31,0,3.33647679208725,0.319,0.022,0,Positive,HAGLROS
32,0,3.33283364446634,0.264,0.017,0,Positive,EPN3
33,0,3.31078963593703,0.581,0.057,0,Positive,SCGB1D2
34,0,3.25692795345483,0.411,0.027,0,Positive,PART1
35,0,3.25428439020667,0.382,0.028,0,Positive,ST6GALNAC1
36,0,3.24946418751194,0.671,0.063,0,Positive,ASRGL1
37,0,3.23984774169705,0.54,0.048,0,Positive,LYPD1
38,0,3.22984162321422,0.681,0.07,0,Positive,KLK11
39,0,3.2158002693899,0.278,0.02,0,Positive,DNAJB13
40,0,3.20682602245326,0.373,0.027,0,Positive,AIF1L
