"marker","count"
"ALK","2"
"AMD1","1"
"ANGPTL3","1"
"BRAF","1"
"CA125","1"
"CD3ÃŽÂ¶","1"
"CD8a","1"
"CEACAM5","1"
"CK19","1"
"CK5","1"
"CTNNB1 S37C","1"
"Cytokeratin","1"
"EGFR","3"
"EPCAM","2"
"ER","1"
"ERBB4","1"
"GATA3","1"
"INSM1","1"
"ITGB2 rs3788142","1"
"MET","3"
"MKI67","1"
"MSRA","1"
"MUC1","1"
"NAPSA","1"
"NGFR","1"
"P2RX7B","1"
"PLIN2","1"
"PTK7","1"
"RET","2"
"ROBO1","1"
"ROS1","2"
"RUNX3","1"
"SBS3","1"
"SLIT1","1"
"SMARCA4","1"
"SULT2A1","1"
"TERT","1"
"TP63","1"
"TTF-1","2"
"UGT1A9","1"
"VWF rs73049469","1"
"ZAR1","1"
