gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC38A2,1.15142857142857,10.12,8.19853058303011,7.24120250794088e-07,0.00687841826229305,5.86198915150272
IL3RA,1.214,4.89785714285714,6.85842041548695,5.99149772561078e-06,0.0284566184477884,4.06005105264427
GNA13,1.09314285714286,8.61714285714286,6.4853439217373,1.12561206215039e-05,0.0325741371447063,3.50667767737519
ST6GAL2,-1.27214285714286,7.32721428571429,-6.27009591488529,1.63366604465056e-05,0.0325741371447063,3.17686905042847
BMPR1A,0.763142857142857,8.51057142857143,6.20566746166261,1.82862974600781e-05,0.0325741371447063,3.07664870631527
SLC7A1,0.594571428571429,8.13957142857143,6.01209968950516,2.5746910217526e-05,0.0325741371447063,2.77139804391716
P3H2,1.69771428571429,6.07357142857143,5.84175032481893,3.49425886668367e-05,0.0325741371447063,2.49763707329727
CRY1,1.10471428571429,6.58821428571429,5.74744948429214,4.14494577753369e-05,0.0325741371447063,2.3440446600546
TGFBR3,1.15328571428571,7.13035714285714,5.68499461039674,4.64437364676849e-05,0.0325741371447063,2.24152556939816
GEM,1.70357142857143,6.47121428571429,5.64544114416462,4.99271886058608e-05,0.0325741371447063,2.17627297600065
HNRNPF,0.931142857142857,7.43928571428571,5.63251645336919,5.11235198655292e-05,0.0325741371447063,2.15489613324352
FOS,2.45428571428571,9.067,5.58839326051641,5.54372406780822e-05,0.0325741371447063,2.08171660198156
PPP1R15B,0.751857142857143,8.41807142857143,5.58594155127865,5.56877638605251e-05,0.0325741371447063,2.0776412412856
NR4A1,1.32028571428571,6.92871428571429,5.51661690259041,6.32811673609779e-05,0.0325741371447063,1.96201006508917
AEBP1,1.89985714285714,7.57292857142857,5.50427622247138,6.47420075519963e-05,0.0325741371447063,1.94134630223339
PTBP1,0.913285714285713,8.67992857142857,5.49601269646511,6.57397627029315e-05,0.0325741371447063,1.92749605354955
PLOD2,1.38428571428571,7.81285714285714,5.43503501978025,7.36143264800596e-05,0.0325741371447063,1.82496106393441
ANXA1,2.24457142857143,9.25142857142857,5.43392710170129,7.37661402578904e-05,0.0325741371447063,1.82309268940581
KLHL21,0.786142857142857,6.5085,5.42752674585065,7.46495430947193e-05,0.0325741371447063,1.81229548305324
RAPGEF4,-1.70771428571429,8.85942857142857,-5.41992420789218,7.57131669382469e-05,0.0325741371447063,1.79946192418211
TMX1,0.838285714285714,7.87885714285714,5.37474991873985,8.23662003715284e-05,0.0325741371447063,1.72301945747246
BEX4,-0.711714285714286,9.76571428571429,-5.33103761067551,8.93827951297365e-05,0.0325741371447063,1.64875037066693
CHUK,0.618857142857143,6.77814285714286,5.32844166770235,8.98185174643117e-05,0.0325741371447063,1.64433050482948
SCIN,1.83342857142857,5.76085714285714,5.25344130092886,0.000103406462818203,0.0325741371447063,1.51619029440139
ABCC4,0.954428571428571,6.36478571428571,5.24585168376058,0.000104895435713708,0.0325741371447063,1.50317565429871
LDLR,1.39371428571428,8.47857142857143,5.23413957891502,0.000107236925795801,0.0325741371447063,1.48307474963059
SHISA9,-1.28685714285714,7.92414285714286,-5.22868056176378,0.000108346737614825,0.0325741371447063,1.47369865556778
RELA,0.917571428571428,7.08221428571429,5.21137994538711,0.000111943215253463,0.0325741371447063,1.44395455726484
RIPK2,1.15014285714286,7.30635714285714,5.19798091156859,0.000114813487148915,0.0325741371447063,1.42088746780175
