gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
EMP1,0.303775839133134,0.0564202484711263,7.50925248486815e-08,1.35496529185052,1.21311587392373,1.51340113634931,0.000849402935005162,TRUE,risk,0.303775839133134
SLC35G2,0.305867436199515,0.0581077754943166,1.33354727216447e-07,1.35780229918384,1.21164167498267,1.52159431433827,0.000849402935005162,TRUE,risk,0.305867436199515
ZMAT3,0.424986306922595,0.0822496203887571,2.68730134456562e-07,1.52956947500676,1.30183792042996,1.79713829360553,0.000914390814093368,TRUE,risk,0.424986306922595
XG,0.248077537779753,0.0480185457866321,2.87115413798059e-07,1.28155929760424,1.16644561385699,1.40803327113136,0.000914390814093368,TRUE,risk,0.248077537779753
ACSL1,0.233117466292325,0.0455771026084059,3.81808834404241e-07,1.26252977530886,1.15463738832583,1.38050391374614,0.000972772548295126,TRUE,risk,0.233117466292325
ANO6,0.391238902701561,0.077414345134522,5.04155328657731e-07,1.47881176334065,1.27062230734191,1.72111273252361,0.00102964302085286,TRUE,risk,0.391238902701561
GPAM,0.18336792801544,0.0370965385381969,6.39318092397858e-07,1.20125630263062,1.11701361898657,1.29185238217505,0.00102964302085286,TRUE,risk,0.18336792801544
MMD,0.245330824375088,0.0493168880193072,6.90991109883378e-07,1.27804405139962,1.1602897099087,1.40774892974487,0.00102964302085286,TRUE,risk,0.245330824375088
SLIT3,0.223987894830426,0.0452329866358015,7.81053537676282e-07,1.25105587509319,1.14491596468463,1.3670355300149,0.00102964302085286,TRUE,risk,0.223987894830426
KLF10,0.382365824474786,0.0771068176258746,8.17683696989706e-07,1.46574819362928,1.26015718341891,1.70488078423572,0.00102964302085286,TRUE,risk,0.382365824474786
C2CD2,0.331012435481389,0.0668576791694271,8.89086524011418e-07,1.39237710708014,1.22136780737671,1.58733020193555,0.00102964302085286,TRUE,risk,0.331012435481389
SLC16A2,0.30535190954447,0.0626600568832665,1.04411183702721e-06,1.35710249630535,1.20025999767327,1.534440195498,0.00110841172432414,TRUE,risk,0.30535190954447
CCDC3,0.221829129759914,0.045720502188525,1.29688908676666e-06,1.24835805239919,1.14135590440361,1.3653916547654,0.00120470448304011,TRUE,risk,0.221829129759914
RNASE1,0.271747942919678,0.0561307420413518,1.32395500137856e-06,1.31225619615653,1.17554478683969,1.4648666249294,0.00120470448304011,TRUE,risk,0.271747942919678
LILRB5,0.183997641087857,0.0386152013690769,1.96786322913087e-06,1.20201298764992,1.11439521134546,1.29651958997085,0.00167124064505988,TRUE,risk,0.183997641087857
FHL1,0.146700498534231,0.0310984866937868,2.31765996080273e-06,1.15800708626769,1.08953114839159,1.23078666803221,0.00184529189004162,TRUE,risk,0.146700498534232
TNFRSF18,-0.188737049665381,0.040265922309874,2.6283607902061e-06,0.828004202053942,0.765169227353414,0.895999125566411,0.00187049163623052,TRUE,protective,0.188737049665381
NT5E,0.273389051118271,0.0581583020539457,2.64297428778941e-06,1.31441151863366,1.17280554377102,1.47311517198469,0.00187049163623052,TRUE,risk,0.273389051118271
EPB41L4B,0.311784971800576,0.0659787957791651,3.07654436619533e-06,1.36586096282697,1.20017398294666,1.55442143912692,0.00204241917551558,TRUE,risk,0.311784971800575
TFPI,0.224986636539691,0.0484229715942472,3.20656123010532e-06,1.25230598093877,1.13891677374796,1.37698408351133,0.00204241917551558,TRUE,risk,0.224986636539691
MIR22HG,0.314464700542946,0.0676486578639494,3.51081870986662e-06,1.36952600817762,1.19946224972852,1.56370197352975,0.00212972950214243,TRUE,risk,0.314464700542946
MCAM,0.283340867013136,0.0613460608274725,4.26244491035388e-06,1.32755760529693,1.17715744547666,1.49717372315313,0.00239944343843669,TRUE,risk,0.283340867013136
GPX3,0.164250939755648,0.0359609335569395,4.51657066705225e-06,1.17851001300468,1.09830437143148,1.26457281504041,0.00239944343843669,TRUE,risk,0.164250939755648
MZT2A,-0.294703425195175,0.064305456978476,4.52049945227103e-06,0.744752429522624,0.656559392542889,0.844792089763029,0.00239944343843669,TRUE,protective,0.294703425195175
UGP2,0.387105200263321,0.0843848911005981,4.78797539367754e-06,1.47271141275252,1.24821036033809,1.73759085340717,0.00243976074160233,TRUE,risk,0.387105200263321
GHR,0.179974751386621,0.0393598090905063,5.31238702014371e-06,1.19718713542508,1.10830245574034,1.29320027200509,0.00260286531729272,TRUE,risk,0.179974751386621
ABCC9,0.220000107972763,0.0483284657460902,5.75237993620197e-06,1.24607686512974,1.13346160236872,1.36988103572869,0.00271405807434359,TRUE,risk,0.220000107972764
STXBP5,0.385284240150475,0.0847405596941134,6.27450555326606e-06,1.47003210420952,1.24507123251321,1.73563915941149,0.00285467593725201,TRUE,risk,0.385284240150475
LEF1,-0.226972460966854,0.050280610779567,6.91918257313992e-06,0.796942729020172,0.722149961971695,0.879481751413585,0.00302038662211883,TRUE,protective,0.226972460966854
LIMCH1,0.273972664728828,0.0609454799353358,7.30591294331542e-06,1.31517885097683,1.16709706430299,1.48204931959942,0.00302038662211883,TRUE,risk,0.273972664728828
PSME2,-0.383242881585885,0.0854384805481668,7.35002631962349e-06,0.681647319596678,0.576544758783459,0.805909794919925,0.00302038662211883,TRUE,protective,0.383242881585885
SH3D19,0.289419963622356,0.0646269920990534,8.18989283804695e-06,1.33565253623817,1.17674371359365,1.51602058880895,0.00318983802983723,TRUE,risk,0.289419963622356
GPR34,0.234247045941817,0.0525103484460005,8.31194080135285e-06,1.26395670901584,1.14034034145616,1.40097346747034,0.00318983802983723,TRUE,risk,0.234247045941817
STX7,0.474797378378936,0.106188479460382,8.51357979546792e-06,1.60768841204909,1.30560685886865,1.97966333638645,0.00318983802983723,TRUE,risk,0.474797378378936
TMEM31,0.246303506052996,0.0555805829209805,9.1640639728024e-06,1.27928778621295,1.14724746370274,1.42652504514726,0.00329010117358941,TRUE,risk,0.246303506052996
PDZD2,0.201455934663325,0.0454262418430322,9.46581293523835e-06,1.22318233593378,1.11898329493311,1.33708432799247,0.00329010117358941,TRUE,risk,0.201455934663325
NPR3,0.15151686662545,0.0343315907710436,9.81337087064826e-06,1.16359792761458,1.08787575779948,1.24459077927033,0.00329010117358941,TRUE,risk,0.15151686662545
KLF11,0.317732665138501,0.0715129700940802,1.00664594857159e-05,1.37400889164765,1.19430836498037,1.5807478953376,0.00329010117358941,TRUE,risk,0.317732665138501
RHBDL1,-0.195194735353644,0.0442914848589814,1.01548881454864e-05,0.822674438658589,0.754269124451621,0.897283489516127,0.00329010117358941,TRUE,protective,0.195194735353644
SIAH2,-0.280549997728547,0.0638564401324505,1.03307988808836e-05,0.755368176405044,0.666504344911149,0.856080063516384,0.00329010117358941,TRUE,protective,0.280549997728547
FILIP1,0.268750019974886,0.0612095682095706,1.18522847563108e-05,1.30832804428697,1.16041681782114,1.47509260912109,0.00368259159782056,TRUE,risk,0.268750019974886
ELMOD3,0.39693539922511,0.0904405404376334,1.30898541439196e-05,1.48725984880918,1.24566800966062,1.77570736402113,0.00397027742712839,TRUE,risk,0.39693539922511
CD99L2,0.38527026537577,0.0883688739316531,1.44832503464792e-05,1.4700115609856,1.23623104659689,1.74800171487356,0.00428932412464847,TRUE,risk,0.38527026537577
PDP1,0.305882594948729,0.0706101393273241,1.53018239645893e-05,1.35782288192438,1.18232959095134,1.55936465837241,0.00428932412464847,TRUE,risk,0.305882594948729
ABCA1,0.277591915404152,0.0642462085099786,1.55921045151195e-05,1.31994743707032,1.16377536666957,1.49707691580929,0.00428932412464847,TRUE,risk,0.277591915404152
STXBP1,0.308571556501884,0.0713461812862602,1.61532326935558e-05,1.36147892873159,1.18380406980051,1.56582066295185,0.00428932412464847,TRUE,risk,0.308571556501884
CXCL13,-0.0987720283083421,0.0229809882234957,1.61941079838968e-05,0.905949215258911,0.866048155436239,0.947688619248682,0.00428932412464847,TRUE,protective,0.0987720283083421
DAAM2,0.23982599323266,0.055485333451036,1.62566052009473e-05,1.27102796361082,1.14005298531023,1.41705000126907,0.00428932412464847,TRUE,risk,0.23982599323266
LAMA4,0.279416930696092,0.0645602085972537,1.6498695510462e-05,1.32235856082717,1.16518389208631,1.50073492713833,0.00428932412464847,TRUE,risk,0.279416930696092
LDB2,0.242139207345235,0.0563894167232561,1.78292705473769e-05,1.27397152666695,1.1406701614075,1.42285079917885,0.00454254155006068,TRUE,risk,0.242139207345235
DEF6,-0.31127190938606,0.0725971940521353,1.91896922922127e-05,0.732514671173228,0.635360700085113,0.844524603759946,0.00479328411981368,TRUE,protective,0.31127190938606
CD36,0.114623673181588,0.0269443087474286,1.98496166038237e-05,1.12145132594146,1.06376321944293,1.18226787077153,0.00486277434454059,TRUE,risk,0.114623673181588
MGLL,0.21519420049847,0.0505173435505089,2.0367387080343e-05,1.24010270214597,1.12319826224254,1.36917476065118,0.00488025296488633,TRUE,risk,0.21519420049847
GRK5,0.317671105066734,0.0745942707760766,2.06871544158774e-05,1.37392431016512,1.18704417944052,1.59022557269301,0.00488025296488633,TRUE,risk,0.317671105066734
FAM13A,0.23638885048359,0.0557662097757663,2.14741134820539e-05,1.26666675839786,1.13551589343177,1.41296540727508,0.00497379512087064,TRUE,risk,0.23638885048359
MIR193BHG,0.28994638473419,0.0682919921452065,2.21899352661058e-05,1.33635583703128,1.16893617158336,1.52775400965527,0.00503635273893354,TRUE,risk,0.28994638473419
OSTM1,0.397017270177367,0.0931477850249796,2.25349011789945e-05,1.48738161717384,1.23917720067439,1.78530082211218,0.00503635273893354,TRUE,risk,0.397017270177367
C11orf95,0.407322711124962,0.0966230357736301,2.42240636700746e-05,1.50278899414517,1.24351439576863,1.81612273135602,0.00516129681605217,TRUE,risk,0.407322711124962
MYADM,0.34580514582788,0.0813643103150111,2.42411334732783e-05,1.4131272352515,1.20482110773508,1.65744820553777,0.00516129681605217,TRUE,risk,0.34580514582788
ANGPTL2,0.234295880204947,0.0554165640122034,2.43094284451786e-05,1.26401843491751,1.133918592422,1.40904524759453,0.00516129681605217,TRUE,risk,0.234295880204947
PID1,0.179888498951277,0.0427513222287841,2.55856298980541e-05,1.19708387957219,1.10086463997764,1.30171300148282,0.00531747167585876,TRUE,risk,0.179888498951277
PARVA,0.386125945021596,0.091754024989672,2.63720316143937e-05,1.47126995827315,1.22910720476323,1.7611444158234,0.00531747167585876,TRUE,risk,0.386125945021596
ANGPT1,0.16214624573385,0.0386271841074335,2.64899769894848e-05,1.17603221844005,1.09028263945822,1.26852591131442,0.00531747167585876,TRUE,risk,0.16214624573385
EPAS1,0.259776496669295,0.0618658792413225,2.67146704808039e-05,1.29664025086255,1.14857193304793,1.46379681740554,0.00531747167585876,TRUE,risk,0.259776496669295
TMEM245,0.37137041697932,0.0886209629752064,2.72865038050872e-05,1.44971997483574,1.21856425985822,1.72472480497849,0.00534773495343086,TRUE,risk,0.37137041697932
SNX9,0.4825395461646,0.115162787279853,2.8669652189743e-05,1.62018371342697,1.29281302413537,2.03045236723971,0.00553367726128994,TRUE,risk,0.4825395461646
PHLDB2,0.246942274408282,0.0589272790337382,2.93230862518109e-05,1.28010521581437,1.14047496032349,1.43683063685183,0.0055753253098779,TRUE,risk,0.246942274408282
SIK2,0.254270615787025,0.0608623906615281,3.05785071393263e-05,1.28952072171938,1.14451427163768,1.45289904455651,0.00572852356540996,TRUE,risk,0.254270615787025
EBF1,0.187586900992754,0.0451222380163392,3.21766789459812e-05,1.20633507658187,1.10422895649306,1.3178827709912,0.00594056105931674,TRUE,risk,0.187586900992754
KAT2B,0.278545582163762,0.0671730080422183,3.3416140875692e-05,1.32120682748943,1.15822248156522,1.50712622901749,0.00608126026593487,TRUE,risk,0.278545582163762
RGS3,0.442868680092095,0.10707420525589,3.58678797605502e-05,1.55716783377805,1.2623855666607,1.92078531836125,0.00628887489420235,TRUE,risk,0.442868680092095
PDGFD,0.215008120162882,0.0521735779138125,3.61942485890508e-05,1.23987196488749,1.11934971765525,1.37337104308578,0.00628887489420235,TRUE,risk,0.215008120162882
NANOS1,0.19807237062754,0.0478006719171302,3.68199872817758e-05,1.21905061408727,1.11002557285833,1.33878393078807,0.00628887489420235,TRUE,risk,0.19807237062754
CAB39L,0.26981893080621,0.0655372472357266,3.69628195081741e-05,1.30972727799925,1.15184606155705,1.48924895434072,0.00628887489420235,TRUE,risk,0.26981893080621
CFL2,0.277039235210809,0.0668598773456545,3.70253251483771e-05,1.319218129821,1.15718910095559,1.5039343808296,0.00628887489420235,TRUE,risk,0.277039235210809
METTL7A,0.274156961341908,0.0665670205123545,3.7757351916777e-05,1.31542125632121,1.15452107134733,1.4987453451693,0.00632882771141871,TRUE,risk,0.274156961341908
TYRO3,0.236798971040578,0.0576084047781467,4.11855051883537e-05,1.26718635101486,1.13188739185782,1.41865812778666,0.00673022278870074,TRUE,risk,0.236798971040578
DNAJB4,0.29558906711766,0.071941278749608,4.12086802353919e-05,1.34391778333727,1.16717250405888,1.54742765280141,0.00673022278870074,TRUE,risk,0.29558906711766
PHACTR2,0.304300048137852,0.0743395987954368,4.37868193689994e-05,1.35567576305902,1.17186258325581,1.56832106494902,0.00706076318913524,TRUE,risk,0.304300048137852
SRPX,0.190388966172442,0.0466268683720511,4.6217913229186e-05,1.20972004633316,1.1040666353753,1.32548393693905,0.00735324900973825,TRUE,risk,0.190388966172442
EPDR1,0.221155817588369,0.0540471214132403,4.75863332998449e-05,1.24751780063568,1.12212415899422,1.38692376456613,0.00735324900973825,TRUE,risk,0.221155817588369
INPP5A,0.433761184868127,0.105515069457311,4.77774280660138e-05,1.54305032034511,1.25476919679156,1.8975635496993,0.00735324900973825,TRUE,risk,0.433761184868127
ENPEP,0.262348492824462,0.0642631968499584,4.79095429632055e-05,1.29997949702575,1.14613180755643,1.47447848628361,0.00735324900973825,TRUE,risk,0.262348492824462
ABLIM1,0.286132430778636,0.0705102773147911,4.88071662744072e-05,1.33126874453538,1.15943438520455,1.52856987233836,0.00740183918059135,TRUE,risk,0.286132430778636
SHISAL2A,-0.238697750936453,0.0587696762887664,5.01164663367045e-05,0.787652913754077,0.70195476352028,0.883813523016805,0.00751098429015621,TRUE,protective,0.238697750936453
CD34,0.237507452304459,0.0585904379658253,5.30033703107252e-05,1.26808444690689,1.13051150985495,1.42239875531516,0.00785127830684102,TRUE,risk,0.237507452304459
CTXN1,-0.181259585261762,0.0450291736446576,5.60757668979274e-05,0.834218779686355,0.763748474709556,0.911191308952913,0.00821091028175514,TRUE,protective,0.181259585261762
PIK3CA,0.344010067689223,0.0850260897411933,5.70704595384021e-05,1.41059283684649,1.1940596021779,1.66639265555371,0.008261597546133,TRUE,risk,0.344010067689223
APOOL,0.336498691097792,0.0835810137833941,5.86655211168763e-05,1.4000370367571,1.18848561479709,1.64924478671646,0.00839707947761672,TRUE,risk,0.336498691097792
FAM172A,0.383602281734253,0.095829408096872,6.25294434722603e-05,1.46756164952316,1.21625521449612,1.77079380172967,0.00876382641875639,TRUE,risk,0.383602281734253
ZBTB21,0.330012978517936,0.0823176644690731,6.29529692424784e-05,1.39098618128573,1.18372986534182,1.63453048974916,0.00876382641875639,TRUE,risk,0.330012978517936
SNX18,0.378139507677552,0.0943504338771453,6.35084889245926e-05,1.45956654941267,1.21314074930006,1.75604892787052,0.00876382641875639,TRUE,risk,0.378139507677552
ZNF25,0.383277053473976,0.0957815086661629,6.39795790049725e-05,1.46708443460713,1.215973872021,1.77005179781473,0.00876382641875639,TRUE,risk,0.383277053473976
KCTD10,0.475655994679565,0.11893760896292,6.57159562445739e-05,1.60906939230725,1.27448003674293,2.03149852066477,0.00884050868720274,TRUE,risk,0.475655994679565
MMGT1,0.373999129944114,0.0932436689950952,6.64184408327416e-05,1.45353588579885,1.21075186021289,1.74500377883668,0.00884050868720274,TRUE,risk,0.373999129944114
ARMH1,-0.275974435038701,0.0689857762038996,6.66911346273909e-05,0.758832330032419,0.662863258682965,0.868695764261446,0.00884050868720274,TRUE,protective,0.275974435038701
VSIG4,0.199923085045448,0.0500815590237535,6.73152792729937e-05,1.2213088176353,1.10712130687107,1.34727352709817,0.00884050868720274,TRUE,risk,0.199923085045448
CD209,0.149631370936884,0.0376236963034647,6.8139033394339e-05,1.1614060357895,1.07884273632034,1.25028786361293,0.00885737904500495,TRUE,risk,0.149631370936884
KLF4,0.18047396627729,0.0453840419197015,7.0057259047441e-05,1.19778493827363,1.09584005659709,1.30921364821278,0.00896361219265681,TRUE,risk,0.18047396627729
SNX3,0.408002938641332,0.101524658394094,7.10258502256221e-05,1.50381158032648,1.23246300245111,1.83490235782046,0.00896361219265681,TRUE,risk,0.408002938641332
C20orf194,0.338642229986476,0.0853022599917582,7.10671819968865e-05,1.40304128930676,1.18702455308198,1.65836911661895,0.00896361219265681,TRUE,risk,0.338642229986476
PAFAH1B3,-0.212823389836593,0.0535990391361524,7.3192840584664e-05,0.808298878408342,0.727691920454077,0.897834727130813,0.00914121172752975,TRUE,protective,0.212823389836593
DAB2,0.277736670071118,0.0701123245048897,7.6605366749833e-05,1.32013851945168,1.15063793429012,1.51460825217384,0.00947452200996236,TRUE,risk,0.277736670071118
