"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MGST1,1.82237845076598e-258,0.955142518358869,0.857,0.497,2.22895108313187e-254
KRT19,2.7241342633223e-231,1.00447504904272,0.901,0.593,3.3318886174695e-227
EPCAM,1.39628037820426e-217,0.841901297192605,0.767,0.394,1.70779053058163e-213
C3orf14,1.39595504637973e-215,0.827791836680685,0.689,0.327,1.70739261722705e-211
CYB5A,3.60548460989816e-215,0.844563042188899,0.884,0.538,4.40986822636645e-211
SPINT1-AS1,1.22865423755041e-211,0.823153070338529,0.652,0.296,1.50276699794791e-207
GGCT,3.39386108422226e-203,0.727812841763386,0.835,0.462,4.15103149211225e-199
TSPAN13,6.35759137657404e-201,0.791623832697807,0.73,0.368,7.7759700126877e-197
TFAP2A,2.60387344740583e-199,0.89721594386175,0.695,0.341,3.18479761352208e-195
PLPP2,4.73089285000616e-196,0.790667239609067,0.663,0.316,5.78635504484253e-192
PYCR1,1.35407198858555e-192,0.966351618774157,0.549,0.245,1.65616544923898e-188
SPTSSA,5.40813667262648e-190,0.81783861858024,0.757,0.407,6.61469196428945e-186
EFHD1,1.09738814923271e-189,0.755346191956464,0.741,0.376,1.34221544532653e-185
PERP,1.20388416840337e-186,0.797640420329261,0.817,0.46,1.47247072637416e-182
MRPL12,7.30238147701496e-183,0.864031007498382,0.667,0.334,8.931542784537e-179
PPA2,2.39267584725255e-181,0.736964337797776,0.535,0.234,2.92648182877459e-177
HEBP2,1.1635548319001e-179,0.81183880037466,0.819,0.484,1.42314391489701e-175
PLGRKT,1.43160947420291e-179,0.819063918972146,0.643,0.314,1.75100154789758e-175
ALDH3B2,3.51892483428138e-179,0.963584943462011,0.521,0.231,4.30399696480956e-175
CD24,3.16099022803101e-178,0.799489975123942,0.909,0.588,3.86620714790472e-174
KRT7,3.63184385408304e-178,0.704788566511663,0.806,0.466,4.44210821792896e-174
NQO1,6.26378181629532e-178,0.799324876242176,0.597,0.279,7.66123153951081e-174
CLDN7,1.97245169513645e-177,0.758849028947557,0.617,0.291,2.41250566832139e-173
MPHOSPH6,2.44225637775832e-176,0.779078802405332,0.63,0.308,2.9871237756362e-172
CCND1,2.72805750478959e-175,0.778319935669533,0.678,0.345,3.33668713410815e-171
RAB25,7.53567589279703e-175,0.71684867197917,0.622,0.295,9.21688518448005e-171
CTNNBIP1,4.72878991710998e-174,0.732445754654286,0.539,0.239,5.78378294761722e-170
DHCR24,2.47599010395557e-173,0.695275822777965,0.597,0.277,3.02838349614805e-169
LAPTM4B,3.52582640390055e-172,0.770351831825469,0.707,0.371,4.31243827461076e-168
CNN3,4.20087761357203e-171,0.744100609036122,0.695,0.356,5.13809340915995e-167
GSTM3,7.78744988091585e-171,0.743031192552484,0.783,0.433,9.52482994934818e-167
STARD10,2.99985631981761e-170,0.704611901434432,0.71,0.368,3.66912426476892e-166
NUDT8,2.75806030026026e-168,1.03436241812519,0.526,0.242,3.37338355324833e-164
MRPL58,2.92532745641637e-167,0.739308652462361,0.511,0.226,3.57796801194286e-163
MRPL45,6.19534105954937e-167,0.89371937467812,0.547,0.258,7.57752164993483e-163
CISD3,1.80891695240373e-166,0.745381877962378,0.818,0.473,2.212486324485e-162
CENPX,4.27122238720377e-165,0.702542258457254,0.802,0.462,5.22413210178893e-161
DCXR,4.39685794343205e-165,0.697646360501188,0.776,0.436,5.37779695061174e-161
SCD,3.49786050805943e-162,0.852290950716943,0.589,0.293,4.27823318740749e-158
H1F0,7.98712189999548e-159,0.733818449851555,0.563,0.268,9.76904879588448e-155
QPRT,1.19541994083646e-157,0.744060935494843,0.527,0.243,1.46211812963708e-153
MSMO1,1.76657707264693e-157,0.743651250135271,0.551,0.259,2.16070041755446e-153
P4HB,3.1790459438859e-156,0.752887232558517,0.842,0.53,3.88829109396684e-152
FAM84B,5.06315438871638e-154,0.796823399043574,0.57,0.278,6.19274413283901e-150
AGR2,1.13866245819464e-151,0.81808066402269,0.583,0.289,1.39269805261786e-147
JPT1,3.42291057187389e-150,0.710213624096592,0.809,0.492,4.18656192045895e-146
NDUFB9,2.13710509280089e-147,0.717962882505069,0.841,0.522,2.61389323900477e-143
SRD5A3,4.58088064534095e-147,0.696570244549523,0.513,0.238,5.60287511731652e-143
TMEM14B,8.33771484817911e-146,0.819519756849813,0.745,0.417,1.01978590308079e-141
TMEM14C,3.1267814158064e-145,0.875588825611393,0.721,0.401,3.82436634967281e-141
ABRACL,6.03124693915768e-143,0.796742423511381,0.758,0.441,7.37681813128375e-139
TRAF4,7.11365257675212e-142,0.695045794069476,0.612,0.314,8.70070846662552e-138
BAMBI,8.90069877721937e-130,0.785158510868016,0.503,0.245,1.0886444674417e-125
CKS1B,3.80725314063656e-129,0.703366974667228,0.581,0.305,4.65665131631258e-125
EIF3H,7.4279253712016e-128,0.73440765309689,0.87,0.567,9.08509552151668e-124
PSMB3,2.05841206293993e-112,0.824707133956135,0.9,0.64,2.51764379418183e-108
KRT10,4.44046241532531e-92,0.984982994520511,0.834,0.574,5.43112958018439e-88
