"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ABL2,2.55013959200009e-237,-3.15316825573454,0.154,0.477,3.11907573497531e-233,Neutral,ABL2
SLC2A3,3.65037128549548e-166,-2.38496778427683,0.08,0.311,4.46476911928952e-162,Neutral,SLC2A3
IGFBP7,2.30397472617834e-98,-1.61815721016415,0.135,0.348,2.81799148758873e-94,Neutral,IGFBP7
SPARC,1.29016122923682e-84,-1.2918390579276,0.128,0.325,1.57799619947955e-80,Neutral,SPARC
ZFP36,1.64385178459246e-83,-1.45793848988776,0.411,0.637,2.01059511773504e-79,Neutral,ZFP36
IGFBP4,7.19527274793891e-81,-1.48980039890054,0.123,0.311,8.80053809800408e-77,Neutral,IGFBP4
SOCS3,1.53857527757196e-79,-2.19375644972157,0.139,0.32,1.88183142199826e-75,Neutral,SOCS3
ID3,8.34792521275156e-60,-1.77530466553322,0.167,0.337,1.02103473277164e-55,Neutral,ID3
VIM,1.39218611106502e-56,-1.03559151307487,0.38,0.564,1.70278283244362e-52,Neutral,VIM
PSMB3,2.43081544932732e-50,1.55803037130429,0.661,0.559,2.97313037607224e-46,Neutral,PSMB3
HSPA1A,3.60978499689351e-50,-0.729990934203179,0.671,0.797,4.41512802970045e-46,Neutral,HSPA1A
DUSP1,1.95015999380188e-49,-0.759798267946831,0.58,0.764,2.38524068841908e-45,Neutral,DUSP1
LGALS1,1.9512045771341e-49,-0.879009338044542,0.522,0.704,2.38651831829272e-45,Neutral,LGALS1
FOSB,1.8279903328732e-45,-0.817660577752694,0.441,0.64,2.23581497613721e-41,Neutral,FOSB
ERBB2,6.62419204622356e-45,1.06217917039284,0.609,0.469,8.10204929173603e-41,Neutral,ERBB2
FOS,1.02972580889642e-43,-0.932744327896057,0.696,0.819,1.25945763686122e-39,Neutral,FOS
MAL2,9.75423172406423e-43,1.29587177333534,0.465,0.296,1.1930400821703e-38,Neutral,MAL2
TFAP2B,6.13206358842754e-42,1.34493305960919,0.284,0.092,7.50012697500572e-38,Neutral,TFAP2B
JUNB,7.33200358020393e-42,-0.945013867436682,0.653,0.76,8.96777357894743e-38,Neutral,JUNB
TCF4,7.87720782870435e-42,-1.3365975496467,0.148,0.286,9.63461289528829e-38,Neutral,TCF4
FGFR1,1.78906890040476e-41,-0.945264123541963,0.144,0.29,2.18821017208506e-37,Neutral,FGFR1
FCGRT,1.25474015482078e-37,-0.76432787374009,0.298,0.461,1.5346726833613e-33,Neutral,FCGRT
