"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.98520395042075e-161,-1.16622332855445,0.066,0.164,3.65120295175962e-157,Neutral,KLK11
2,5.51746098039096e-139,-1.12033527605145,0.224,0.342,6.74840652511618e-135,Neutral,IGFBP5
3,1.23098174089012e-131,1.01083801689135,0.385,0.244,1.50561376728271e-127,Neutral,SCGB2A2
4,8.37160840585629e-125,-1.16490384997903,0.137,0.241,1.02393142412028e-120,Neutral,PRSS23
5,2.77164826350547e-116,-1.66199316329569,0.095,0.182,3.39000299109354e-112,Neutral,COL1A2
6,1.82948290018795e-113,-1.20793028633011,0.162,0.259,2.23764053521988e-109,Neutral,MIPEP
7,1.16894537981215e-112,-1.26097563062661,0.19,0.286,1.42973709404824e-108,Neutral,IGFBP2
8,6.65955194377342e-105,0.908471706366768,0.21,0.107,8.14529798242927e-101,Neutral,AQP5
9,1.06597940346771e-102,1.11543158416396,0.345,0.233,1.30379940838136e-98,Neutral,CXCR4
10,6.54091228052482e-102,0.804451403696527,0.328,0.213,8.00018981030991e-98,Neutral,RGS1
11,3.29231732432002e-100,0.683369314801522,0.334,0.219,4.02683331937581e-96,Neutral,SRGN
12,2.66603801766325e-99,-1.50466481488658,0.088,0.167,3.26083109940392e-95,Neutral,MYL9
13,2.48915547102065e-96,-1.44359355209864,0.086,0.163,3.04448605660536e-92,Neutral,COL6A1
14,3.04644327672656e-96,1.32953753288126,0.197,0.105,3.72610477176426e-92,Neutral,CORO1A
15,1.14422349121536e-94,-1.6196408672683,0.089,0.166,1.3994997521055e-90,Neutral,COL3A1
16,2.32917769115983e-92,0.681548161668897,0.543,0.429,2.84881723405758e-88,Neutral,ZFP36L2
17,3.07697021537523e-88,1.31407489539849,0.195,0.109,3.76344227042544e-84,Neutral,PTPRC
18,1.41531026756895e-87,-1.67152041025348,0.116,0.193,1.73106598826358e-83,Neutral,COL1A1
19,4.21419423242528e-87,-0.96443019338546,0.086,0.159,5.15438096567935e-83,Neutral,C17orf75
20,7.408607980874e-86,0.528202466787087,0.328,0.214,9.06146842140699e-82,Neutral,MGAT4A
21,0,2.55399122351298,0.188,0.035,0,Positive,KLK10
22,0,2.03780152165821,0.424,0.171,0,Positive,IGFBP2
23,0,1.87374605642955,0.439,0.218,0,Positive,IGFBP5
24,0,1.85349792148309,0.249,0.06,0,Positive,KLK11
25,0,1.73349922927347,0.201,0.049,0,Positive,GATA3-AS1
26,0,1.59411739096692,0.322,0.126,0,Positive,ESR1
27,0,1.42621494470505,0.554,0.335,0,Positive,DSP
28,0,1.35359808028188,0.417,0.198,0,Positive,BRD9
29,0,1.24152850305611,0.583,0.367,0,Positive,CDK12
30,0,1.08619278405457,0.683,0.405,0,Positive,BST2
31,0,0.535063713633497,0.835,0.626,0,Positive,PSAP
32,1.1125369292539e-308,1.62490033430257,0.563,0.375,1.11253693294582e-308,Positive,ZNF207
33,1.11253696705159e-308,1.56859681310091,0.331,0.13,1.11299923643627e-308,Positive,PRSS23
34,1.63454237760411e-308,1.41650286421757,0.467,0.261,1.27692972775502e-304,Positive,IARS2
35,1.04473344969948e-302,1.72216408345107,0.218,0.065,1.27781348232743e-298,Positive,STC2
36,1.31679720408311e-299,1.55063681412203,0.479,0.284,1.61057466031405e-295,Positive,PSMD11
37,3.76851042312314e-293,1.6222407891315,0.237,0.078,4.60926509852191e-289,Positive,C17orf75
38,1.34395361517968e-289,2.09774037700779,0.171,0.042,1.64378966672627e-285,Positive,LINC01087
39,1.20864121591054e-284,1.1524238411469,0.495,0.286,1.47828907118018e-280,Positive,MED1
40,1.39288460182679e-284,1.93115581822437,0.179,0.047,1.70363715649434e-280,Positive,CLSTN2
41,5.27829454836671e-278,-0.874084182258077,0.6,0.899,6.45588206210733e-274,Negative,NEAT1
42,2.81121552409267e-257,-0.965987022448484,0.407,0.744,3.43839770751774e-253,Negative,XIST
43,6.56474843311973e-219,-1.89609434638187,0.137,0.408,8.02934380854874e-215,Negative,DSP
44,3.24885353100437e-200,-0.554597623222525,0.879,0.995,3.97367275377144e-196,Negative,MALAT1
45,6.14518166506776e-192,-0.940067346307526,0.358,0.626,7.51617169454438e-188,Negative,SPINT2
46,5.83566789379122e-190,-0.770696395391491,0.618,0.869,7.13760540089604e-186,Negative,HLA-C
47,1.68618336757683e-189,-1.01516474555874,0.285,0.565,2.06237087688322e-185,Negative,SYNGR2
48,1.002262824784e-186,-1.58180538458834,0.207,0.459,1.22586766099331e-182,Negative,GATA3
49,4.79190584534035e-186,-0.781961713656681,0.369,0.672,5.86098003943579e-182,Negative,HSP90B1
50,1.78109590337896e-185,-1.72110582240506,0.111,0.354,2.1784583994228e-181,Negative,ERBB3
51,3.41021811855049e-183,-1.58016772604146,0.19,0.441,4.1710377807991e-179,Negative,TRPS1
52,8.88062246266638e-179,-0.815703371466345,0.407,0.692,1.08618893340873e-174,Negative,MTDH
53,1.48677485192815e-178,-1.1090195348845,0.394,0.631,1.81847432139332e-174,Negative,ERBB2
54,1.32116942182241e-175,-1.3528632858034,0.147,0.395,1.61592231983099e-171,Negative,MLLT6
55,1.41368298993699e-174,-1.20714684758498,0.23,0.488,1.72907566499193e-170,Negative,BST2
56,1.60736975667441e-170,-1.33538193710378,0.133,0.373,1.96597394938847e-166,Negative,PTPRF
57,1.24260838112685e-165,-0.755047206639691,0.565,0.813,1.51983431095625e-161,Negative,HLA-B
58,4.41038308154798e-161,-0.756231576574819,0.311,0.591,5.39433954704133e-157,Negative,FUS
59,4.39502368141535e-160,-0.913843548027545,0.316,0.599,5.37555346473911e-156,Negative,CD74
60,1.17961443801842e-159,-0.533692627625218,0.4,0.7,1.44278641914033e-155,Negative,PSAP
