"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-4.69224643011192,0.024,0.343,0,Positive,SFRP1
2,6.77039843260231e-271,-4.73744516902099,0.03,0.283,8.28087432291589e-267,Positive,SAA1
3,2.96658757691017e-225,-4.04747776179322,0.037,0.291,3.62843326531883e-221,Positive,PTN
4,7.99402009872192e-129,1.63261675907381,0.951,0.778,9.77748598274677e-125,Positive,RPL23A
5,2.13934932714468e-120,3.05625991340355,0.646,0.199,2.61663816203065e-116,Positive,MIEN1
6,1.51377630229461e-118,2.60636983844408,0.754,0.335,1.85149979533654e-114,Positive,MIF
7,6.90224940577975e-118,-3.07376517645271,0.611,0.786,8.44214124820921e-114,Positive,MGP
8,5.63309085003405e-113,-3.83955944702854,0.081,0.316,6.88983341867665e-109,Positive,WFDC2
9,5.03454468524165e-112,-2.4467198131291,0.11,0.384,6.15775160451906e-108,Positive,NNMT
10,6.92209283746677e-107,-3.31879605230618,0.064,0.278,8.46641174950561e-103,Positive,SPARCL1
11,6.50765613358139e-105,-3.55490795311129,0.073,0.293,7.9595142169834e-101,Positive,RARRES1
12,2.10082874685272e-102,3.2186728802338,0.612,0.196,2.56952364027556e-98,Positive,ERBB2
13,9.38496565222136e-102,-2.9773084191144,0.061,0.266,1.1478751489232e-97,Positive,CRYAB
14,1.31708429948406e-100,2.19090969319738,0.809,0.492,1.61092580669895e-96,Positive,COX6C
15,1.40434546362705e-88,-4.3607353107618,0.078,0.28,1.71765493656224e-84,Positive,KRT15
16,1.39847232936289e-87,1.24242718321219,0.893,0.638,1.71047150604375e-83,Positive,GAPDH
17,2.04295666819344e-81,1.57384202702835,0.741,0.397,2.49874030086739e-77,Positive,TXN
18,1.04642146707128e-79,-2.58095272524118,0.071,0.266,1.27987809637488e-75,Positive,CTGF
19,1.71927104498745e-79,2.3743750828608,0.522,0.111,2.10284041512415e-75,Positive,JPT1
20,6.57047423184248e-79,1.74643601632295,0.644,0.244,8.03634703296654e-75,Positive,ANAPC11
21,0,4.69224643011192,0.343,0.024,0,Other,SFRP1
22,6.77039843260231e-271,4.73744516902099,0.283,0.03,8.28087432291589e-267,Other,SAA1
23,2.96658757691017e-225,4.04747776179322,0.291,0.037,3.62843326531883e-221,Other,PTN
24,7.99402009872192e-129,-1.63261675907381,0.778,0.951,9.77748598274677e-125,Other,RPL23A
25,2.13934932714468e-120,-3.05625991340355,0.199,0.646,2.61663816203065e-116,Other,MIEN1
26,1.51377630229461e-118,-2.60636983844408,0.335,0.754,1.85149979533654e-114,Other,MIF
27,6.90224940577975e-118,3.07376517645271,0.786,0.611,8.44214124820921e-114,Other,MGP
28,5.63309085003405e-113,3.83955944702854,0.316,0.081,6.88983341867665e-109,Other,WFDC2
29,5.03454468524165e-112,2.4467198131291,0.384,0.11,6.15775160451906e-108,Other,NNMT
30,6.92209283746677e-107,3.31879605230618,0.278,0.064,8.46641174950561e-103,Other,SPARCL1
31,6.50765613358139e-105,3.55490795311129,0.293,0.073,7.9595142169834e-101,Other,RARRES1
32,2.10082874685272e-102,-3.2186728802338,0.196,0.612,2.56952364027556e-98,Other,ERBB2
33,9.38496565222136e-102,2.9773084191144,0.266,0.061,1.1478751489232e-97,Other,CRYAB
34,1.31708429948406e-100,-2.19090969319738,0.492,0.809,1.61092580669895e-96,Other,COX6C
35,1.40434546362705e-88,4.3607353107618,0.28,0.078,1.71765493656224e-84,Other,KRT15
36,1.39847232936289e-87,-1.24242718321219,0.638,0.893,1.71047150604375e-83,Other,GAPDH
37,2.04295666819344e-81,-1.57384202702835,0.397,0.741,2.49874030086739e-77,Other,TXN
38,1.04642146707128e-79,2.58095272524118,0.266,0.071,1.27987809637488e-75,Other,CTGF
39,1.71927104498745e-79,-2.3743750828608,0.111,0.522,2.10284041512415e-75,Other,JPT1
40,6.57047423184248e-79,-1.74643601632295,0.244,0.644,8.03634703296654e-75,Other,ANAPC11
