"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GH2,1.17546607691352e-165,9.79640102916449,1,0,1.43771255867293e-161
TFF3,9.2856183322194e-155,7.65983247203922,0.976,0.041,1.13572397821375e-150
KRT18,3.2814503982685e-138,3.91589746676869,0.976,0.157,4.01354198212221e-134
MIR3945HG,7.9389109081112e-136,-11.5364895807222,0,0.819,9.71008193171081e-132
PIP,9.63224968911716e-136,8.69962594929765,0.914,0.053,1.17812045947592e-131
MIEN1,1.43766355909656e-132,3.52371415946825,0.978,0.261,1.758406299131e-128
LGALS1,3.4676058876034e-132,-5.88444219322934,0.151,0.894,4.24122876112772e-128
VIM,7.7513771042751e-130,-5.3578863959872,0.143,0.886,9.48070933623887e-126
ANKRD30A,5.57500083303675e-126,4.46784966374138,0.884,0.036,6.81878351888725e-122
SPDEF,1.44847163883155e-124,5.05435430452043,0.875,0.034,1.77162566145486e-120
KRT8,3.07672535728163e-124,3.39203007983857,0.961,0.162,3.76314278449116e-120
ERBB2,8.13757042136074e-124,3.88432832247494,0.939,0.3,9.95306238236632e-120
PPP1R1B,1.82575984174628e-123,5.73768396996307,0.867,0.046,2.23308686243987e-119
GSTM3,1.92679098544964e-123,4.19606111675252,0.914,0.099,2.35665805430346e-119
CHMP2A,1.5762434174528e-122,3.03643510268035,0.957,0.28,1.92790332388652e-118
AGR2,1.13106962990815e-120,5.89943874807453,0.841,0.022,1.38341126434066e-116
EPCAM,2.77444810198397e-120,3.88052567311402,0.906,0.087,3.3934274735366e-116
CD74,8.02480748486529e-118,-5.12975909201384,0.347,0.913,9.81514203473874e-114
TYROBP,2.21177518187681e-117,-6.90465985099425,0.027,0.766,2.70522222495352e-113
MAGED2,2.42837409822367e-117,3.74574649038069,0.9,0.101,2.97014435953738e-113
XBP1,7.17998979955518e-117,3.15492935853154,0.955,0.341,8.78184552383594e-113
KRT19,3.49263615606014e-115,2.8557905666819,0.963,0.258,4.27184328247716e-111
TPD52,7.31728279027044e-115,3.71706132103512,0.896,0.089,8.94976858077978e-111
CALML5,2.08266094881069e-111,3.49896567147881,0.927,0.2,2.54730260649036e-107
TFAP2B,8.47443261477271e-111,4.95632759346086,0.816,0.039,1.03650785311285e-106
CREB3L4,2.78703895003062e-110,4.80849975123542,0.806,0.024,3.40882733978245e-106
PSMD3,3.99071308000039e-110,3.28473352091499,0.906,0.133,4.88104116814847e-106
SPINT2,6.95364846911566e-109,2.74306711637414,0.937,0.275,8.50500744257537e-105
CLDN3,1.88542808386767e-108,3.62578348826463,0.878,0.092,2.30606708937855e-104
CCL3,2.14858249783828e-108,-10.0375417955117,0.014,0.708,2.62793125310601e-104
KRT7,7.61752806285914e-108,2.57714221624684,0.965,0.196,9.31699857368301e-104
CD24,3.10246220001058e-107,2.78434046258583,0.959,0.222,3.79462151683294e-103
MARCKSL1,1.0678798161912e-105,2.51290037010158,0.959,0.249,1.30612380318346e-101
KIAA1324,8.01030321641546e-105,4.15744208964077,0.804,0.041,9.79740186399775e-101
APOD,1.74461328890367e-104,4.34126914971998,0.831,0.072,2.13383651365808e-100
FCER1G,5.30189855007769e-104,-6.50339454693916,0.029,0.708,6.48475211660002e-100
RNF43,1.29565770858825e-102,6.23287554655457,0.747,0.012,1.58471894337429e-98
SRGN,1.30618610541898e-102,-4.85443203176234,0.127,0.783,1.59759622553796e-98
METRN,2.65542842487035e-101,4.46873299578219,0.775,0.031,3.24785450645893e-97
PBX1,4.5035765512499e-101,3.71871781791827,0.825,0.068,5.50832447983376e-97
MAL2,6.69237553057071e-101,3.26928976224674,0.855,0.087,8.18544451144104e-97
CYBA,7.30528347402791e-101,-4.69361622998774,0.143,0.785,8.93509221708354e-97
LRRC26,3.45102752377563e-100,5.13118887005608,0.755,0.027,4.22095176432997e-96
CDH1,5.72483636352842e-100,3.64655313598107,0.798,0.048,7.00204735623161e-96
HINT1,6.46127082666239e-100,1.76208323524388,0.982,0.628,7.90278034809077e-96
SPINK8,6.58428087285176e-100,4.35415893970114,0.763,0.027,8.05323393558499e-96
TRIM28,9.04977563151457e-100,3.39124894786921,0.847,0.099,1.10687805749055e-95
MSL1,9.1059800127378e-100,3.13698324716927,0.857,0.089,1.11375241535796e-95
PRDX2,1.53603075003136e-99,2.77795031228554,0.91,0.193,1.87871921036336e-95
CXCL17,4.3325684831864e-99,5.9834757496398,0.739,0.024,5.29916451178528e-95
MGST1,4.75111327698083e-99,2.31612576483547,0.963,0.319,5.81108664907526e-95
HLA-DRA,1.73414208229335e-97,-4.43471659405463,0.392,0.862,2.121029180853e-93
PGAP3,9.11766600273423e-97,4.1526093162526,0.765,0.036,1.11518172879442e-92
ORMDL3,1.03028309467721e-96,3.49359164450289,0.816,0.07,1.26013925309969e-92
UQCRQ,1.38380282196213e-96,1.64875876413511,0.984,0.655,1.69252923154189e-92
ADIRF,1.74942393385508e-96,2.63264278469758,0.914,0.159,2.13972041349815e-92
