"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KRT19,0,4.13749244313883,0.943,0.166,0
KRT18,0,3.29177042691347,0.93,0.169,0
MIEN1,0,3.8448143161945,0.958,0.212,0
KRT8,0,3.08239700505319,0.905,0.161,0
MAL2,0,3.55394776607427,0.791,0.073,0
CD24,0,3.3776391159984,0.933,0.216,0
ERBB2,0,3.94011998949862,0.881,0.168,0
VIM,0,-5.7356469973152,0.11,0.818,0
GGCT,0,2.98496198025878,0.852,0.146,0
SPDEF,0,4.0429278278787,0.739,0.038,0
CISD3,0,3.88014456664089,0.824,0.13,0
CENPX,0,2.93853895864515,0.832,0.154,0
TSTD1,0,2.24372456186763,0.87,0.194,0
EPCAM,0,3.33888023927177,0.755,0.081,0
DCXR,0,2.84510785144259,0.799,0.127,0
TPD52,0,2.7416283418801,0.761,0.09,0
SPINT2,0,2.58330066615015,0.884,0.215,0
SLC9A3R1,0,3.07694179062946,0.769,0.106,0
AZGP1,0,1.9196716936756,0.783,0.12,0
NME1,0,2.83560591699903,0.787,0.125,0
GRB7,0,3.23295354978682,0.723,0.061,0
MGST1,0,3.04059761134869,0.851,0.194,0
JPT1,0,2.63608732228091,0.83,0.18,0
IDH2,0,2.3305985003514,0.796,0.147,0
FASN,0,3.40122774733943,0.706,0.058,0
STARD10,0,2.96227492263643,0.733,0.086,0
KRT7,0,1.84342935024689,0.83,0.184,0
CYB5A,0,2.80403204364477,0.874,0.231,0
LRRC26,0,4.70615863601183,0.663,0.02,0
FXYD3,0,1.84699825174139,0.794,0.154,0
SRP9,0,2.18211831353838,0.874,0.237,0
S100A14,0,3.59618926499431,0.705,0.069,0
GSTM3,0,2.91206242490102,0.768,0.135,0
TSPAN13,0,2.55638228443925,0.717,0.09,0
CLDN3,0,2.49311287272841,0.718,0.092,0
LSM4,0,2.18177875390646,0.796,0.172,0
PRDX2,0,2.18282714629577,0.913,0.294,0
C3orf14,0,2.97856460345388,0.687,0.068,0
NDUFAB1,0,1.69336160769935,0.812,0.195,0
POLR2K,0,2.09839290622113,0.841,0.226,0
LAPTM4B,0,2.95261613125986,0.717,0.104,0
XBP1,0,2.39530590296085,0.912,0.3,0
EFHD1,0,2.39242804860394,0.695,0.083,0
LAGE3,0,2.22463040176402,0.738,0.127,0
SNRPE,0,1.97338485034067,0.91,0.3,0
MRPL14,0,1.96924238038787,0.779,0.169,0
UQCC2,0,2.0089440671739,0.755,0.145,0
TXNDC17,0,1.70111662202242,0.821,0.214,0
MARCKSL1,0,1.97025375830942,0.895,0.29,0
MRPS34,0,1.6641100473011,0.77,0.165,0
MRPL36,0,1.95304681310394,0.724,0.12,0
PKIB,0,3.37811593539712,0.655,0.051,0
MPHOSPH6,0,3.17251506625148,0.664,0.062,0
MRPL12,0,2.73342146118936,0.7,0.098,0
SYNGR2,0,1.84280886427426,0.79,0.189,0
TIMM8B,0,2.04024799881377,0.814,0.219,0
SMIM22,0,3.24216461851211,0.659,0.064,0
NME4,0,2.26201367157695,0.718,0.124,0
MPC2,0,2.07280733314933,0.771,0.178,0
MRPL13,0,2.22359259553452,0.692,0.099,0
SQLE,0,3.7523132128877,0.656,0.065,0
HEBP2,0,2.20094672073138,0.811,0.222,0
NDUFS6,0,1.86413219027894,0.905,0.316,0
UQCC3,0,2.28187759117204,0.686,0.098,0
PCBD1,0,2.27777175981035,0.73,0.142,0
PSMB3,0,3.72351093595279,0.911,0.324,0
SCD,0,3.95291046370983,0.635,0.048,0
NQO1,0,3.59690342354561,0.636,0.049,0
TFAP2A,0,3.33070764986607,0.65,0.063,0
PLGRKT,0,2.93538988690057,0.657,0.071,0
PAFAH1B3,0,2.50059653888459,0.666,0.081,0
MORF4L2,0,1.48974047653008,0.83,0.245,0
SPTSSA,0,2.36717834398277,0.741,0.157,0
CETN2,0,2.00171895599032,0.689,0.107,0
NDUFA6,0,1.90333360268349,0.796,0.215,0
COX17,0,1.34417480374017,0.857,0.276,0
NDUFB6,0,2.00453812959618,0.734,0.153,0
SMIM14,0,1.51720870140288,0.773,0.193,0
FOXA1,0,3.27430851197569,0.614,0.034,0
MRPL41,0,1.51819843354095,0.858,0.28,0
LSM3,0,1.65458600155633,0.83,0.252,0
FKBP4,0,2.47612913192296,0.655,0.078,0
PERP,0,1.4462239112689,0.781,0.204,0
SPINT1-AS1,0,2.89564186209026,0.634,0.058,0
PDCD5,0,1.59701061905906,0.767,0.192,0
ECHS1,0,1.73156170796954,0.725,0.15,0
NDUFB3,0,1.70374180616995,0.723,0.148,0
GTF3C6,0,1.74397864001448,0.736,0.161,0
PDCD6,0,1.7967129288592,0.814,0.243,0
NDUFAF8,0,1.69782192412395,0.763,0.192,0
S100A16,0,1.86338236531817,0.832,0.263,0
ACP1,0,1.56203565940175,0.715,0.146,0
SLIRP,0,1.76817727065904,0.846,0.277,0
ENSA,0,1.41072233180815,0.758,0.189,0
EI24,0,1.75777885089646,0.74,0.172,0
TIMM13,0,1.55922801153357,0.82,0.252,0
TMED2,0,1.66612599187009,0.813,0.246,0
DMAC1,0,1.89243638121075,0.741,0.174,0
PGAP3,0,3.0856866767224,0.603,0.036,0
MRPL55,0,1.41422296554969,0.736,0.17,0
SMS,0,1.56621744818472,0.713,0.147,0
SRSF9,0,1.63697201526167,0.81,0.247,0
LSM5,0,1.57827795757987,0.816,0.253,0
DCTPP1,0,2.2853138198988,0.638,0.076,0
ABRACL,0,2.37761152344055,0.745,0.183,0
MRPS26,0,1.63900939179492,0.697,0.135,0
SNRPF,0,1.49906308660991,0.845,0.284,0
CHCHD1,0,1.43108286982631,0.706,0.145,0
DHCR24,0,3.065996384904,0.606,0.045,0
PRDX3,0,1.65962947950689,0.729,0.169,0
NDUFB9,0,2.50230683586545,0.819,0.26,0
HSBP1,0,1.51135258727109,0.885,0.326,0
FDPS,0,2.11654575883966,0.695,0.136,0
SNRPG,0,1.60594744413109,0.888,0.33,0
UQCRFS1,0,1.42579407158597,0.742,0.185,0
CKS1B,0,2.81189055781616,0.657,0.102,0
DYNLT1,0,1.71722000270417,0.856,0.301,0
QPRT,0,3.51295309983604,0.58,0.025,0
CPNE3,0,1.62925230455609,0.701,0.147,0
