"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
XBP1,2.83468570566495e-102,-2.22049507006274,0.429,0.89,3.4671040865988e-98
VIM,2.52357679413932e-79,2.41207121037036,0.722,0.274,3.0865867769118e-75
S100A6,3.68243231386989e-64,2.42433466710456,0.767,0.452,4.50398296309426e-60
MIF,7.69589314083774e-53,-1.40009302866175,0.507,0.875,9.41284690055864e-49
GSN,1.47294133542058e-52,4.11605658570049,0.59,0.301,1.80155454735291e-48
RPS17,6.9689682994524e-47,-1.14345347322792,0.406,0.82,8.52374512706023e-43
CALD1,4.00029824891548e-44,2.33616138488876,0.581,0.28,4.89276478824852e-40
PRDX4,1.51977172402357e-43,-1.44112359603748,0.262,0.677,1.85883279565323e-39
KRT19,1.38638249208415e-41,-1.87656696806244,0.318,0.686,1.69568442606813e-37
SSR4,1.21222267040107e-40,-1.43347592654075,0.621,0.897,1.48266954816755e-36
RPL17,3.90642291895998e-37,-1.26812193499782,0.252,0.622,4.77794587217996e-33
HIST1H1C,1.2369303839455e-36,-1.88043474086558,0.161,0.53,1.51288955260374e-32
IFITM3,1.56671921136077e-35,1.6612811795989,0.606,0.335,1.91625426741535e-31
TMEM14B,8.09841467860709e-35,-1.71188557673874,0.289,0.593,9.90517099340434e-31
DCXR,1.70123249433777e-34,-1.5575467319212,0.204,0.541,2.08077746382453e-30
ANAPC11,5.01259983755533e-34,-1.12710540966291,0.437,0.745,6.13091086131392e-30
MRPL12,1.04237137952586e-33,-1.84490758280205,0.196,0.512,1.27492443429807e-29
SEC11C,8.76590256957964e-33,-1.05875956397558,0.231,0.595,1.07215754328529e-28
SLC9A3R1,1.22464009662877e-31,-2.00967849860697,0.231,0.529,1.49785730218665e-27
MYDGF,3.71424717747042e-31,-1.09369316055085,0.326,0.686,4.54289572276408e-27
CENPX,1.56271244202947e-30,-1.46221206534346,0.26,0.582,1.91135358784625e-26
LAGE3,2.03531708543504e-30,-1.51844345536452,0.202,0.519,2.4893963271956e-26
SCGB2A2,1.24381833111186e-29,-2.35661902831632,0.204,0.519,1.52131420078291e-25
TMEM14C,1.31185018255457e-29,-1.45026731147112,0.326,0.61,1.60452395828249e-25
CUTA,1.83914048293426e-29,-0.990366169507795,0.394,0.716,2.24945272467689e-25
SLC25A5,1.23364740127322e-28,-1.24877904626711,0.34,0.632,1.50887413649728e-24
CYBA,5.48442615887683e-27,-0.927924549281816,0.458,0.777,6.70800163492225e-23
CRABP2,1.62369257354107e-26,-1.46282341408955,0.266,0.531,1.98593838669808e-22
GSTM3,2.33695435067171e-26,-1.63220405762095,0.233,0.515,2.85832886630656e-22
NDUFAF8,7.38729241527539e-26,-1.13205098754471,0.27,0.57,9.03539735312333e-22
TIMM13,2.58078686963226e-25,-1.11846976121832,0.315,0.599,3.15656042024722e-21
IDH2,4.07308169339158e-25,-0.931180180258737,0.225,0.547,4.98178621918724e-21
NUCB2,6.1101795525662e-24,-0.977302432157307,0.254,0.558,7.47336061074372e-20
TSTD1,1.7839591956826e-23,-1.01541406056479,0.297,0.582,2.18196049223939e-19
SPCS3,2.23501136050292e-23,-0.750940327963227,0.216,0.527,2.73364239503112e-19
SUB1,1.03823281315449e-22,-0.913226369059795,0.575,0.85,1.26986255376925e-18
TECR,1.16409940246943e-22,-0.856607522591142,0.262,0.56,1.42380997916036e-18
MIEN1,1.59551284524344e-22,-1.05448542911274,0.381,0.631,1.95147176101725e-18
NBEAL1,1.10198333546145e-21,-0.850043047162274,0.229,0.512,1.3478358176029e-17
PRDX2,5.40965183204673e-21,-0.856157948002771,0.429,0.691,6.61654515577636e-17
MRPL14,1.42556015350755e-20,-0.987283195876095,0.276,0.543,1.74360262375508e-16
BAG1,1.60327283771914e-20,-1.25014613161185,0.256,0.516,1.96096300781429e-16
TSPAN13,1.67034348094489e-20,-1.03975213849176,0.241,0.5,2.0429971115437e-16
TXNL4A,6.94598814022499e-20,-0.816129484232121,0.274,0.543,8.49563809430918e-16
MINOS1,8.47125044917419e-20,-0.905803098999797,0.344,0.598,1.0361186424385e-15
ATP5PD,3.70643217144436e-18,-0.715242675805047,0.322,0.578,4.5333371888936e-14
TIMM8B,2.05547555677844e-16,-0.743864629876889,0.299,0.557,2.51405215349571e-12
CD74,7.25642661711354e-15,-1.72728798083114,0.355,0.611,8.87533539539157e-11
KRT10,4.62282890859628e-10,-0.693734621899788,0.396,0.657,5.65418203810411e-06
ERBB2,2.10981093164712e-09,0.980451605630824,0.336,0.597,2.5805097504976e-05
