"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-9.55928819975073,0.003,0.552,0,Neutral,GH2
2,0,-8.5768718416347,0.003,0.367,0,Neutral,MIR3945HG
3,1.45626018673008e-176,-2.42519134745362,0.062,0.3,1.78115183438956e-172,Neutral,ALOX15B
4,1.35227876977455e-172,-2.14655232837695,0.05,0.265,1.65397216331125e-168,Neutral,HMGCS2
5,2.86156161164844e-165,-2.42782297575931,0.071,0.313,3.4999760072072e-161,Neutral,SDR16C5
6,7.12019448464619e-131,-1.84900953366891,0.179,0.491,8.70870987417075e-127,Neutral,APOD
7,1.30914637732392e-122,-1.52501706422989,0.195,0.499,1.60121693410489e-118,Neutral,PPP1R1B
8,4.52173147566807e-117,-1.64526635554348,0.148,0.418,5.53052976788961e-113,Neutral,RNF43
9,6.62379311072408e-108,-2.10106947853322,0.076,0.277,8.10156135372662e-104,Neutral,LTF
10,3.33554630784291e-107,-1.62904282849742,0.107,0.337,4.07970668912266e-103,Neutral,GSDMB
11,1.92346943005906e-102,-1.75253295753448,0.132,0.373,2.35259545990524e-98,Neutral,NR2F1
12,5.91943320508545e-102,-1.1740824300609,0.131,0.385,7.24005875314002e-98,Neutral,HOPX
13,7.49170378810633e-100,-1.55123305939961,0.125,0.361,9.16310290323285e-96,Neutral,DHRS2
14,1.31561179526307e-95,-2.32227191246226,0.084,0.277,1.60912478678626e-91,Neutral,TSPAN8
15,1.8961760084069e-94,-1.72341500476096,0.15,0.391,2.31921287588247e-90,Neutral,CSTA
16,2.91157151573661e-94,-1.72487180394374,0.135,0.364,3.56114312089744e-90,Neutral,ERVK3-1
17,3.30959930691467e-94,-1.30908984137681,0.092,0.298,4.04797091228734e-90,Neutral,CAPS
18,4.17249081499297e-94,-1.53214824690887,0.186,0.437,5.10337351581791e-90,Neutral,CXADR
19,3.51697863336922e-92,-0.635008891012192,0.853,0.966,4.30161656647389e-88,Neutral,S100A11
20,3.93987675413307e-92,-1.61802224960176,0.162,0.403,4.81886325798016e-88,Neutral,TMC4
21,0,9.75871469827857,0.819,0.003,0,Negative,MIR3945HG
22,0,3.73508225745124,0.512,0.057,0,Negative,OLR1
23,1.11253693005457e-308,3.8550655741653,0.708,0.121,1.11254672595194e-308,Negative,CCL3
24,1.11253697538465e-308,3.90683457828674,0.413,0.038,1.11310115815229e-308,Negative,IL1B
25,1.11259056322664e-308,2.9992635806216,0.766,0.138,1.76853405353487e-308,Negative,TYROBP
26,1.49749547912348e-295,3.71377448834039,0.473,0.053,1.83158672051593e-291,Negative,BCL2A1
27,9.43395307378345e-289,4.16529052030259,0.457,0.051,1.15386680045445e-284,Negative,G0S2
28,4.90607787597229e-271,2.69438309606755,0.708,0.126,6.00062385010171e-267,Negative,FCER1G
29,8.95463318614808e-241,2.42274284662624,0.64,0.111,1.09524118499777e-236,Negative,AIF1
30,3.00658409332955e-238,3.4936990957268,0.606,0.113,3.67735300455137e-234,Negative,PLAUR
31,1.73658325834289e-230,3.59538231855039,0.488,0.072,2.12401498327919e-226,Negative,CXCL8
32,3.92782513291065e-227,3.29936499904459,0.481,0.07,4.80412292006302e-223,Negative,PLEK
33,3.80436249154432e-213,2.47261244831325,0.604,0.116,4.65311576340786e-209,Negative,LYZ
34,4.38129427329607e-209,4.14120529864608,0.36,0.043,5.35876102566842e-205,Negative,CXCL3
