"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CAMK2N2,0,-16.1793483246296,0,1,0,Neutral,CAMK2N2
C1QL1,1.90404949956481e-300,-3.43868114988507,0.023,0.288,2.51106048002608e-296,Neutral,C1QL1
ASF1B,1.60483902275871e-257,-2.56360453845615,0.162,0.716,2.11646170321419e-253,Neutral,ASF1B
PCLAF,4.88519327077338e-246,-2.44829180184678,0.288,0.889,6.44259288549594e-242,Neutral,PCLAF
WFDC2,2.90943675481853e-217,-2.02198444187242,0.341,0.932,3.83696519225468e-213,Neutral,WFDC2
SAA1,4.01277350977276e-203,-1.48821358068499,0.292,0.922,5.29204570468832e-199,Neutral,SAA1
KRT6A,5.83248697334929e-201,-1.62909979542892,0.246,0.854,7.69188382045305e-197,Neutral,KRT6A
FDCSP,1.60407085952926e-199,-1.67510652572876,0.23,0.815,2.11544864954719e-195,Neutral,FDCSP
TFDP1,3.67592684704059e-198,-1.98457618047277,0.317,0.866,4.84781232587712e-194,Neutral,TFDP1
TEX30,2.25316928315653e-195,-2.16623666338361,0.258,0.79,2.97147965062683e-191,Neutral,TEX30
GGCT,7.45040655493517e-193,-1.81785548524944,0.461,0.953,9.8255961646485e-189,Neutral,GGCT
APOD,8.35632480157998e-191,-1.54834936290856,0.193,0.739,1.10203211483237e-186,Neutral,APOD
TYMS,1.23038698940425e-188,-1.9538139054181,0.253,0.8,1.62263436162632e-184,Neutral,TYMS
CARHSP1,4.09008874193755e-188,-1.76913421669782,0.386,0.934,5.39400903286724e-184,Neutral,CARHSP1
NBL1,4.21454243520963e-188,-1.84636030558299,0.227,0.776,5.55813856355446e-184,Neutral,NBL1
SDR16C5,4.72914718815832e-187,-1.85092484498408,0.152,0.648,6.23679931174319e-183,Neutral,SDR16C5
NDUFA4L2,1.34677704263061e-184,-1.61433940259745,0.293,0.893,1.77612956382124e-180,Neutral,NDUFA4L2
RPL39L,1.06856291303783e-183,-1.81662448379933,0.413,0.926,1.40922076971429e-179,Neutral,RPL39L
CXCL17,6.58217978592903e-183,-2.12859250519956,0.168,0.656,8.6805787016832e-179,Neutral,CXCL17
DMKN,1.59783892211537e-181,-1.82734546513802,0.296,0.852,2.10722997048575e-177,Neutral,DMKN
SBSN,2.76220829767158e-180,-2.36464519873395,0.078,0.436,3.64280030296927e-176,Neutral,SBSN
PI3,1.09515492123921e-176,-2.02232364922583,0.114,0.539,1.44429031013026e-172,Neutral,PI3
SLPI,5.18615028916019e-176,-1.54032257960259,0.422,0.99,6.83949500134445e-172,Neutral,SLPI
TACSTD2,3.9388594585226e-173,-1.49773280329828,0.45,0.994,5.19456785389961e-169,Neutral,TACSTD2
MAL2,6.3397545779501e-173,-1.69422635758888,0.421,0.926,8.36086833740059e-169,Neutral,MAL2
LINC01133,3.35754866043853e-171,-1.93876043212572,0.131,0.568,4.42793517338634e-167,Neutral,LINC01133
RHEB,5.71099606539551e-168,-1.5824811986691,0.582,0.977,7.53166161104359e-164,Neutral,RHEB
IDH2,8.78533446434407e-167,-1.72017856398712,0.53,0.955,1.1586099091577e-162,Neutral,IDH2
HMSD,3.69781295250416e-166,-2.42860613383104,0.074,0.409,4.87667572176248e-162,Neutral,HMSD
DDIT4,1.76306387806996e-165,-1.6842145787608,0.59,0.99,2.32512864239866e-161,Neutral,DDIT4
KRT6B,3.54001519334589e-165,-1.4039090285999,0.359,0.951,4.66857203698456e-161,Neutral,KRT6B
SCCPDH,1.82390070842523e-162,-1.84336045444603,0.278,0.788,2.40536025427119e-158,Neutral,SCCPDH
