"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SERPING1,0,-2.07030075371067,0.097,0.267,0,Neutral,SERPING1
IFI27,0,-0.928068220625055,0.332,0.502,0,Neutral,IFI27
TAGLN,0,-1.88367272374768,0.11,0.257,0,Neutral,TAGLN
PMP22,0,-1.63040105149554,0.109,0.254,0,Neutral,PMP22
IFITM3,1.11253695024222e-308,-1.22178412772347,0.397,0.545,1.11281372722747e-308,Neutral,IFITM3
FN1,4.96507456452263e-302,-1.79639267557031,0.154,0.294,6.54794033569245e-298,Neutral,FN1
TIMP1,2.4967808166857e-250,-1.63156834895982,0.235,0.373,3.2927545410451e-246,Neutral,TIMP1
HSPA5,3.24916159449696e-219,-0.823644498283515,0.446,0.567,4.28499431082259e-215,Neutral,HSPA5
IFI6,7.39021075107165e-209,-0.638466919173899,0.359,0.513,9.74620993851329e-205,Neutral,IFI6
TIMP2,5.06506263017957e-202,-1.3259548626613,0.198,0.314,6.67980459668081e-198,Neutral,TIMP2
LGALS3BP,2.92644951612574e-190,-0.988155855145844,0.23,0.349,3.85940162186662e-186,Neutral,LGALS3BP
HMGB2,4.0314603652958e-187,0.709454543186357,0.508,0.367,5.3166899297521e-183,Neutral,HMGB2
MTRNR2L12,7.0676912938851e-187,-0.720356819425939,0.366,0.492,9.32087127837567e-183,Neutral,MTRNR2L12
HIST1H4C,9.96593165373518e-185,0.902246535281711,0.504,0.374,1.31430706649459e-180,Neutral,HIST1H4C
MTRNR2L8,2.12265309866446e-182,-0.959401018493561,0.323,0.437,2.79935490651868e-178,Neutral,MTRNR2L8
DDIT4,5.06962981445586e-180,0.77975573096116,0.621,0.498,6.68582779930439e-176,Neutral,DDIT4
NNMT,1.14928154471367e-176,-1.70994122370819,0.174,0.275,1.51567250116839e-172,Neutral,NNMT
GPNMB,1.33593399857386e-170,-1.00928952206168,0.202,0.312,1.76182975731921e-166,Neutral,GPNMB
BST2,2.45709256598382e-170,-0.632384135528755,0.367,0.499,3.24041367601947e-166,Neutral,BST2
CRABP2,5.4635955482304e-154,0.614890279213748,0.461,0.334,7.20538980900625e-150,Neutral,CRABP2
PITX1,1.25654205117309e-149,0.814426264825942,0.263,0.149,1.65712765708708e-145,Neutral,PITX1
SEC31A,2.52709648284327e-143,-0.742732048821514,0.221,0.325,3.3327348415737e-139,Neutral,SEC31A
STAT1,2.03921993560179e-141,-0.475733191735969,0.308,0.43,2.68932325107164e-137,Neutral,STAT1
HES1,1.74181518434199e-139,0.735208635586627,0.477,0.37,2.29710586511022e-135,Neutral,HES1
GGH,2.98920955103194e-138,0.794567211049508,0.355,0.241,3.94216955590092e-134,Neutral,GGH
RHOV,1.78280934425363e-132,0.764115641844211,0.34,0.227,2.35116896320169e-128,Neutral,RHOV
IGHG1,1.24809466111496e-131,-1.09329593631149,0.181,0.286,1.64598723907841e-127,Neutral,IGHG1
RPL39L,2.6614543259175e-131,0.595476569906109,0.444,0.327,3.50992596502e-127,Neutral,RPL39L
TTYH1,6.26836918944605e-128,0.618371575305573,0.287,0.176,8.26672528704146e-124,Neutral,TTYH1
PCLAF,5.28058448404417e-127,0.891778656720987,0.316,0.21,6.96403481755745e-123,Neutral,PCLAF
CTSD,9.26376606101747e-127,-0.841269385218333,0.392,0.494,1.22170546812698e-122,Neutral,CTSD
KRT19,6.80489996165359e-125,1.08829169103807,0.438,0.337,8.97430206942876e-121,Neutral,KRT19
IGKC,1.62729215269357e-117,-0.745283501180584,0.45,0.58,2.14607289097228e-113,Neutral,IGKC
CCND1,6.8580425691367e-117,0.669417301208193,0.423,0.321,9.04438654017748e-113,Neutral,CCND1
STMN1,3.97990137474673e-116,0.46937828447912,0.591,0.483,5.24869393301598e-112,Neutral,STMN1
IGLC2,3.33728335573825e-109,-0.85595086641876,0.21,0.312,4.4012092895476e-105,Neutral,IGLC2
DMKN,1.68922843542183e-107,0.629295390494474,0.325,0.219,2.22775446063431e-103,Neutral,DMKN
TIMP1.1,9.74151782106739e-196,1.44197977051529,0.395,0.248,1.28471137024237e-191,Negative,TIMP1
LGALS1,2.07281958659935e-193,0.638986155766794,0.797,0.674,2.73363447080722e-189,Negative,LGALS1
CTSL,2.84237413924474e-192,1.7210809125666,0.287,0.153,3.74852301483597e-188,Negative,CTSL
S100A10,1.40723767077774e-183,0.499776229764158,0.843,0.714,1.85586504022168e-179,Negative,S100A10
SOD2,5.91673610436225e-178,1.10300959075881,0.53,0.39,7.80299157443293e-174,Negative,SOD2
IFITM3.1,4.94852712049899e-177,0.949963464000682,0.563,0.411,6.52611756651407e-173,Negative,IFITM3
GPNMB.1,1.14777926743488e-167,1.24481070517598,0.345,0.21,1.51369129789312e-163,Negative,GPNMB
PLIN2,3.32685853313818e-167,1.72510163494954,0.432,0.297,4.38746103350262e-163,Negative,PLIN2
ANXA1,1.84591912333721e-159,0.703652700191341,0.633,0.486,2.43439813985712e-155,Negative,ANXA1
VCAN,3.83100064096216e-151,1.54132913685899,0.283,0.165,5.05232364530089e-147,Negative,VCAN
DUSP1,2.86853989139318e-150,0.681743547106902,0.729,0.621,3.78303040876933e-146,Negative,DUSP1
MT1X,3.85779347310254e-142,0.817013463903485,0.689,0.581,5.08765803232763e-138,Negative,MT1X
NNMT.1,1.72133814473875e-135,1.59887842344024,0.294,0.183,2.27010074528147e-131,Negative,NNMT
APOE,4.39056592218626e-134,1.36112017342363,0.395,0.279,5.79027833817924e-130,Negative,APOE
SDCBP,1.25818142766386e-129,0.770664858219984,0.565,0.449,1.6592896668031e-125,Negative,SDCBP
APOD,2.06037562731114e-128,1.97737870061404,0.295,0.184,2.71722337729792e-124,Negative,APOD
FN1.1,5.70173704270281e-120,0.609800825309683,0.282,0.171,7.51945081191647e-116,Negative,FN1
LGALS3,1.74194408037886e-115,0.513316829110758,0.685,0.571,2.29727585320364e-111,Negative,LGALS3
ISG20,3.60428035418231e-105,-0.801841259914049,0.339,0.481,4.75332493109562e-101,Negative,ISG20
SLC2A3,1.32400450102655e-101,1.02509739460275,0.253,0.151,1.74609713595382e-97,Negative,SLC2A3
PTPRF,5.74232834198504e-99,-0.750928436207951,0.244,0.375,7.57298261740986e-95,Negative,PTPRF
TRPS1,5.76530002763411e-82,-1.03869834354416,0.204,0.312,7.60327767644387e-78,Negative,TRPS1
S100A9,5.26782611677289e-79,0.810525347220879,0.412,0.306,6.94720908280009e-75,Negative,S100A9
KRT15,1.39650799162871e-78,-1.37252792604764,0.173,0.275,1.84171473935994e-74,Negative,KRT15
DSP,9.81295479494415e-73,-0.704289526312898,0.296,0.412,1.29413247835724e-68,Negative,DSP
EZR,2.07323063468959e-63,-0.528047099659094,0.335,0.447,2.73417656102863e-59,Negative,EZR
ELF3,1.9206125863941e-60,-0.427314556583699,0.38,0.486,2.53290387893654e-56,Negative,ELF3
POLR2J3,2.23163997186953e-57,-0.510822704265787,0.344,0.444,2.94308679490154e-53,Negative,POLR2J3
IFI6.1,0,1.2553787769858,0.72,0.357,0,Positive,IFI6
BST2.1,0,1.42545172053747,0.711,0.361,0,Positive,BST2
ISG15,0,0.798651010140224,0.735,0.408,0,Positive,ISG15
IFI27.1,0,1.53933645161611,0.66,0.337,0,Positive,IFI27
IGKC.1,0,2.04434492762299,0.747,0.449,0,Positive,IGKC
STAT1.1,0,1.01830165046595,0.596,0.306,0,Positive,STAT1
IGHG1.1,0,2.40294896303863,0.464,0.176,0,Positive,IGHG1
MTRNR2L12.1,0,1.03762199614783,0.652,0.365,0,Positive,MTRNR2L12
HSPA5.1,0,1.32548735354977,0.711,0.446,0,Positive,HSPA5
IGLC2.1,0,2.14132500257055,0.453,0.208,0,Positive,IGLC2
COL6A2,0,2.52871660479328,0.312,0.07,0,Positive,COL6A2
COL6A1,0,2.6770323791805,0.319,0.079,0,Positive,COL6A1
IGHG3,0,2.1785811237599,0.37,0.132,0,Positive,IGHG3
TAGLN.1,0,1.7538927626226,0.348,0.119,0,Positive,TAGLN
IGLC3,0,2.32008647274637,0.376,0.156,0,Positive,IGLC3
ITM2C,0,1.35013877907495,0.377,0.163,0,Positive,ITM2C
RPS17,0,-1.6446179740611,0.44,0.644,0,Positive,RPS17
CTGF,0,2.09260439329528,0.305,0.103,0,Positive,CTGF
SERPING1.1,0,1.58725664699817,0.31,0.115,0,Positive,SERPING1
MT1X.1,0,-2.00460436320994,0.42,0.613,0,Positive,MT1X
TIMP3,0,2.90802990660531,0.255,0.068,0,Positive,TIMP3
IGHG4,0,2.0756429769475,0.257,0.077,0,Positive,IGHG4
SEC24D,0,1.45893115462475,0.265,0.086,0,Positive,SEC24D
HSP90B1,0,1.06657122336185,0.802,0.628,0,Positive,HSP90B1
HLA-C,0,0.676721909643852,0.946,0.79,0,Positive,HLA-C
